command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,a,r,g,b,fadetime,block,image,screenadapt,name,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,name2,focus,time,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,46,,,,False
name,待在这里别动！我们还不能暴露！,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,47,待在这里别动！我们还不能暴露！,ここにいて動かないで！私たちはまだ正体を明かしてはならない！,ドーベルマン,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,,,,48,,,,False
name,乌萨斯的军警队伍......居然被整合运动压制住了？,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,49,乌萨斯的军警队伍......居然被整合运动压制住了？,ウルサスの軍警が……レユニオンに押されているなんて？,アーミヤ,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,char_130_doberm_ex,2,,50,,,,False
name,哼......电视上播放的内容，和现实完全不一样。,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,51,哼......电视上播放的内容，和现实完全不一样。,ふん……テレビで放送されている内容と現実は全く違うな。,ドーベルマン,True
name,切尔诺伯格当局，到了这个时候，还在耍这种手段吗。,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,52,切尔诺伯格当局，到了这个时候，还在耍这种手段吗。,チェルノボーグ当局は、こんな時でもこんな手口を使うのか。,ドーベルマン,True
name,不过，对于我们来说，事情也同样在变糟。指望通过更加隐秘的手段离开，已经不现实了。,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,53,不过，对于我们来说，事情也同样在变糟。指望通过更加隐秘的手段离开，已经不现实了。,しかし、私たちにとっても事態は悪化している。もっと隠密な手段で脱出するのはもう現実的ではない。,ドーベルマン,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,char_130_doberm_ex,1,,54,,,,False
name,糟糕的路况和敌人的封锁......我们已经没办法再利用载具分别行动了......,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,55,糟糕的路况和敌人的封锁......我们已经没办法再利用载具分别行动了......,悪路と敵の封鎖のせいで……もう車両を使って別々に行動できなくなった……,アーミヤ,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,char_130_doberm_ex,2,,56,,,,False
name,是的，救援小队只有在具备一定规模时，才能有效消灭盘踞在要道上的整合运动敌人。,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,57,是的，救援小队只有在具备一定规模时，才能有效消灭盘踞在要道上的整合运动敌人。,そうだ、救援チームはある程度の規模があって初めて、要路を占拠しているレユニオンの敵を効果的に殲滅できる。,ドーベルマン,True
name,再切分小队，只会是自取灭亡。,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,58,再切分小队，只会是自取灭亡。,さらに部隊を分ければ、それは自滅を招くだけだ。,ドーベルマン,True
character,,,,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,,59,,,,False
name,这些乌萨斯军警......,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,60,这些乌萨斯军警......,このウルサス軍警たちは……,近衛オペレーター,True
name,即使他们的装备很精良，看起来也很有实力，但整合运动......,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,61,即使他们的装备很精良，看起来也很有实力，但整合运动......,装備は優秀で、一見強そうに見えるけど、レユニオンは……,近衛オペレーター,True
name,无论是人数还是士气，都占压倒性的优势！,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,62,无论是人数还是士气，都占压倒性的优势！,人数も士気も、圧倒的に優勢だ！,近衛オペレーター,True
character,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,63,,,,False
name,和我们对切尔诺伯格进行初步侦察时完全不同......,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,64,和我们对切尔诺伯格进行初步侦察时完全不同......,私たちがチェルノボーグで初めて偵察した時とはまるで違う……,ドーベルマン,True
name,在我们潜入时，切尔诺伯格军警与驻扎部队的数量、分布，以及状态，处在一个非常古怪的状态。,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,65,在我们潜入时，切尔诺伯格军警与驻扎部队的数量、分布，以及状态，处在一个非常古怪的状态。,私たちが潜入した時のチェルノボーグの軍警と駐留部隊の数、配置、そして状態は非常に奇妙だった。,ドーベルマン,True
name,只是在那个时候，我们没办法确定原因而已。,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,66,只是在那个时候，我们没办法确定原因而已。,その時は、原因が分からなかっただけだ。,ドーベルマン,True
character,,,,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,,67,,,,False
name,难道整合运动，已经秘密地消灭了切尔诺伯格的大部分防卫力量吗？,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,68,难道整合运动，已经秘密地消灭了切尔诺伯格的大部分防卫力量吗？,もしかしてレユニオンは、チェルノボーグの防衛戦力の大半を密かに排除したのか？,近衛オペレーター,True
character,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,69,,,,False
name,没有任何证据可以证明，整合运动的力量真的庞大到如此地步，还能够谋划这么大规模的战略......,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,70,没有任何证据可以证明，整合运动的力量真的庞大到如此地步，还能够谋划这么大规模的战略......,レユニオンの勢力がそこまで巨大で、これほど大規模な作戦を立てられるという証拠はどこにもない……,ドーベルマン,True
name,现在，我怕是只能庆幸，被包围的是那些军警，而不是我们。,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,71,现在，我怕是只能庆幸，被包围的是那些军警，而不是我们。,今は、包囲されているのが軍警であって私たちではないことを、ただ幸運と思うしかない。,ドーベルマン,True
name,当然，我们也必须提防四周的情况，等到陷入危机，就已经晚了——,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,72,当然，我们也必须提防四周的情况，等到陷入危机，就已经晚了——,もちろん、私たちも周囲の状況に警戒しなければならない。危機に陥ってからでは遅い――,ドーベルマン,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,73,,,,False
name,......博士，快召集各小队。,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,74,......博士，快召集各小队。,……ドクター、すぐに各部隊を集めて。,アーミヤ,True
name,侦查干员发现了整合运动，他们马上就要和我们的救援队伍接触了！,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,75,侦查干员发现了整合运动，他们马上就要和我们的救援队伍接触了！,偵察オペレーターがレユニオンを発見しました。間もなく救援部隊と接触します！,アーミヤ,True
character,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,76,,,,False
name,——至少，我们现在的优势，也就只有谨小慎微这一点了。,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,77,——至少，我们现在的优势，也就只有谨小慎微这一点了。,――少なくとも、今の私たちの強みは慎重さだけだ。,ドーベルマン,True
blocker,,,,,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,78,,,,False
blocker,,,,,,,,,0,,,,0.6,true,,,,,,,,,,,,,,,,,,,,79,,,,False
character,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,80,,,,False
name,嗯？,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,81,嗯？,ん？,レユニオンメンバー,True
name,这，这里也有武装力量？！,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,82,这，这里也有武装力量？！,こ、ここにも武装勢力がいるのか？！」,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,83,,,,False
name,各小队，作战准备！不要给他们反击的机会！,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,84,各小队，作战准备！不要给他们反击的机会！,各部隊、戦闘準備！反撃の隙を与えるな！,ドーベルマン,True
delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,85,,,,False
blocker,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,86,,,,False
