command,text_orig,key,is_skippable,fit_mode,a,r,g,b,block,intro,volume,crossfade,delay,image,fadetime,screenadapt,name,name2,focus,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
name,我们已经集结了数支小队，他们正在甲板待命，准备好了随时和你们一同出发。,,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,66,我们已经集结了数支小队，他们正在甲板待命，准备好了随时和你们一同出发。,私たちはすでにいくつかの隊を集結させており、彼らはデッキで待機しています。いつでも一緒に出発できる準備ができています。,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,67,,,,False
name,明白了，我马上就去。,,,,,,,,,,,,,,,,陈,,,,,,,,,,68,明白了，我马上就去。,分かった。すぐに向かう。,チェン,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,69,,,,False
name,抱歉听到了你和那位金发警官之间的对话......我们知道近卫局损失惨重。你可以相信我们，罗德岛能帮得上忙。,,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,70,抱歉听到了你和那位金发警官之间的对话......我们知道近卫局损失惨重。你可以相信我们，罗德岛能帮得上忙。,すみません、あなたとあの金髪の警官のやりとりを聞いてしまいました……近衛局が甚大な被害を受けたことも知っています。私たちロドスを信じてください、お力になれます。,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,71,,,,False
name,......这不是我们现在该讨论的话题。,,,,,,,,,,,,,,,,陈,,,,,,,,,,72,......这不是我们现在该讨论的话题。,……それは今話すべきことじゃない。,チェン,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,False
blocker,,,,,1,0,0,0,true,,,,,,1.5,,,,,,,,,,,,75,,,,False
blocker,,,,,0,,,,true,,,,,,1.5,,,,,,,,,,,,76,,,,False
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,77,,,,False
name,别介意，星熊。你也很清楚诗怀雅在做什么，她是在稳定局势。,,,,,,,,,,,,,,,,陈,,,,,,,,,,78,别介意，星熊。你也很清楚诗怀雅在做什么，她是在稳定局势。,気にするな、ホシグマ。君も分かっているだろう、スワイヤは状況を安定させようとしているだけだ。,チェン,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,79,,,,False
name,她火气上头，你也是。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,80,她火气上头，你也是。,彼女は今頭に血が上ってるし、君もだろう。,ホシグマ,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,81,,,,False
name,我只是顺水推舟了一把。龙门损失惨重，这是“事实”，他们都应当知道的“事实”。,,,,,,,,,,,,,,,,陈,,,,,,,,,,82,我只是顺水推舟了一把。龙门损失惨重，这是“事实”，他们都应当知道的“事实”。,私はただ流れに乗っただけだ。龍門が甚大な被害を受けている、それが“事実”であり、彼らも知るべき“事実”だ。,チェン,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,83,,,,False
name,这不好，也不像是你会做的事。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,84,这不好，也不像是你会做的事。,それはよくないし、君らしくないな。,ホシグマ,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,85,,,,False
name,这是为了龙门。,,,,,,,,,,,,,,,,陈,,,,,,,,,,86,这是为了龙门。,これは龍門のためだ。,チェン,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,87,,,,False
name,这么说话更不像你了，你是探长，是高级警司，不是政客，逢场作戏从来都不是你的天职。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,88,这么说话更不像你了，你是探长，是高级警司，不是政客，逢场作戏从来都不是你的天职。,そんな話し方はますます君らしくない。君は探長であり、高級警司だ。政治家じゃない、駆け引きは本来の仕事じゃないはずだろう。,ホシグマ,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,89,,,,False
name,这确实不是一个正规的警员该做的事，但我别无选择。,,,,,,,,,,,,,,,,陈,,,,,,,,,,90,这确实不是一个正规的警员该做的事，但我别无选择。,確かに正式な警官としてやるべきことではない。しかし他に選択肢はない。,チェン,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,91,,,,False
name,......,,,,,,,,,,,,,,,,星熊,,,,,,,,,,92,......,……,ホシグマ,True
name,你太累了，需要好好放个假。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,93,你太累了，需要好好放个假。,君は疲れすぎている。しっかり休みを取った方がいい。,ホシグマ,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,94,,,,False
name,可能吧。,,,,,,,,,,,,,,,,陈,,,,,,,,,,95,可能吧。,そうかもしれない。,チェン,True
name,呵......我确实想过。,,,,,,,,,,,,,,,,陈,,,,,,,,,,96,呵......我确实想过。,はは……確かに考えたことはある。,チェン,True
name,星熊，我需要一次很长很长的休假。,,,,,,,,,,,,,,,,陈,,,,,,,,,,97,星熊，我需要一次很长很长的休假。,ホシグマ、私はとても長い休暇が必要だ。,チェン,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,98,,,,False
name,等这次的事情结束以后就去吧，别死撑着。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,99,等这次的事情结束以后就去吧，别死撑着。,今回の件が終わったら行けよ、無理するな。,ホシグマ,True
name,黄城，或者春都？要么就花郡吧，黄城离这里太远了，花在路上的时间够再休一次了。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,100,黄城，或者春都？要么就花郡吧，黄城离这里太远了，花在路上的时间够再休一次了。,こうじょう、それとも春都？いや、花郡にしろよ。黄城はここから遠すぎるし、移動時間でまた休みが終わるぞ。,ホシグマ,True
name,还是回维多利亚见见校友？,,,,,,,,,,,,,,,,星熊,,,,,,,,,,101,还是回维多利亚见见校友？,それともビクトリアに戻って、昔の同級生に会うか？,ホシグマ,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,102,,,,False
name,我想去你的家乡看看。,,,,,,,,,,,,,,,,陈,,,,,,,,,,103,我想去你的家乡看看。,君の故郷を見てみたい。,チェン,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,104,,,,False
name,别去，没龙门有意思。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,105,别去，没龙门有意思。,やめておけ、龍門ほど面白くないぞ。,ホシグマ,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,106,,,,False
name,哈哈。,,,,,,,,,,,,,,,,陈,,,,,,,,,,107,哈哈。,はは。,チェン,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,False
camerashake,,,,,,,,,true,,,,,,,,,,,,0.3,5,3,30,90,true,110,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,0.6,,,,,,,,,,,,,,,,111,,,,False
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,112,,,,False
name,嗯？,,,,,,,,,,,,,,,,星熊,,,,,,,,,,113,嗯？,ん？,ホシグマ,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,114,,,,False
name,通讯。,,,,,,,,,,,,,,,,陈,,,,,,,,,,115,通讯。,通信だ。,チェン,True
name,......是机密频道。,,,,,,,,,,,,,,,,陈,,,,,,,,,,116,......是机密频道。,……秘密チャンネルだ。,チェン,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,117,,,,False
name,那我先出去。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,118,那我先出去。,じゃあ私は外に出る。,ホシグマ,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,119,,,,False
name,麻烦你。,,,,,,,,,,,,,,,,陈,,,,,,,,,,120,麻烦你。,頼む。,チェン,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,False
blocker,,,,,1,0,0,0,true,,,,,,1,,,,,,,,,,,,123,,,,False
delay,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,124,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,False
image,,,,,,,,,,,,,,bg_5_2_call,2,coverall,,,,,,,,,,,127,,,,False
blocker,,,,,0,,,,true,,,,,,1,,,,,,,,,,,,128,,,,False
name,请说，我在听。,,,,,,,,,,,,,,,,陈,,,,,,,,,,129,请说，我在听。,どうぞ、聞いている。,チェン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,False
name,陈sir......那些感染者，整合运动......到处都是。,,,,,,,,,,,,,,,,？？？,,,,,,,,,,131,陈sir......那些感染者，整合运动......到处都是。,チェンさん……あの感染者たち、レユニオン……どこにでもいます。,？？？,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,,,132,,,,False
name,XR02？你在哪里？,,,,,,,,,,,,,,,,陈,,,,,,,,,,133,XR02？你在哪里？,XR02？君はどこだ？,チェン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,False
name,木禾仓库。我中了几箭，应该活不长了。这是陷阱......,,,,,,,,,,,,,,,,？？？,,,,,,,,,,135,木禾仓库。我中了几箭，应该活不长了。这是陷阱......,ムォホの倉庫です。私は矢を何本か受けて、もう長くは持たないはずです。これは罠です……,？？？,True
name,等他们都走了你再来这里。那个情报，我会留在身上。他们不会懂的。,,,,,,,,,,,,,,,,？？？,,,,,,,,,,136,等他们都走了你再来这里。那个情报，我会留在身上。他们不会懂的。,彼らがみんな去ってから、ここに来てください。あの情報は私のところに残しておきます。彼らには分からないはずです。,？？？,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,,,137,,,,False
name,代号XR02，你在那里等着。近卫局会立刻赶过去。你手上的情报有时效性，我们必须拿到手。,,,,,,,,,,,,,,,,陈,,,,,,,,,,138,代号XR02，你在那里等着。近卫局会立刻赶过去。你手上的情报有时效性，我们必须拿到手。,コードネームXR02、そこに待っていろ。近衛局がすぐに駆けつける。君が持っている情報は期限付きだ、必ず手に入れなければならない。,チェン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,False
name,我不确定，陈sir. 你有你的任务，我不想拖累你们。,,,,,,,,,,,,,,,,？？？,,,,,,,,,,140,我不确定，陈sir. 你有你的任务，我不想拖累你们。,分かりません、チェンさん。あなたにはあなたの任務があります。私は足を引っ張りたくありません。,？？？,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,,,141,,,,False
name,XR02，不准死。你必须活下去。,,,,,,,,,,,,,,,,陈,,,,,,,,,,142,XR02，不准死。你必须活下去。,XR02、死ぬな。君は生きなければならない。,チェン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,False
name,......我没法说服你，陈sir. 你们要小心。,,,,,,,,,,,,,,,,？？？,,,,,,,,,,144,......我没法说服你，陈sir. 你们要小心。,……説得できません、チェンさん。どうか気を付けてください。,？？？,True
name,等等，有动静。,,,,,,,,,,,,,,,,？？？,,,,,,,,,,145,等等，有动静。,待って、何か音が……,？？？,True
name,【电流声】,,,,,,,,,,,,,,,,？？？,,,,,,,,,,146,【电流声】,【電流音】,？？？,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,,,147,,,,False
name,XR02？XR02！,,,,,,,,,,,,,,,,陈,,,,,,,,,,148,XR02？XR02！,XR02？XR02！,チェン,True
name,......,,,,,,,,,,,,,,,,陈,,,,,,,,,,149,......,……,チェン,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,False
blocker,,,,,1,0,0,0,true,,,,,,1,,,,,,,,,,,,152,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,False
blocker,,,,,0,,,,true,,,,,,1,,,,,,,,,,,,154,,,,False
character,,,,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,,,155,,,,False
name,星熊？,,,,,,,,,,,,,,,,陈,,,,,,,,,,156,星熊？,ホシグマ？,チェン,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,157,,,,False
name,啊，在。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,158,啊，在。,ああ、いるよ。,ホシグマ,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,159,,,,False
name,去整备队伍吧，我们该走了。,,,,,,,,,,,,,,,,陈,,,,,,,,,,160,去整备队伍吧，我们该走了。,部隊の整備に行ってくれ。出発の時間だ。,チェン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,False
blocker,,,,,1,0,0,0,true,,,,,,2,,,,,,,,,,,,163,,,,False
playmusic,,$darkness01_loop,,,,,,,,$darkness01_intro,0.6,1.5,0.5,,,,,,,,,,,,,,164,,,,False
background,,,,,,,,,,,,,,bg_uptown_1,,coverall,,,,,,,,,,,165,,,,False
blocker,,,,,0,,,,true,,,,,,2,,,,,,,,,,,,166,,,,False
character,,,,,,,,,,,,,,,1,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,167,,,,False
delay,,,,,,,,,,,,,,,,,,,,1,,,,,,,168,,,,False
name,陈长官，你要出发了吗？,,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,169,陈长官，你要出发了吗？,チェン長官、出発するのですか？,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,170,,,,False
name,罗德岛还剩下多少武装力量？,,,,,,,,,,,,,,,,陈,,,,,,,,,,171,罗德岛还剩下多少武装力量？,ロドスにはまだどれだけの戦力が残っている？,チェン,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,172,,,,False
name,这不在可交换情报里，陈长官。我们接到的命令是辅助近卫局行动，但不能直接听从你的调遣，长官。,,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,173,这不在可交换情报里，陈长官。我们接到的命令是辅助近卫局行动，但不能直接听从你的调遣，长官。,それは交換可能な情報ではありません、チェン長官。私たちの命令は近衛局の支援ですが、あなたの直接の指揮には従えません、長官。,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,174,,,,False
name,我好像还没提出这种要求。,,,,,,,,,,,,,,,,陈,,,,,,,,,,175,我好像还没提出这种要求。,私はまだそんな要求はしていないはずだ。,チェン,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,176,,,,False
name,抱、抱歉，多言了。,,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,177,抱、抱歉，多言了。,す、すみません、余計なことを言いました。,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,178,,,,False
name,没事。我只是想询问下罗德岛的状况，问问你们有没有安保上的难题，是否需要近卫局的帮助。,,,,,,,,,,,,,,,,陈,,,,,,,,,,179,没事。我只是想询问下罗德岛的状况，问问你们有没有安保上的难题，是否需要近卫局的帮助。,問題ない。ただロドスの状況を尋ねただけだ。警備上の問題があるかや、近衛局の助けが必要かどうか聞いただけだ。,チェン,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,180,,,,False
name,整合运动多次被击退，已经放弃进攻罗德岛本舰了。从种种迹象来看，龙门的形势要比罗德岛严峻得多。,,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,181,整合运动多次被击退，已经放弃进攻罗德岛本舰了。从种种迹象来看，龙门的形势要比罗德岛严峻得多。,レユニオンは何度も撃退され、ロドス本艦への攻撃は諦めています。どうやら龍門の方がロドスよりはるかに状況は厳しいようです。,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,182,,,,False
name,......,,,,,,,,,,,,,,,,陈,,,,,,,,,,183,......,……,チェン,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,184,,,,False
name,抱歉，这样形容好像不太对......,,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,185,抱歉，这样形容好像不太对......,すみません、この言い方はよくなかったかもしれません……,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,186,,,,False
name,也就是说，你们并不需要近卫局的帮助。,,,,,,,,,,,,,,,,陈,,,,,,,,,,187,也就是说，你们并不需要近卫局的帮助。,つまり、君たちは近衛局の助けが必要ないということだな。,チェン,True
