command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,a,r,g,b,fadetime,block,image,x,y,xScale,yScale,time,name,name2,focus,initr,width,height,duration,fadeout,xstrength,ystrength,vibrato,randomness,options,values,references, fadetime,option_number,index,text,jp_text,jp_name,text_match
name,已经，快到南方出口了。只要撤出切尔诺伯格，我们就......,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,60,已经，快到南方出口了。只要撤出切尔诺伯格，我们就......,もうすぐ南の出口だよ。チェルノボーグから撤退できれば、私たちは……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,0,61,,,,False
name,我们......就......,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,62,我们......就......,私たちは……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,0,63,,,,False
name,......,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,64,......,……,アーミヤ,True
name,博士......能......让我靠一下吗......,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,65,博士......能......让我靠一下吗......,ドクター……少しだけ……寄り添ってもいい？,アーミヤ,True
name,一下......一下就好......,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,66,一下......一下就好......,ちょっと……ちょっとだけでいいから……,アーミヤ,True
name,......,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,67,......,……,アーミヤ,True
blocker,,,,,,,,,1,0,0,0,1,true,,,,,,,,,,2,,,,,,,,,,,,,0,68,,,,False
character,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,69,,,,False
background,,,,,,,,,,,,,1,true,bg_cher_10,,,,,,,,,,1,1,,,,,,,,,,,0,70,,,,False
blocker,,,,,,,,,0,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,0,71,,,,False
character,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,,,,0,72,,,,False
playmusic,,$escape_loop,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,73,,,,False
name,————,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,0,74,————,————,タルラ,True
name,难缠。,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,0,75,难缠。,厄介だ。,タルラ,True
character,,,,,,,,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,,,,,,,,0,76,,,,False
name,......,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,0,77,......,……,メフィスト,True
name,竟然......能，能做到这一步......这家伙......,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,0,78,竟然......能，能做到这一步......这家伙......,まさか……ここまで、できるなんて……こいつ……,メフィスト,True
name,半个街区被烧成焦炭，整个广场都陷入火海......钢铁被融化又重新凝固......,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,0,79,半个街区被烧成焦炭，整个广场都陷入火海......钢铁被融化又重新凝固......,半分の街区が焼け焦げ、広場全体が火の海になって……鉄が溶けて再び固まった……,メフィスト,True
name,但他为什么......还能战斗？,,,,,,,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,0,80,但他为什么......还能战斗？,でも、なぜあいつは……まだ戦えるんだ？,メフィスト,True
character,,,,,,,,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,,,0,81,,,,False
name,奋战至尸骨无存——了不起。,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,0,82,奋战至尸骨无存——了不起。,戦い抜いて骨も残らない――見事だ。,？？？,True
background,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,4,0,83,,,,False
character,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,,,,0,84,,,,False
name,我记住了。,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,0,85,我记住了。,覚えておくわ。,タルラ,True
delay,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0,86,,,,False
name,......罗德岛。,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,0,87,......罗德岛。,……ロドス。,タルラ,True
delay,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0,88,,,,False
blocker,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,0,89,,,,False
