command,text_orig,key,is_skippable,fit_mode,image,width,height,screenadapt,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,xScale,yScale,duration,xstrength,ystrength,vibrato,randomness,fadeout,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,afrom,rfrom,gfrom,bfrom,index,text,jp_text,jp_name,text_match
name,刚才他刻意没有瞄准你，近卫局的长官。这算是我礼节性地回报你，饶你一次。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,刚才他刻意没有瞄准你，近卫局的长官。这算是我礼节性地回报你，饶你一次。,さっき彼はわざと君を狙わなかったよ、近衛局の指揮官。それが私なりの礼儀だ、一度だけ命を助けてやった。,メフィスト,True
name,现在，就连近卫局里也埋藏着不安的种子。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,现在，就连近卫局里也埋藏着不安的种子。,今や、近衛局の中にも不安の種が蒔かれている。,メフィスト,True
name,也正是你们的腐坏和大意，让他有机会和我们里应外合。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,也正是你们的腐坏和大意，让他有机会和我们里应外合。,君たちの腐敗と油断が、彼に我々と結託する機会を与えたのだ。,メフィスト,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,False
name,......整合运动，你们对你们所在的这片大地一无所知。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,......整合运动，你们对你们所在的这片大地一无所知。,……レユニオン、お前たちはこの地について何も分かっていない。,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
name,这句话有什么深意吗？,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,这句话有什么深意吗？,その言葉に何か深い意味があるのかい？,メフィスト,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,False
name,你认为浮士德是你们整合运动营救的？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,你认为浮士德是你们整合运动营救的？,ファウストはレユニオンが救出したと思っているのか？,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,False
name,近卫局里有许多感染者。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,近卫局里有许多感染者。,近衛局には多くの感染者がいる。,メフィスト,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,False
name,二十一个。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,二十一个。,二十一人だ。,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,False
name,......,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,......,……,メフィスト,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,False
name,你是不是觉得，至少有四个一定会是彻彻底底的整合运动？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,你是不是觉得，至少有四个一定会是彻彻底底的整合运动？,少なくとも四人は完全なレユニオンの一員だと思っているのか？,チェン,True
name,可是连他们四个也都是我安插的。他们在接应你之后，你是不是囚禁了其中一个？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,可是连他们四个也都是我安插的。他们在接应你之后，你是不是囚禁了其中一个？,だがその四人さえも私が送り込んだ者だ。君を迎えたあと、その一人を監禁しただろう？,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,False
name,很高明，长官。她逃走了。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,很高明，长官。她逃走了。,見事だよ、指揮官。彼女は逃げ出した。,メフィスト,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,False
name,所以现在你还意识不到自己的处境吗？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,所以现在你还意识不到自己的处境吗？,それでも、まだ自分の立場に気づいていないのか？,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,False
name,是啊，我该意识到的。我的队伍已经溃散，只剩下我任人宰割。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,是啊，我该意识到的。我的队伍已经溃散，只剩下我任人宰割。,そうだね、私は理解すべきだった。私の隊は崩壊し、残ったのは私一人、好きなようにしていいさ。,メフィスト,True
name,近卫局内外游荡着缺乏战力的士兵，我的同胞几乎失去了抵抗能力。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,近卫局内外游荡着缺乏战力的士兵，我的同胞几乎失去了抵抗能力。,近衛局の内外には戦力の乏しい兵士がさまよい、私の仲間はほとんど抵抗力を失った。,メフィスト,True
name,你是想这么说吗？,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,你是想这么说吗？,そう言いたいのか？,メフィスト,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,False
name,还算有些自知之明。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,还算有些自知之明。,分かっているなら、まだマシだな。,チェン,True
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,False
name,那么——来，我的护卫们。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,那么——来，我的护卫们。,ならば――来い、私の護衛たちよ。,メフィスト,True
name,起来。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,起来。,立ち上がれ。,メフィスト,True
blocker,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,77,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,78,,,,False
character,,,,,,,,,2,,,,,,avg_npc_014,,,,,,,true,,,,,,,,,,,,,,,,,,,,,79,,,,False
delay,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,False
name,唔，唔唔，呃呃呃呃呃！！！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,唔，唔唔，呃呃呃呃呃！！！,う、ううう、うぅぅぅぅ！！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,False
name,你！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,你！,お前！,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,False
name,他们身上的源石......在生长？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,他们身上的源石......在生长？,彼らの体の源石......成長しているのか？,チェン,True
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,False
name,那些源石会刺穿他们原本的身体结构，成为他们新的身躯。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,那些源石会刺穿他们原本的身体结构，成为他们新的身躯。,その源石が彼らの元の体を突き破り、新しい肉体を形成するのさ。,メフィスト,True
name,看吧长官，看吧，这就是我的护卫，我不死的护卫。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,看吧长官，看吧，这就是我的护卫，我不死的护卫。,見てごらん、指揮官、これが私の護衛、不死の護衛だ。,メフィスト,True
character,,,,,,,,,2,,,,,,avg_npc_015,,,,,,,true,,,,,,,,,,,,,,,,,,,,,89,,,,False
delay,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,False
name,【嘶嚎】,,,,,,,,,,,,,,梅菲斯特的护卫,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,【嘶嚎】,【唸り声】,メフィストの護衛,True
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,False
name,还有，我的牧群，我的同胞......,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,还有，我的牧群，我的同胞......,それに、私の群れ、私の同胞たちも……,メフィスト,True
name,呼......,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,呼......,ふう……,メフィスト,True
blocker,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,95,,,,False
image,,,,,avg_5_7_shining,,,coverall,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,,,false,,,20,,,,,,0,0,0,0,1,1,1.15,1.15,,,,,97,,,,False
blocker,,,,,,,,,2,,,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,98,,,,False
name,粉尘......？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,粉尘......？,粉塵……？,チェン,True
name,同胞们需要治疗。他们需要我。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,同胞们需要治疗。他们需要我。,同胞たちには治療が必要だ。彼らには私が必要なんだ。,メフィスト,True
name,法术？各小队，当心！敌方指挥官释放了法术，粉尘飘散的范围非常大！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,法术？各小队，当心！敌方指挥官释放了法术，粉尘飘散的范围非常大！,術か？各小隊、警戒しろ！敵の指揮官が術を発動した！粉塵の範囲が非常に広い！,チェン,True
name,放心，长官，你们不是我的同胞，这和你没有关系。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,放心，长官，你们不是我的同胞，这和你没有关系。,安心しなよ、指揮官。君たちは私の同胞じゃない、これは君たちには関係ない。,メフィスト,True
blocker,,,,,,,,,1,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,103,,,,False
image,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,104,,,,False
blocker,,,,,,,,,2,,,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,105,,,,False
character,,,,,,,,,,,,,,,avg_npc_014,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,true,,,1,5,3,30,90,true,,,,,,,,,,,,,107,,,,False
name,......啊，啊——,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,......啊，啊——,……あっ、あぁ——,レユニオンメンバー,True
name,......呃，呃！,,,,,,,,,,,,,,正口运动成贝,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,......呃，呃！,……う、う！,正口運動成貝,True
camerashake,,,,,,,,,,,,,,,,,,,,,,true,,,1,5,3,30,90,true,,,,,,,,,,,,,110,,,,False
name,呃呃，呃呃呃......,,,,,,,,,,,,,,皜剜祈撠？？斤斤？伐,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,呃呃，呃呃呃......,うう、ううう……,皜剜祈撠？？斤斤？伐,True
camerashake,,,,,,,,,,,,,,,,,,,,,,true,,,1,5,3,30,90,true,,,,,,,,,,,,,112,,,,False
name,呃呃啊啊啊啊！,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,呃呃啊啊啊啊！,ううああああ！,？？？,True
name,......血！！血！！啊啊啊！！！啊！！！,,,,,,,,,,,,,,每非其寺巢巢郡,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,......血！！血！！啊啊啊！！！啊！！！,……血！！血だ！！ああああ！！！ああ！！！,毎非其寺巢巢郡,True
camerashake,,,,,,,,,,,,,,,,,,,,,,true,,,2,5,3,30,90,true,,,,,,,,,,,,,115,,,,False
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,False
name,安静。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,安静。,静かにしろ。,メフィスト,True
character,,,,,,,,,,,,,,,avg_npc_014,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,False
name,——,,,,,,,,,,,,,,梅非斯寺的群群,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,——,——,メフィストの群群,True
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,2,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,False
name,陈sir，不好了......,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,False
name,被击倒的整合运动粘上粉尘后，身体产生了巨大的变化，身体产生了巨大的变化！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,False
name,他们重新加入了战斗，正在缓缓逼近阵线！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,1,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,False
name,究竟有多少整合运动产生了变化？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,2,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,False
name,全部！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,1,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,False
name,——！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,False
delay,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,False
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,False
name,他们是我的牧群，也是我的手足。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,False
name,g7，g6。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,False
character,,,,,,,,,,,,,,,avg_npc_014,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,False
delay,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,False
name,——呃。,,,,,,,,,,,,,,梅菲斯特的牧群,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_1507_Mephisto_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,False
name,你......,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_1507_Mephisto_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,False
name,他们不会倒下，因为我会治愈他们所有的伤痛。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_1507_Mephisto_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,False
name,你像操作自己的手指一样操作他们，他们只是你的傀儡，怎么能叫做手足？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_1507_Mephisto_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,False
name,在我看来两者并无区别。为了理想，我们什么都可以是。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_1507_Mephisto_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,False
name,如果你把这叫做理想的话。看来，我必须要解决掉的就只有你。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_1507_Mephisto_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,,False
name,有目标，有干劲。很有魅力，长官。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,False
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,False
name,火力集中！快！目标敌方指挥官！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,False
blocker,,,,,,,,,0.2,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,151,,,,False
blocker,,,,,,,,,0.2,,,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,152,,,,False
playsound,,$p_imp_grenade_n,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,1,15,10,30,90,true,,,,,,,,,,,,,154,,,,False
character,,,,,,,,,,,,,,,avg_npc_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,false,,,1,8,6,30,90,true,,,,,,,,,,,,,156,,,,False
blocker,,,,,,,,,0.02,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,,,,,,157,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,False
blocker,,,,,,,,,0.25,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,,,,,,159,,,,False
name,——,,,,,,,,,,,,,,梅菲斯特的护卫,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,False
name,（呻吟）,,,,,,,,,,,,,,梅菲斯特的护卫,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,False
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,False
name,但我的护卫不是常人能撼动的。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,False
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,False
name,用肉体为指挥官挡住了爆炸......还毫发无损？！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,False
name,刚才的火力，差不多能炸穿一层城市防壁了啊！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,False
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,False
