command,text_orig,key,is_skippable,fit_mode,image,fadetime,screenadapt,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,index,text,jp_text,jp_name,text_match
name,即使是切尔诺伯格城，在天灾的直接冲击下，也会化作一摊废墟。,,,,,,,,,,,,Ace,,,,,,,,32,即使是切尔诺伯格城，在天灾的直接冲击下，也会化作一摊废墟。,チェルノボーグの都市ですら、天災の直撃を受ければ瓦礫と化す。,エース,True
character,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,33,,,,False
name,整合运动在这个时候闹事，确实会制造更大的混乱。,,,,,,,,,,,,阿米娅,,,,,,,,34,整合运动在这个时候闹事，确实会制造更大的混乱。,レユニオンが今この時に動けば、確かに混乱がさらに大きくなる。,アーミヤ,True
character,,,,,,,,,,,,,char_130_doberm_ex,char_014_riope,2,,,,,,35,,,,False
name,杜宾，没时间了。,,,,,,,,,,,,Ace,,,,,,,,36,杜宾，没时间了。,ドーベルマン、もう時間がない。,エース,True
name,罗德岛能躲过整合运动的袭击，也能瞒着乌萨斯帝国行动，但面对天灾，我们终归是脆弱的。,,,,,,,,,,,,Ace,,,,,,,,37,罗德岛能躲过整合运动的袭击，也能瞒着乌萨斯帝国行动，但面对天灾，我们终归是脆弱的。,ロドスはレユニオンの襲撃を避け、ウルサス帝国の目を欺けても、天災の前では所詮脆い。,エース,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,38,,,,False
name,......,,,,,,,,,,,,杜宾,,,,,,,,39,......,……,ドーベルマン,True
name,够了，走吧。,,,,,,,,,,,,杜宾,,,,,,,,40,够了，走吧。,もう十分だ、行こう。,ドーベルマン,True
name,无论整合运动的计划有多疯狂，对于我们来说......,,,,,,,,,,,,杜宾,,,,,,,,41,无论整合运动的计划有多疯狂，对于我们来说......,レユニオンの計画がどんなに狂っていようと、私たちにとっては……,ドーベルマン,True
character,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,42,,,,False
name,各位的安全才是最重要的。,,,,,,,,,,,,阿米娅,,,,,,,,43,各位的安全才是最重要的。,皆さんの安全こそが最も大切です。,アーミヤ,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,44,,,,False
name,是。,,,,,,,,,,,,杜宾,,,,,,,,45,是。,はい。,ドーベルマン,True
character,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,46,,,,False
name,整合运动的领袖，可能把这次的事件看作一个标志，一种手段......,,,,,,,,,,,,阿米娅,,,,,,,,47,整合运动的领袖，可能把这次的事件看作一个标志，一种手段......,レユニオンの指導者は、今回の事件を一つの象徴、あるいは手段と見ているかもしれません……,アーミヤ,True
name,对我来说，只是罗德岛的处境，变得越来越危险。,,,,,,,,,,,,阿米娅,,,,,,,,48,对我来说，只是罗德岛的处境，变得越来越危险。,私にとっては、ただロドスの状況がどんどん危険になっているだけです。,アーミヤ,True
character,,,,,,,,,,,,,char_002_amiya_1,char_014_riope,2,,,,,,49,,,,False
name,在这个时间点挑起事端——,,,,,,,,,,,,Ace,,,,,,,,50,在这个时间点挑起事端——,この時点で事件を起こすなんて――,エース,True
name,整合运动不是足够狠毒，就是足够疯狂。,,,,,,,,,,,,Ace,,,,,,,,51,整合运动不是足够狠毒，就是足够疯狂。,レユニオンは残酷か、もしくは狂気だ。,エース,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,52,,,,False
name,也许，两者兼有。,,,,,,,,,,,,杜宾,,,,,,,,53,也许，两者兼有。,たぶん、両方だろう。,ドーベルマン,True
delay,,,,,,,,,,,,0.6,,,,,,,,,54,,,,False
blocker,,,,,,,,,,,,,,,,,,,,true,55,,,,False
