command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,effect,keep,amount,duration,xstrength,ystrength,vibrato,randomness,fadeout,screenadapt,x,y,xScale,yScale,index,text,jp_text,jp_name,text_match
name,还有——那个人。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,28,还有——那个人。,そして――あの人もね。,W,True
character,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,,,,,,29,,,,False
name,什么——？！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,30,什么——？！,なに――？！,アーミヤ,True
character,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,,,31,,,,False
name,下次，我会从你身上得到真相的，{@Nickname}。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,32,下次，我会从你身上得到真相的，{@Nickname}。,次は君から真実を聞き出すよ、{@Nickname}。,W,True
name,再见~,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,33,再见~,じゃあね～,W,True
playsound,,$d_gen_walk_n,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,False
dialog,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
character,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,37,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,38,,,,False
name,......为什么......她在......做什么？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,39,......为什么......她在......做什么？,……どうして……彼女は……何をしているの？,アーミヤ,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,40,,,,False
name,整合运动......撤退了。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,41,整合运动......撤退了。,レユニオン……撤退したな。,ドーベルマン,True
name,————已经超出了预定时间。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,42,————已经超出了预定时间。,――――予定時間を超えている。,ドーベルマン,True
name,立刻......撤回罗德岛。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,43,立刻......撤回罗德岛。,すぐに……ロドスへ撤退するぞ。,ドーベルマン,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,44,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,45,......,……,アーミヤ,True
name,......我来......护送后方干员。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,46,......我来......护送后方干员。,……私は……後方のオペレーターを護送する。,アーミヤ,True
character,,,,,,,,,,,,,,char_148_nearl_1,,,,,,,,,,,,,,,,,,,,,,,47,,,,False
name,阿米娅......,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,48,阿米娅......,アーミヤ……,ニアール,True
character,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,,,,,,49,,,,False
name,我没事。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,50,我没事。,大丈夫。,アーミヤ,True
character,,,,,,,,,,,,,,char_148_nearl_1,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
name,......好。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,52,......好。,……わかった。,ニアール,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,53,,,,False
name,去吧，阿米娅。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,54,去吧，阿米娅。,行け、アーミヤ。,ドーベルマン,True
blocker,,,,,,,,1,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,55,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,False
playmusic,,$darkness01_loop,,,,,,,$darkness01_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,58,,,,False
blocker,,,,,,,,0.5,,,,,,,,,1,,1,1,1,true,,,,,,,,,,,,,,,59,,,,False
blocker,,,,,,,,0.5,,,,,,,,,1,,0,0,0,true,,,,,,,,,,,,,,,60,,,,False
cameraeffect,,,,,,,,0,,,,,,,,,,,,,,,Grayscale,true,1,,,,,,,,,,,,61,,,,False
background,,,,,bg_cher_7,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,False
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,2,,,,,,,,,,,,,,,,,,,,,63,,,,False
blocker,,,,,,,,3,,,,,,,,,0,,,,,false,,,,,,,,,,,,,,,64,,,,False
name,.........,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,65,.........,.........,近衛オペレーター,True
name,...............,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,66,...............,...............,近衛オペレーター,True
name,......头儿......？,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,67,......头儿......？,……リーダー……？,近衛オペレーター,True
name,其他人呢......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,68,其他人呢......,他の皆は……,近衛オペレーター,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,1,,,,,,,,,,,,,,,,,,,,,69,,,,False
name,临光杜宾她们，已经带着阿米娅和博士突破了封锁。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,70,临光杜宾她们，已经带着阿米娅和博士突破了封锁。,ニアールとドーベルマンたちは、アーミヤとドクターを連れて突破した。,エース,True
name,而留下来断后的小队的干员们......,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,71,而留下来断后的小队的干员们......,残った殿（しんがり）部隊のオペレーターたちは……,エース,True
name,......都阵亡了。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,72,......都阵亡了。,……全員戦死した。,エース,True
blocker,,,,,,,,0.5,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,73,,,,False
background,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,False
cameraeffect,,,,,,,,0,,,,,,,,,,,,,,,Grayscale,true,0,,,,,,,,,,,,76,,,,False
blocker,,,,,,,,0.5,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,77,,,,False
blocker,,,,,,,,0.5,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,78,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,False
cameraeffect,,,,,,,,0,,,,,,,,,,,,,,,Grayscale,true,1,,,,,,,,,,,,80,,,,False
background,,,,,bg_cher_7,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,False
blocker,,,,,,,,0.5,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,82,,,,False
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,2,,,,,,,,,,,,,,,,,,,,,83,,,,False
name,......什么......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,84,......什么......,……なに……,近衛オペレーター,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,1,,,,,,,,,,,,,,,,,,,,,85,,,,False
name,你我是最后两个活着的。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,86,你我是最后两个活着的。,生き残ったのは君と俺だけだ。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,2,,,,,,,,,,,,,,,,,,,,,87,,,,False
name,......我想起来了......那个......那个怪物塔露拉......仅仅一个人......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,88,......我想起来了......那个......那个怪物塔露拉......仅仅一个人......,……思い出した……あの……あの怪物タルラ……たった一人で……,近衛オペレーター,True
name,近卫们竟然眨眼间就像棋子一样迸散横飞.......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,89,近卫们竟然眨眼间就像棋子一样迸散横飞.......,近衛たちは一瞬で駒のように吹き飛ばされた……,近衛オペレーター,True
name,那个怪物像捏黄油一样捏碎了重装干员......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,90,那个怪物像捏黄油一样捏碎了重装干员......,あの怪物はバターを捏ねるように重装オペレーターを潰した……,近衛オペレーター,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,1,,,,,,,,,,,,,,,,,,,,,91,,,,False
name,别出声。你伤得很重。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,92,别出声。你伤得很重。,喋るな。君はひどく傷ついている。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,2,,,,,,,,,,,,,,,,,,,,,93,,,,False
name,天灾......！她就是天灾的化身......否则，否则火力小组怎么可能一瞬间被焚烧成灰......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,94,天灾......！她就是天灾的化身......否则，否则火力小组怎么可能一瞬间被焚烧成灰......,天災……！彼女は天災の化身だ……さもなければ火力班があっという間に灰になるわけが……,近衛オペレーター,True
name,明明见识过她的法术，我却......我不能相信......我......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,95,明明见识过她的法术，我却......我不能相信......我......,彼女の術を見たはずなのに……信じられない……俺……,近衛オペレーター,True
name,惨叫......唔......呜......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,96,惨叫......唔......呜......,悲鳴……う……嗚……,近衛オペレーター,True
character,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,,,,,,,97,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,15,12,30,90,true,,,,,,98,,,,False
name,少说点！,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,99,少说点！,黙れ！,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,2,,,,,,,,,,,,,,,,,,,,,100,,,,False
name,......抱歉......我......我没法......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,101,......抱歉......我......我没法......,……ごめん……俺……もうだめだ……,近衛オペレーター,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,1,,,,,,,,,,,,,,,,,,,,,102,,,,False
name,冷静。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,103,冷静。,落ち着け。,エース,True
name,我帮你应急处理了一下。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,104,我帮你应急处理了一下。,応急処置をした。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,2,,,,,,,,,,,,,,,,,,,,,105,,,,False
name,......头儿......你的手......？,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,106,......头儿......你的手......？,……リーダー……その手……？,近衛オペレーター,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,1,,,,,,,,,,,,,,,,,,,,,107,,,,False
name,至少还有一只是能用的。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,108,至少还有一只是能用的。,まだ片方の手は使える。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,-1,,,,,,,,,,,,,,,,,,,,,109,,,,False
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,110,,,,False
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,2,,,,,,,,,,,,,,,,,,,,,111,,,,False
name,......头儿，逃吧。你的话，一定能够杀出去。,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,112,......头儿，逃吧。你的话，一定能够杀出去。,……リーダー、逃げて。あなたなら、きっと突破できる。,近衛オペレーター,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,1,,,,,,,,,,,,,,,,,,,,,113,,,,False
name,我们只拖了那个怪物几分钟。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,114,我们只拖了那个怪物几分钟。,あの怪物を数分足止めしただけだ。,エース,True
name,博士和阿米娅安全之前，我不能走。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,115,博士和阿米娅安全之前，我不能走。,ドクターとアーミヤが無事でない限り、俺は行けない。,エース,True
blocker,,,,,,,,0.5,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,116,,,,False
background,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,False
cameraeffect,,,,,,,,0,,,,,,,,,,,,,,,Grayscale,true,0,,,,,,,,,,,,119,,,,False
blocker,,,,,,,,0.5,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,120,,,,False
blocker,,,,,,,,0.5,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,121,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,False
cameraeffect,,,,,,,,0,,,,,,,,,,,,,,,Grayscale,true,1,,,,,,,,,,,,123,,,,False
background,,,,,bg_cher_7,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,False
blocker,,,,,,,,0.5,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,125,,,,False
character,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,,,,,,,126,,,,False
name,我得先阻止那个怪物。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,127,我得先阻止那个怪物。,まずあの怪物を止めなければ。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,2,,,,,,,,,,,,,,,,,,,,,128,,,,False
name,头儿......我也......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,129,头儿......我也......,リーダー……俺も……,近衛オペレーター,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,1,,,,,,,,,,,,,,,,,,,,,130,,,,False
name,你的命是我废了一只手换回来的。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,131,你的命是我废了一只手换回来的。,お前の命は、この手を犠牲にして救った命だ。,エース,True
name,哪怕你只能再活一分钟，我也希望这只手，至少也值一分钟。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,132,哪怕你只能再活一分钟，我也希望这只手，至少也值一分钟。,たとえあと1分しか生きられなくても、この手がその1分の価値になることを願う。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,2,,,,,,,,,,,,,,,,,,,,,133,,,,False
name,——,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,134,——,——,近衛オペレーター,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,1,,,,,,,,,,,,,,,,,,,,,135,,,,False
name,我去去就回。照顾好自己。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,136,我去去就回。照顾好自己。,すぐ戻る。自分の身を大事にしろ。,エース,True
blocker,,,,,,,,0.5,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,137,,,,False
background,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,False
cameraeffect,,,,,,,,0,,,,,,,,,,,,,,,Grayscale,true,0,,,,,,,,,,,,140,,,,False
blocker,,,,,,,,0.5,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,141,,,,False
blocker,,,,,,,,0.5,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,142,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,False
cameraeffect,,,,,,,,0,,,,,,,,,,,,,,,Grayscale,true,1,,,,,,,,,,,,144,,,,False
background,,,,,bg_cher_7,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,False
blocker,,,,,,,,0.5,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,146,,,,False
character,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,,,,,,,,147,,,,False
name,头儿......我真......不争气。,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,148,头儿......我真......不争气。,リーダー……俺、本当に……不甲斐ない……,近衛オペレーター,True
character,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,,,,,,,,149,,,,False
name,阿米娅......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,150,阿米娅......,アーミヤ……,近衛オペレーター,True
character,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,3,30,90,true,,,,,,152,,,,False
name,你们一定能实现......大家的愿望......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,153,你们一定能实现......大家的愿望......,君たちはきっと……みんなの願いを……,近衛オペレーター,True
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,154,......,……,アーミヤ,True
name,他们......我......呜......,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,155,他们......我......呜......,彼ら……私……うっ……,？？？,True
name,............,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,156,............,…………,アーミヤ,True
name,........阿米娅？,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,157,........阿米娅？,……アーミヤ？,？？？,True
name,............阿米娅？,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,158,............阿米娅？,…………アーミヤ？,？？？,True
stopmusic,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,False
blocker,,,,,,,,0.5,,,,,,,,,1,,1,1,1,true,,,,,,,,,,,,,,,160,,,,False
background,,,,,bg_cher_3,1,1,0,,,,,,,,,,,,,,true,,,,,,,,,,coverall,,,,,161,,,,False
cameraeffect,,,,,,,,0,,,,,,,,,,,,,,,Grayscale,true,0,,,,,,,,,,,,162,,,,False
blocker,,,,,,,,0.5,,,,,,,,,0,,0,0,0,true,,,,,,,,,,,,,,,163,,,,False
character,,,,,,,,0,,,,,,char_016_medic,char_002_amiya_1#4,2,,,,,,,,,,,,,,,,,,,,,164,,,,False
name,啊？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,165,啊？,え？,アーミヤ,True
character,,,,,,,,,,,,,,char_016_medic,char_002_amiya_1#4,1,,,,,,,,,,,,,,,,,,,,,166,,,,False
name,你怎么了......,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,167,你怎么了......,どうしたの……,医療オペレーター,True
character,,,,,,,,,,,,,,char_016_medic,char_002_amiya_1#4,2,,,,,,,,,,,,,,,,,,,,,168,,,,False
name,......没，没什么。只是刚才突然有些......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,169,......没，没什么。只是刚才突然有些......,……ううん、なんでもない。たださっき少し……,アーミヤ,True
name,......难受。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,170,......难受。,……苦しくなって。,アーミヤ,True
character,,,,,,,,,,,,,,char_016_medic,char_002_amiya_1#4,1,,,,,,,,,,,,,,,,,,,,,171,,,,False
name,呜......嗯......,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,172,呜......嗯......,うぅ……うん……,医療オペレーター,True
name,难受......吗......,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,173,难受......吗......,苦しい……のか……,医療オペレーター,True
name,呜......,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,174,呜......,うぅ……,医療オペレーター,True
character,,,,,,,,,,,,,,char_016_medic,char_002_amiya_1#4,2,,,,,,,,,,,,,,,,,,,,,175,,,,False
name,......别哭。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,176,......别哭。,……泣かないで。,アーミヤ,True
name,至少现在......先忍一忍吧。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,177,至少现在......先忍一忍吧。,少なくとも今は……我慢して。,アーミヤ,True
name,以前有个人这么对我说过......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,178,以前有个人这么对我说过......,前に誰かが私にこう言った……,アーミヤ,True
name,眼泪......要留到战争结束之后。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,179,眼泪......要留到战争结束之后。,涙は……戦争が終わってから流すものだって。,アーミヤ,True
name,现在......还不行。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,180,现在......还不行。,今は……まだ駄目だから。,アーミヤ,True
character,,,,,,,,,,,,,,char_016_medic,char_002_amiya_1#4,1,,,,,,,,,,,,,,,,,,,,,181,,,,False
name,嗯......呜......嗯......,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,182,嗯......呜......嗯......,うん……うぅ……うん……,医療オペレーター,True
blocker,,,,,,,,0.5,,,,,,,,,1,,0,0,0,true,,,,,,,,,,,,,,,183,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,False
background,,,,,bg_0_rhodes3,,,0,,,,,,,,,,,,,,,,,,,,,,,,coverall,,,,,185,,,,False
blocker,,,,,,,,1,,,,,,,,,0,,0,0,0,true,,,,,,,,,,,,,,,186,,,,False
name,走吧......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,187,走吧......,行こう……,アーミヤ,True
name,......我们回家。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,188,......我们回家。,……帰ろう。,アーミヤ,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,189,,,,False
blocker,,,,,,,,3,,,,,,,,,1,,0,0,0,true,,,,,,,,,,,,,,,190,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,False
image,,,,,avg_ep01,,,3,,,,,,,,,,,,,,,,,,,,,,,,coverall,0,0,1,1,192,,,,False
blocker,,,,,,,,0.6,,,,,,,,,0,,,,,false,,,,,,,,,,,,,,,193,,,,False
delay,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,194,,,,False
blocker,,,,,,,,2,,,,,,,,,1,,0,0,0,true,,,,,,,,,,,,,,,195,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,False
