command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,width,height,screenadapt,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,xScale,yScale,xScaleTo,yScaleTo,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,1,,,,,,,,,,,51,,,,False
name,这就没办法了。看来还是得勉强站起来动一下。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,52,这就没办法了。看来还是得勉强站起来动一下。,仕方ないな。無理してでも立ち上がって動くしかないか。,ホシグマ,True
name,你快去整顿队伍，速度。别被这些人拖住脚步，他们就是干这个的。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,53,你快去整顿队伍，速度。别被这些人拖住脚步，他们就是干这个的。,急いで部隊を立て直してくれ。早く。彼らに足止めされるな、あいつらの目的はそれだから。,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,,,,,,54,,,,False
playsound,,$e_skill_skulsrsword,,,,,,,,,,,,,,0.5,,0,,,,,,,,,,,,,,,55,,,,False
delay,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,56,,,,False
name,我觉得先处理掉他们也不迟。,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,57,我觉得先处理掉他们也不迟。,先にこいつらを始末しても遅くはないと思うが。,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,1,,,,,,,,,,,58,,,,False
name,你就不能先去看还有什么人受伤了吗？,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,59,你就不能先去看还有什么人受伤了吗？,先に他に負傷者がいないか確認できないのか？,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#4,2,,,,,,,,,,,60,,,,False
name,然后留你一身伤，独自面对整合运动？,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,61,然后留你一身伤，独自面对整合运动？,君を傷だらけのまま、たった一人でレユニオンに立ち向かわせるのか？,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#4,1,,,,,,,,,,,62,,,,False
name,老陈。你以为你在做什么？,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,63,老陈。你以为你在做什么？,チェン。自分が何をしてると思ってる？,ホシグマ,True
name,两年前在下水，你自己去追的匪首。我腿脚受了伤，但你很信任我，你留下我一个人战斗。你还记得吗？,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,64,两年前在下水，你自己去追的匪首。我腿脚受了伤，但你很信任我，你留下我一个人战斗。你还记得吗？,二年前、下水道で君は自ら匪賊の頭目を追った。私は足を怪我したが、君は私を信じて、一人で戦わせた。そのこと、覚えてるか？,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,2,,,,,,,,,,,65,,,,False
name,那次我追了他多长时间？,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,66,那次我追了他多长时间？,あの時、どれくらい彼を追いかけてた？,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,1,,,,,,,,,,,67,,,,False
name,三个小时。你可以信任我。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,68,三个小时。你可以信任我。,三時間。私を信じていい。,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,2,,,,,,,,,,,69,,,,False
name,现在也一样。,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,70,现在也一样。,今も同じだ。,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,71,,,,False
name,你们，整合运动！一齐上吧！,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,72,你们，整合运动！一齐上吧！,お前たち、レユニオン！まとめてかかってこい！,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_1011_wizard_1,char_1002_nsabr_1,,,,,,,,,,,,73,,,,False
name,可恶，居然挑衅我们！,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,74,可恶，居然挑衅我们！,くそっ、挑発しやがって！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#2,1,,,,,,,,,,,75,,,,False
name,我还能战斗。为什么这次你要留在这里，为什么不去率队夺回近卫局？这难道不才是首要任务吗？,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,76,我还能战斗。为什么这次你要留在这里，为什么不去率队夺回近卫局？这难道不才是首要任务吗？,私はまだ戦える。なぜ今回はここに居残る？なぜ隊を率いて近衛局を奪回しに行かない？それが最優先の任務じゃないのか？,ホシグマ,True
name,现在和三年前没有区别，你依然扛着只有你才能做的事情！,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,77,现在和三年前没有区别，你依然扛着只有你才能做的事情！,今も三年前も変わらない。君は未だに自分にしかできないことを背負い込んでいる！,ホシグマ,True
name,刚才在木禾仓库也是，你什么时候变得那么婆妈？老陈！,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,78,刚才在木禾仓库也是，你什么时候变得那么婆妈？老陈！,さっきの木禾倉庫でもそうだ。いつからそんなに優柔不断になったんだ？チェン！,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,2,,,,,,,,,,,79,,,,False
name,我不觉得保护自己的同事不受暴徒侵害有什么问题。,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,80,我不觉得保护自己的同事不受暴徒侵害有什么问题。,同僚を暴徒から守ることに、何の問題がある？,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,1,,,,,,,,,,,81,,,,False
name,你变了。以前的你是更刚强的人。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,82,你变了。以前的你是更刚强的人。,君は変わったな。前はもっと強かった。,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,2,,,,,,,,,,,83,,,,False
name,把你丢在这里？当然可以。只不过我以前权衡的是利弊，但现在，就像你说的那样——,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,84,把你丢在这里？当然可以。只不过我以前权衡的是利弊，但现在，就像你说的那样——,君をここに置いていく？もちろんできる。だが、以前は損得で判断していた。でも今は、君が言ったように——,チェン,True
name,把阿米娅他们留在废城这件事，我也一样感到......不适。,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,85,把阿米娅他们留在废城这件事，我也一样感到......不适。,アーミヤたちを廃都市に残すことにも……同じように違和感を覚えている。,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_1011_wizard_1,char_1002_nsabr_1,,,,,,,,,,,,86,,,,False
name,你们会尝到感染者的愤怒的！上啊！,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,87,你们会尝到感染者的愤怒的！上啊！,お前たちは感染者の怒りを思い知るんだ！行け！,レユニオンメンバー,True
blocker,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,88,,,,False
image,,,,,,,,,0,,avg_5_5_chen,,,,,,,,,,,,,,,,,,1,1,,,89,,,,False
imagetween,,,,,,,,,,,avg_5_5_chen,,,,,,,,,,,,20,,,,,,,,1.15,1.15,90,,,,False
blocker,,,,,0,,,,0.6,true,,,,,,,,,,,,,,,,,,,,,,,91,,,,False
name,也许我确实变了。时间久了，我对龙门的不满越来越少，相信我的人也越来越多。,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,92,也许我确实变了。时间久了，我对龙门的不满越来越少，相信我的人也越来越多。,確かに私は変わったかもしれない。時が経つにつれ、龍門への不満は減り、私を信じてくれる人も増えてきた。,チェン,True
name,你也不再仅仅是星熊督察了，你是我的朋友，我的搭档，星熊。,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,93,你也不再仅仅是星熊督察了，你是我的朋友，我的搭档，星熊。,君はもうホシグマ巡査だけじゃない。君は私の友人であり、相棒だ、ホシグマ。,チェン,True
name,你的盾，你替我撑了这么久；偶尔也要允许我做一回你的盾牌，星熊。,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,94,你的盾，你替我撑了这么久；偶尔也要允许我做一回你的盾牌，星熊。,君の盾でずっと私を守ってくれた。たまには私が君の盾にならせてくれ、ホシグマ。,チェン,True
name,哗。你说这话脸都不红一下的吗？,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,95,哗。你说这话脸都不红一下的吗？,えっ。よくそんなこと恥ずかしげもなく言えるな？,ホシグマ,True
name,*龙门粗口*。,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,96,*龙门粗口*。,*龍門の悪態*。,チェン,True
name,哈哈哈。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,97,哈哈哈。,ははは。,ホシグマ,True
name,算了，行吧。行啊，老陈，都听你的。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,98,算了，行吧。行啊，老陈，都听你的。,まあいいか。分かったよ、チェン、好きにしろ。,ホシグマ,True
delay,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,99,,,,False
blocker,,,,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,100,,,,False
