command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,a,r,g,b, name,index,text,jp_text,jp_name,text_match
name,医疗组！这里有伤员！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,28,医疗组！这里有伤员！,メディカルチーム！ここに負傷者がいる！,フランカ,True
name,转移他们的时候，动作轻点！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,29,转移他们的时候，动作轻点！,彼らを運ぶときは、丁寧にしてね！,フランカ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,30,,,,False
name,这我还是知道的！,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,31,这我还是知道的！,それくらい分かってるよ！,医療オペレーター,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,32,,,,False
name,阿米娅！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,33,阿米娅！,アーミヤ！,フランカ,True
name,你的情况呢？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,34,你的情况呢？,そっちの状況は？,フランカ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_107_liskam_1,35,,,,False
name,我们这里好像出了些小情况。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,36,我们这里好像出了些小情况。,こっちもちょっとした問題が発生したみたいだ。,レイズ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,37,,,,False
name,芙兰卡......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,38,芙兰卡......,フランカ……,アーミヤ,True
name,敌方的首领......就出现在我和雷蛇面前！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,39,敌方的首领......就出现在我和雷蛇面前！,敵のリーダーが……私とレイズの前に現れた！,アーミヤ,True
character,,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,40,,,,False
name,————,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,41,————,————,スカルシュレッダー,True
playsound,,$e_imp_sword_h,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,42,,,,False
blocker,,,,,,,,0.02,,,,,,,,,,,,,,,true,0.7,0.95,0.95,0.95,,43,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,,,,true,0,0.95,0.95,0.95,,44,,,,False
playsound,,$e_imp_sword_h,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,45,,,,False
blocker,,,,,,,,0.02,,,,,,,,,,,,,,,true,0.7,0.95,0.95,0.95,,46,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,,,,true,0,0.95,0.95,0.95,,47,,,,False
camerashake,,,,,,,,,,,,,,,,,1,6,10,50,90,true,true,,,,,,48,,,,False
character,,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,49,,,,False
name,你们还想藏到哪里去？,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,50,你们还想藏到哪里去？,お前たちはどこまで隠れようとする？,スカルシュレッダー,True
name,逃不掉的，罗德岛。,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,51,逃不掉的，罗德岛。,逃げられないぞ、ロドス。,スカルシュレッダー,True
name,我会粉碎你们——,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,52,我会粉碎你们——,お前たちを叩き潰してやる——,スカルシュレッダー,True
name,——彻彻底底地粉碎你们。,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,53,——彻彻底底地粉碎你们。,——徹底的に粉砕してやる。,スカルシュレッダー,True
name,你们这些......感染者的叛徒！,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,54,你们这些......感染者的叛徒！,お前たち……感染者の裏切り者どもめ！,スカルシュレッダー,True
playsound,,$e_skill_skulsrshot,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,55,,,,False
camerashake,,,,,,,,,,,,,,,,,1,10,12,50,90,true,true,,,,,,56,,,,False
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,,,,,,,57,,,,False
name,哦~这家伙终于亲自登场了。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,58,哦~这家伙终于亲自登场了。,ああ～、こいつがついに自分で出てきたんだ。,フランカ,True
name,虽然听起来还是蛮寒酸的......呢。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,59,虽然听起来还是蛮寒酸的......呢。,でも、なんだかセリフが貧相だね……,フランカ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_107_liskam_1,60,,,,False
name,阿米娅，我们好像——,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,61,阿米娅，我们好像——,アーミヤ、私たちはどうやら——,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,62,,,,False
name,啊，死胡同！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,63,啊，死胡同！,あっ、行き止まりだ！,フランカ,True
name,我好像跑过头了？！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,64,我好像跑过头了？！,私、走りすぎちゃった！？,フランカ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_107_liskam_1,65,,,,False
name,芙兰卡那里也是.....,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,66,芙兰卡那里也是.....,フランカの方も……,レイズ,True
name,我们被整合运动逼入死路了。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,67,我们被整合运动逼入死路了。,私たちはレユニオンに追い詰められて行き止まりだ。,レイズ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,68,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,69,......,……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_107_liskam_1,70,,,,False
name,只能硬上了。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,71,只能硬上了。,もう強行突破するしかない。,レイズ,True
name,我觉得，我们完全有击溃敌人的实力。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,72,我觉得，我们完全有击溃敌人的实力。,私たちには敵を打ち破る力が十分あるはずだ。,レイズ,True
name,稍稍用力一些也......,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,73,稍稍用力一些也......,ちょっと本気を出せば……,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,74,,,,False
name,这你就不懂了啊雷蛇。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,75,这你就不懂了啊雷蛇。,それは分かってないな、レイズ。,フランカ,True
name,无论我们展现出多少实力，可都不能让近卫局感到有威胁哦？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,76,无论我们展现出多少实力，可都不能让近卫局感到有威胁哦？,どんなに私たちが実力を見せても、近衛局を脅かしちゃいけないよ？,フランカ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_107_liskam_1,77,,,,False
name,总不能看着自己陷入危机吧！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,78,总不能看着自己陷入危机吧！,自分が危機に陥るのを黙って見てはいられないよ！,レイズ,True
name,重装小组，守住阵地！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,79,重装小组，守住阵地！,重装部隊、陣地を守れ！,レイズ,True
character,,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,80,,,,False
name,罗德岛的领导人......吗。,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,81,罗德岛的领导人......吗。,ロドスのリーダー……か。,スカルシュレッダー,True
name,身为感染者，却帮助龙门杀害感染者！,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,82,身为感染者，却帮助龙门杀害感染者！,感染者でありながら、龍門を手伝って感染者を殺すとは！,スカルシュレッダー,True
name,多少同胞的性命，你们都得血债血偿！,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,83,多少同胞的性命，你们都得血债血偿！,何人もの仲間の命、その報いをお前たちに払わせてやる！,スカルシュレッダー,True
playsound,,$e_skill_skulsrshot,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,84,,,,False
camerashake,,,,,,,,,,,,,,,,,1,10,12,50,90,true,false,,,,,,85,,,,False
name,给我进攻！,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,86,给我进攻！,攻撃しろ！,スカルシュレッダー,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,87,,,,False
name,————,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,88,————,————,アーミヤ,True
name,整合运动————,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,89,整合运动————,レユニオン————,アーミヤ,True
name,先结仇的、先伤害别人的、先使用暴力的——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,90,先结仇的、先伤害别人的、先使用暴力的——,先に恨みを買い、先に人を傷つけ、先に暴力を使ったのは——,アーミヤ,True
name,可是切尔诺伯格的你们！！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,91,可是切尔诺伯格的你们！！,でも、それはチェルノボーグのあなたたち！！,アーミヤ,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,92,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,93,,,,False
