command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,screenadapt,image,fadetime,block,time,name,a,r,g,b,name2,focus,width,height,index,text,jp_text,jp_name,text_match
,......（非人的笑声）,,,,,,,,,,,,,,,,,,,,,,37,,,,False
name,我......我，我想回乌萨斯......,,,,,,,,,,,,,整合运动成员,,,,,,,,,38,我......我，我想回乌萨斯......,お、俺……オーラスに帰りたい……,整合運動メンバー,True
name,这里有鬼！怪物！我看到两个女人的影子！,,,,,,,,,,,,,整合运动成员,,,,,,,,,39,这里有鬼！怪物！我看到两个女人的影子！,ここに幽霊がいる！化け物だ！二人の女の影を見たんだ！,整合運動メンバー,True
name,呃，呃呃！！我想回去，想回去！,,,,,,,,,,,,,整合运动成员,,,,,,,,,40,呃，呃呃！！我想回去，想回去！,うっ、うう！！帰りたい、帰りたいんだ！,整合運動メンバー,True
name,弑君者，我们不该来，不该来！,,,,,,,,,,,,,整合运动成员,,,,,,,,,41,弑君者，我们不该来，不该来！,弑君者、俺たちは来るべきじゃなかった、来るべきじゃなかった！,整合運動メンバー,True
playsound,,$d_gen_transmissionget,,,,0.4,,,,,,,,,,,,,,,,,42,,,,False
character,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,43,,,,False
name,回话！快回话！,,,,,,,,,,,,,弑君者,,,,,,,,,44,回话！快回话！,返事しろ！早く返事しろ！,弑君者,True
name,龙门贫民区的地形很复杂，不要被敌人干扰了！我们很安全！,,,,,,,,,,,,,弑君者,,,,,,,,,45,龙门贫民区的地形很复杂，不要被敌人干扰了！我们很安全！,龍門のスラム街の地形は複雑だ、敵に惑わされるな！俺たちは安全だ！,弑君者,True
name,（明明已经释放浓雾了，为什么我们的位置还是曝光了？）,,,,,,,,,,,,,弑君者,,,,,,,,,46,（明明已经释放浓雾了，为什么我们的位置还是曝光了？）,（すでに濃霧を使ったのに、なぜ俺たちの位置がまだバレてるんだ？）,弑君者,True
dialog,,,,,,,,,,,,,,,,,,,,,,,47,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,48,,,,False
stopmusic,,,,,,,,,,,2,,,,,,,,,,,,49,,,,False
background,,,,,,,,,,,1,true,,,,,,,,,,,50,,,,False
name,剩下那个叛徒的位置，我已经知道了。,,,,,,,,,,,,,塔露拉,,,,,,,,,51,剩下那个叛徒的位置，我已经知道了。,残ったあの裏切り者の位置は、もう分かったわ。,タルラ,True
name,她就在龙门，去刺杀她，去巩固你的名字，去让你的敌人感到恐怖。,,,,,,,,,,,,,塔露拉,,,,,,,,,52,她就在龙门，去刺杀她，去巩固你的名字，去让你的敌人感到恐怖。,彼女は龍門にいる、彼女を暗殺しに行きなさい、自分の名を確立し、敵に恐怖を与えるのよ。,タルラ,True
character,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,53,,,,False
name,......！,,,,,,,,,,,,,弑君者,,,,,,,,,54,......！,……！,弑君者,True
character,,,,,,,,,,,,,,,,,,,,,,,55,,,,False
name,杀完你的仇人，然后呢，你又该做什么？别忘了谁是真正的敌人。,,,,,,,,,,,,,霜星,,,,,,,,,56,杀完你的仇人，然后呢，你又该做什么？别忘了谁是真正的敌人。,仇人を倒したら、それでどうするんだ？誰が本当の敵か忘れるな。,霜星,True
dialog,,,,,,,,,,,,,,,,,,,,,,,57,,,,False
character,,,,,,,,,,,0.4,true,,char_144_red_7#8,,,,,,,,,58,,,,False
delay,,,,,,,,,,,,,0.8,,,,,,,,,,59,,,,False
character,,,,,,,,,,,0.3,true,,,,,,,,,,,60,,,,False
delay,,,,,,,,,,,,,0.5,,,,,,,,,,61,,,,False
character,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,62,,,,False
name,——谁！,,,,,,,,,,,,,弑君者,,,,,,,,,63,——谁！,――誰だ！,弑君者,True
dialog,,,,,,,,,,,,,,,,,,,,,,,64,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,65,,,,False
blocker,,,,,,,,,,,2,true,,,1,0,0,0,,,,,66,,,,False
background,,,,,,,,,coverall,bg_indoor_n,,,,,,,,,,,,,67,,,,False
blocker,,,,,,,,,,,1,true,,,0,0,0,0,,,,,68,,,,False
playmusic,,$darkness02_loop,,,$darkness02_loop,0.8,1.5,0.5,,,,,,,,,,,,,,,69,,,,False
character,,,,,,,,,,,,,,char_308_swire_1#6,,,,,char_015_lmg,1,,,70,,,,False
name,给我接那个家伙！,,,,,,,,,,,,,诗怀雅,,,,,,,,,71,给我接那个家伙！,あいつに電話をかけて！,スワイヤー,True
character,,,,,,,,,,,,,,char_308_swire_1#6,,,,,char_015_lmg,2,,,72,,,,False
name,抱歉，诗小姐，你在说谁？！,,,,,,,,,,,,,警员,,,,,,,,,73,抱歉，诗小姐，你在说谁？！,すみません、スワイヤーさん、誰のことですか？！,警官,True
character,,,,,,,,,,,,,,char_308_swire_1#6,,,,,char_015_lmg,1,,,74,,,,False
name,那个家伙！！,,,,,,,,,,,,,诗怀雅,,,,,,,,,75,那个家伙！！,あのやつだ！！,スワイヤー,True
character,,,,,,,,,,,,,,char_308_swire_1#6,,,,,char_015_lmg,2,,,76,,,,False
name,呃，啊？,,,,,,,,,,,,,警员,,,,,,,,,77,呃，啊？,え、あ？,警官,True
character,,,,,,,,,,,,,,,,,,,,,,,78,,,,False
name,（她在说谁啊？）,,,,,,,,,,,,,警员,,,,,,,,,79,（她在说谁啊？）,（誰のことを言ってるんだ？）,警官,True
name,（可能是说那个吧......）,,,,,,,,,,,,,近卫局成员,,,,,,,,,80,（可能是说那个吧......）,（たぶん、あれのことだろうな……）,近衛局メンバー,True
character,,,,,,,,,,,,,,char_308_swire_1#6,,,,,char_015_lmg,1,,,81,,,,False
name,粉头发的下水道生物！100800-00200-rct211-93001！拨这个号码，她的电话！,,,,,,,,,,,,,诗怀雅,,,,,,,,,82,粉头发的下水道生物！100800-00200-rct211-93001！拨这个号码，她的电话！,ピンク髪の下水道の生き物だ！100800-00200-rct211-93001！この番号をかけて、あいつの電話だ！,スワイヤー,True
character,,,,,,,,,,,,,,,,,,,,,,,83,,,,False
name,（这么长？她怎么背得下来的？！）,,,,,,,,,,,,,警员,,,,,,,,,84,（这么长？她怎么背得下来的？！）,（こんなに長い？どうやって覚えてるの？！）,警官,True
name,（......这个号码，我有印象，是不是那家的小姐？）,,,,,,,,,,,,,近卫局成员,,,,,,,,,85,（......这个号码，我有印象，是不是那家的小姐？）,（……この番号、なんか覚えがある、あの家の娘さんか？）,近衛局メンバー,True
character,,,,,,,,,,,,,,char_308_swire_1#6,,,,,char_015_lmg,1,,,86,,,,False
name,还在交头接耳个什么！,,,,,,,,,,,,,诗怀雅,,,,,,,,,87,还在交头接耳个什么！,まだヒソヒソ話してるのか！,スワイヤー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,88,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,89,,,,False
blocker,,,,,,,,,,,0.5,true,,,1,0,0,0,,,,,90,,,,False
blocker,,,,,,,,,,,1,true,,,0,0,0,0,,,,,91,,,,False
playsound,,$d_gen_transmissionget,,,,0.4,,,,,,,,,,,,,,,,,92,,,,False
name,您好。,,,,,,,,,,,,,？？？,,,,,,,,,93,您好。,こんにちは。,？？？,True
character,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,94,,,,False
name,臭老鼠！你在干嘛！是不是你！,,,,,,,,,,,,,诗怀雅,,,,,,,,,95,臭老鼠！你在干嘛！是不是你！,クソネズミ！何してやがる！お前か！,スワイヤー,True
character,,,,,,,,,,,,,,,,,,,,,,,96,,,,False
name,......你为什么会怀疑我？,,,,,,,,,,,,,？？？,,,,,,,,,97,......你为什么会怀疑我？,……どうして私を疑うの？,？？？,True
character,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,98,,,,False
name,不是你就好啊，哎，让我白担心一场......,,,,,,,,,,,,,诗怀雅,,,,,,,,,99,不是你就好啊，哎，让我白担心一场......,お前じゃないならいいんだ、あーあ、無駄に心配しちまった……,スワイヤー,True
character,,,,,,,,,,,,,,,,,,,,,,,100,,,,False
name,......,,,,,,,,,,,,,？？？,,,,,,,,,101,......,……,？？？,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,102,,,,False
name,......,,,,,,,,,,,,,诗怀雅,,,,,,,,,103,......,……,スワイヤー,True
name,我怀疑你什么？,,,,,,,,,,,,,诗怀雅,,,,,,,,,104,我怀疑你什么？,私はお前の何を疑ってるんだ？,スワイヤー,True
character,,,,,,,,,,,,,,,,,,,,,,,105,,,,False
name,如果你是说特殊部队。是我。,,,,,,,,,,,,,？？？,,,,,,,,,106,如果你是说特殊部队。是我。,もし特殊部隊のことなら、それは私だよ。,？？？,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,107,,,,False
name,......,,,,,,,,,,,,,诗怀雅,,,,,,,,,108,......,……,スワイヤー,True
name,林雨霞，我听错了吧，我听错了对不对？,,,,,,,,,,,,,诗怀雅,,,,,,,,,109,林雨霞，我听错了吧，我听错了对不对？,リン・ユーシャ、聞き間違えたよな、聞き間違えたってことだろ？,スワイヤー,True
character,,,,,,,,,,,,,,,,,,,,,,,110,,,,False
name,近卫局有近卫局该做的，我们有我们该做的。,,,,,,,,,,,,,林雨霞,,,,,,,,,111,近卫局有近卫局该做的，我们有我们该做的。,近衛局には近衛局の役割があり、私たちには私たちの役割があるの。,リン・ユーシャ,True
name,魏彦吾想你们维护龙门的秩序，而我们去除那些龙门不需要的东西。,,,,,,,,,,,,,林雨霞,,,,,,,,,112,魏彦吾想你们维护龙门的秩序，而我们去除那些龙门不需要的东西。,ウェイ・エンウはあなたたちに龍門の秩序維持を求めている、そして私たちは龍門に不要なものを排除する。,リン・ユーシャ,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,113,,,,False
name,这支队伍，你知道他们在贫民区里做什么？,,,,,,,,,,,,,诗怀雅,,,,,,,,,114,这支队伍，你知道他们在贫民区里做什么？,この部隊が、スラムで何をしているか知ってるか？,スワイヤー,True
character,,,,,,,,,,,,,,,,,,,,,,,115,,,,False
name,他们有好好帮你们消灭整合运动啊。,,,,,,,,,,,,,林雨霞,,,,,,,,,116,他们有好好帮你们消灭整合运动啊。,彼らはちゃんと君たちのために整合運動を排除してあげてるの。,リン・ユーシャ,True
character,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,117,,,,False
name,好不容易搭建起来的龙门缓冲社区，这是你父亲的心血！,,,,,,,,,,,,,诗怀雅,,,,,,,,,118,好不容易搭建起来的龙门缓冲社区，这是你父亲的心血！,やっと作り上げた龍門の緩衝コミュニティ、それはお前の父親の心血なんだぞ！,スワイヤー,True
name,如果没有你父亲的努力，现在的龙门怎么可能是这样？,,,,,,,,,,,,,诗怀雅,,,,,,,,,119,如果没有你父亲的努力，现在的龙门怎么可能是这样？,お前の父親の努力がなければ、今の龍門がこうなるはずないだろう？,スワイヤー,True
character,,,,,,,,,,,,,,,,,,,,,,,120,,,,False
name,你知道他们的目标？,,,,,,,,,,,,,林雨霞,,,,,,,,,121,你知道他们的目标？,彼らの目標を知ってる？,リン・ユーシャ,True
character,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,122,,,,False
name,你们已经定好了，说贫民区是整合运动最大的潜藏点和入侵渠道，想要毁掉贫民区！,,,,,,,,,,,,,诗怀雅,,,,,,,,,123,你们已经定好了，说贫民区是整合运动最大的潜藏点和入侵渠道，想要毁掉贫民区！,もう決めてるんだろ、スラムが整合運動最大の潜伏地で侵入路だって、スラムを壊したいんだろ！,スワイヤー,True
name,我说的对不对？,,,,,,,,,,,,,诗怀雅,,,,,,,,,124,我说的对不对？,私の言ってること、合ってるだろ？,スワイヤー,True
name,我们现在和罗德岛联手，整合运动完全不是我们的对手！你们不该做这些！,,,,,,,,,,,,,诗怀雅,,,,,,,,,125,我们现在和罗德岛联手，整合运动完全不是我们的对手！你们不该做这些！,今はロドスと手を組んで、整合運動なんて全然敵じゃないんだ！お前たちはこんなことすべきじゃない！,スワイヤー,True
character,,,,,,,,,,,,,,,,,,,,,,,126,,,,False
name,又在别人说明之前自顾自地猜测......,,,,,,,,,,,,,林雨霞,,,,,,,,,127,又在别人说明之前自顾自地猜测......,また人が説明する前に勝手に想像して……,リン・ユーシャ,True
name,虽然整合运动确实不堪一击，但他们从来都不是民间力量能解决的问题。,,,,,,,,,,,,,林雨霞,,,,,,,,,128,虽然整合运动确实不堪一击，但他们从来都不是民间力量能解决的问题。,確かに整合運動は脆いけど、市民の力で解決できる問題じゃないの。,リン・ユーシャ,True
name,运用真正的城邦力量清除威胁，这是我该做的。这是对抗入侵者的必需手段。,,,,,,,,,,,,,林雨霞,,,,,,,,,129,运用真正的城邦力量清除威胁，这是我该做的。这是对抗入侵者的必需手段。,本当の都市国家の力で脅威を排除する、これが私のやること。侵略者と戦うための必須手段なの。,リン・ユーシャ,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,130,,,,False
name,为什么不相信罗德岛和我们近卫局？,,,,,,,,,,,,,诗怀雅,,,,,,,,,131,为什么不相信罗德岛和我们近卫局？,なぜロドスと私たち近衛局を信じないんだ？,スワイヤー,True
character,,,,,,,,,,,,,,,,,,,,,,,132,,,,False
name,我们不信任罗德岛。以及，为什么要弄脏近卫局的手？,,,,,,,,,,,,,林雨霞,,,,,,,,,133,我们不信任罗德岛。以及，为什么要弄脏近卫局的手？,私たちはロドスを信頼してないし、なぜ近衛局の手を汚させる必要があるの？,リン・ユーシャ,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,134,,,,False
name,......脏手？,,,,,,,,,,,,,诗怀雅,,,,,,,,,135,......脏手？,……手を汚す？,スワイヤー,True
name,别告诉我你们要做绝。那里有你父亲的一切。,,,,,,,,,,,,,诗怀雅,,,,,,,,,136,别告诉我你们要做绝。那里有你父亲的一切。,まさか全部壊すつもりじゃないよな。そこにはお前の父さんの全てがあるんだぞ。,スワイヤー,True
character,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,137,,,,False
name,跟破坏比起来，建设要艰难得多！,,,,,,,,,,,,,诗怀雅,,,,,,,,,138,跟破坏比起来，建设要艰难得多！,壊すより、作るほうがずっと難しいんだぞ！,スワイヤー,True
name,砸坏一块玻璃，只需要一个人一秒钟......而造一块玻璃，你知道需要几道流程，多少时间吗？,,,,,,,,,,,,,诗怀雅,,,,,,,,,139,砸坏一块玻璃，只需要一个人一秒钟......而造一块玻璃，你知道需要几道流程，多少时间吗？,ガラスを一枚壊すのなんて、一人で一秒でできる……けど、ガラス一枚を作るのに何工程、どれだけ時間がかかるかわかってるか？,スワイヤー,True
character,,,,,,,,,,,,,,,,,,,,,,,140,,,,False
name,诗怀雅。,,,,,,,,,,,,,林雨霞,,,,,,,,,141,诗怀雅。,スワイヤー。,リン・ユーシャ,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,142,,,,False
name,嗯？,,,,,,,,,,,,,诗怀雅,,,,,,,,,143,嗯？,ん？,スワイヤー,True
character,,,,,,,,,,,,,,,,,,,,,,,144,,,,False
name,你知道市民们在害怕什么？你知道商会在忌惮什么？,,,,,,,,,,,,,林雨霞,,,,,,,,,145,你知道市民们在害怕什么？你知道商会在忌惮什么？,市民たちが何を怖がってるか、商会が何を恐れてるか知ってる？,リン・ユーシャ,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,146,,,,False
name,你头脑锈了吗，现在我们不就是在对抗整合运动吗？,,,,,,,,,,,,,诗怀雅,,,,,,,,,147,你头脑锈了吗，现在我们不就是在对抗整合运动吗？,お前、頭がイカれてないか？今まさに整合運動と戦ってるだろ？,スワイヤー,True
character,,,,,,,,,,,,,,,,,,,,,,,148,,,,False
name,你果然什么都不懂。,,,,,,,,,,,,,林雨霞,,,,,,,,,149,你果然什么都不懂。,やっぱり何も分かってないね。,リン・ユーシャ,True
character,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,150,,,,False
name,行啊，臭老鼠......我不懂，我能否有幸请您为我解释清楚呢？,,,,,,,,,,,,,诗怀雅,,,,,,,,,151,行啊，臭老鼠......我不懂，我能否有幸请您为我解释清楚呢？,いいぞ、クソネズミ……私は分かんないんだ、ぜひ説明してくれませんかね？,スワイヤー,True
character,,,,,,,,,,,,,,,,,,,,,,,152,,,,False
name,感染者......在不断增加。市民恐惧的是感染者，他们不会管这些感染者是整合运动又或者不是。,,,,,,,,,,,,,林雨霞,,,,,,,,,153,感染者......在不断增加。市民恐惧的是感染者，他们不会管这些感染者是整合运动又或者不是。,感染者……どんどん増えてる。市民が恐れてるのは感染者であって、彼らが整合運動だろうがなかろうが関係ないの。,リン・ユーシャ,True
name,就这样了。别去搜排水系统。,,,,,,,,,,,,,林雨霞,,,,,,,,,154,就这样了。别去搜排水系统。,以上よ。排水システムを探すのはやめて。,リン・ユーシャ,True
playsound,,$transmission,,,,0.4,,,,,,,,,,,,,,,,,155,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,156,,,,False
character,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,157,,,,False
name,啊？,,,,,,,,,,,,,诗怀雅,,,,,,,,,158,啊？,あ？,スワイヤー,True
name,喂？喂？！臭老鼠！！,,,,,,,,,,,,,诗怀雅,,,,,,,,,159,喂？喂？！臭老鼠！！,おい？おい？！クソネズミ！！,スワイヤー,True
name,*龙门粗口粗口粗口*！你敢挂我电话！！你居然敢挂我电话！！,,,,,,,,,,,,,诗怀雅,,,,,,,,,160,*龙门粗口粗口粗口*！你敢挂我电话！！你居然敢挂我电话！！,*龍門の罵り言葉罵り言葉罵り言葉*！あたしの電話を切るなんて！！よくもあたしの電話を切ったな！！,スワイヤー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,161,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,162,,,,False
blocker,,,,,,,,,,,1,true,,,1,0,0,0,,,,,163,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,164,,,,False
blocker,,,,,,,,,,,1,true,,,0,,,,,,,,165,,,,False
character,,,,,,,,,,,,,,avg_npc_036,,,,,,,,,166,,,,False
name,......,,,,,,,,,,,,,林雨霞,,,,,,,,,167,......,……,リン・ユーシャ,True
name,黑蓑们被陈逼走了？,,,,,,,,,,,,,林雨霞,,,,,,,,,168,黑蓑们被陈逼走了？,黒蓑たちはチェンに追い払われた？,リン・ユーシャ,True
name,这可怎么办，我该怎么办......,,,,,,,,,,,,,林雨霞,,,,,,,,,169,这可怎么办，我该怎么办......,どうしよう、私、どうすればいいの……,リン・ユーシャ,True
name,......他们应该会跳过陈，暗地加快进度。嗯，就这么做。,,,,,,,,,,,,,林雨霞,,,,,,,,,170,......他们应该会跳过陈，暗地加快进度。嗯，就这么做。,……彼らはチェンを避けて、密かにペースを上げるはず。うん、そうしよう。,リン・ユーシャ,True
name,爸爸，如果当时的你是现在的我，你也会这么做的，对吧。,,,,,,,,,,,,,林雨霞,,,,,,,,,171,爸爸，如果当时的你是现在的我，你也会这么做的，对吧。,お父さん、もしあの時のあなたが今の私だったら、あなたもこうしたでしょう？,リン・ユーシャ,True
name,......我在做什么呀我......,,,,,,,,,,,,,林雨霞,,,,,,,,,172,......我在做什么呀我......,……私、何をやってるんだろう……,リン・ユーシャ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,173,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,174,,,,False
blocker,,,,,,,,,,,2,true,,,1,0,0,0,,,,,175,,,,False
background,,,,,,,,,coverall,bg_outcity_1,,,,,,,,,,,1,1,176,,,,False
blocker,,,,,,,,,,,2,true,,,0,0,0,0,,,,,177,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,178,,,,False
name,怎么会？你说什么？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,179,怎么会？你说什么？,どういうことだ？何を言ってる？,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,avg_npc_016,2,,,180,,,,False
name,......你的牧群正在衰亡。,,,,,,,,,,,,,幻影弩手,,,,,,,,,181,......你的牧群正在衰亡。,……君の群れは衰えている。,ファントムアーチャー,True
name,虽然一开始它们的攻势确实惊人，但......我们不知道这段时间里发生了什么。根据侦察，他们的数量并没有继续增长。,,,,,,,,,,,,,幻影弩手,,,,,,,,,182,虽然一开始它们的攻势确实惊人，但......我们不知道这段时间里发生了什么。根据侦察，他们的数量并没有继续增长。,最初の攻撃は確かにすごかったけど……この間に何があったのか分からない。偵察によれば、数はもう増えてない。,ファントムアーチャー,True
name,虽然这个战术确实拖延了他们，但目前受到最大损伤的反而是一开始就遭到牧群袭击的整合运动队伍。,,,,,,,,,,,,,幻影弩手,,,,,,,,,183,虽然这个战术确实拖延了他们，但目前受到最大损伤的反而是一开始就遭到牧群袭击的整合运动队伍。,この戦術は確かに彼らの足止めにはなったが、今一番大きな損害を受けているのは最初に群れの攻撃を受けた整合運動の部隊だ。,ファントムアーチャー,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#3,,,,,avg_npc_016,1,,,184,,,,False
name,谁？是谁能做到？近卫局......近卫局不可能压制我的牧群！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,185,谁？是谁能做到？近卫局......近卫局不可能压制我的牧群！,誰だ？誰がそれをやった？近衛局……近衛局に俺の群れが抑えられるはずがない！,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#3,,,,,avg_npc_016,2,,,186,,,,False
name,可我们的同胞......,,,,,,,,,,,,,幻影弩手,,,,,,,,,187,可我们的同胞......,でも僕たちの仲間が……,ファントムアーチャー,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#3,,,,,avg_npc_016,1,,,188,,,,False
name,近卫局的战术和装备我都考虑过了，想对抗我的牧群，必须要花上至少两天的时间，究竟是谁压制了我的牧群？！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,189,近卫局的战术和装备我都考虑过了，想对抗我的牧群，必须要花上至少两天的时间，究竟是谁压制了我的牧群？！,近衛局の戦術と装備は全て考えていた。俺の群れを抑えるには最低でも二日はかかるはずだ。いったい誰が俺の群れを抑えたんだ？！,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,190,,,,False
name,穿黑色雨披的人。,,,,,,,,,,,,,浮士德,,,,,,,,,191,穿黑色雨披的人。,黒いレインコートを着ている者だ。,フリスト,True
character,,,,,,,,,,,,,,avg_npc_016,,,,,,,,,192,,,,False
name,队长！,,,,,,,,,,,,,幻影弩手,,,,,,,,,193,队长！,隊長！,ファントムアーチャー,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,194,,,,False
name,浮士德！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,195,浮士德！,フリスト！,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,196,,,,False
name,弩手们，调整现在的队伍！我和其他小队吸引了许多梅菲斯特的队员。,,,,,,,,,,,,,浮士德,,,,,,,,,197,弩手们，调整现在的队伍！我和其他小队吸引了许多梅菲斯特的队员。,アーチャーたち、今の隊列を調整しろ！俺と他の部隊は多くのメフィストの部隊を引きつけた。,フリスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,avg_npc_016,2,,,198,,,,False
name,......为什么？,,,,,,,,,,,,,幻影弩手,,,,,,,,,199,......为什么？,……なぜ？,ファントムアーチャー,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,avg_npc_016,1,,,200,,,,False
name,集聚起来的他们能帮我们阻拦近卫局。,,,,,,,,,,,,,浮士德,,,,,,,,,201,集聚起来的他们能帮我们阻拦近卫局。,集めた彼らが近衛局を食い止めてくれる。,フリスト,True
