command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,a,r,g,b,name2,focus,index,text,jp_text,jp_name,text_match
name,临光！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,30,临光！,リンコウ！,アーミヤ,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,31,,,,False
name,敌人的狙击手......很强！,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,32,敌人的狙击手......很强！,敵のスナイパー……とても強い！,ドゥーベン,True
name,临光再被击中的话，一定会失去防御能力！,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,33,临光再被击中的话，一定会失去防御能力！,リンコウがもう一度撃たれたら、防御能力を失うぞ！,ドゥーベン,True
character,,,,,,,,,,,,,,char_002_amiya_1#7 ,,,,,,,,,,,,,,34,,,,False
name,临光，快退后！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,35,临光，快退后！,リンコウ、早く下がって！,アーミヤ,True
character,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,36,,,,False
name,不行......威力太大了。如果击中我方小队，后果不堪设想。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,37,不行......威力太大了。如果击中我方小队，后果不堪设想。,ダメだ……威力が強すぎる。味方分隊に当たったら、とんでもないことになる。,リンコウ,True
name,我必须防住他的炮火！,,,,,,,,,,,,,临光,,,,,,,,,,,,,,38,我必须防住他的炮火！,彼の砲撃を防がないといけない！,リンコウ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,,,,,,39,,,,False
name,挡开了浮士德的弩炮？凭盾牌——？！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,40,挡开了浮士德的弩炮？凭盾牌——？！,ファウストのクロスボウを防いだ？盾で――？！,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#3,,,,,,,,,,,,,,41,,,,False
name,不可能......不可能！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,42,不可能......不可能！,ありえない……ありえない！,メフィスト,True
name,再来！！把她......打成碎渣！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,43,再来！！把她......打成碎渣！,もう一度だ！！あいつを……粉々にしろ！,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#2,,,,,,,,,,,,,,44,,,,False
name,————！,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,45,————！,―――！,ファウスト,True
character,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,46,,,,False
name,居然......右侧？！,,,,,,,,,,,,,临光,,,,,,,,,,,,,,47,居然......右侧？！,まさか……右側？！,リンコウ,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,48,,,,False
name,糟了！快闪开————,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,49,糟了！快闪开————,やばい！早く避けろ―――,ドゥーベン,True
character,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,50,,,,False
name,不会让你得逞！,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,51,不会让你得逞！,好きにはさせない！,エース,True
camerashake,,,,,,,,,,,,,,,1,8,6,30,90,true,false,,,,,,,52,,,,False
blocker,,,,,,,,0.02,,,,,,,,,,,,,true,0.7,0.95,0.95,0.95,,,53,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,,true,0,0.95,0.95,0.95,,,55,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,56,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7 ,,,,,,,,,,,,,,57,,,,False
name,Ace！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,58,Ace！,エース！,アーミヤ,True
character,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,59,,,,False
name,狙击干员，准备！,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,60,狙击干员，准备！,スナイパー、準備！,エース,True
name,——目标，南侧高台，齐射！,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,61,——目标，南侧高台，齐射！,――目標、南側の高台、一斉射撃！,エース,True
camerashake,,,,,,,,,,,,,,,1,8,6,30,90,true,false,,,,,,,62,,,,False
blocker,,,,,,,,0.02,,,,,,,,,,,,,true,0.7,0.95,0.95,0.95,,,63,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,,true,0,0.95,0.95,0.95,,,65,,,,False
playsound,,$e_atk_arrow_h,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,False
playsound,,$e_atk_arrow_h,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,False
character,,,,,,,,,,,,,,char_1508_Faust_1#2,,,,,,,,,,,,,,68,,,,False
name,......！,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,69,......！,……！,ファウスト,True
camerashake,,,,,,,,,,,,,,,1,8,6,30,90,true,false,,,,,,,70,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1#3,,,,,,,,,,,,,,71,,,,False
name,什么！你们居然敢，居然敢......！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,72,什么！你们居然敢，居然敢......！,なに！？お前たちよくも……よくも……！,メフィスト,True
character,,,,,,,,,,,,,,char_002_amiya_1#7 ,,,,,,,,,,,,,,73,,,,False
name,打中了吗？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,74,打中了吗？,当たったの？,アーミヤ,True
character,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,75,,,,False
name,没那么容易，这只能......稍稍压制他而已。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,76,没那么容易，这只能......稍稍压制他而已。,そう簡単じゃない、これでは……少し押さえつけるだけだ。,エース,True
name,没时间再去了解敌人的构成了！,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,77,没时间再去了解敌人的构成了！,敵の構成をこれ以上分析している暇はない！,エース,True
character,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,char_130_doberm_ex,2,78,,,,False
name,兼具机动性和威力，越拖下去，我们安全挡下他弩弹的几率就越小！,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,79,兼具机动性和威力，越拖下去，我们安全挡下他弩弹的几率就越小！,機動力と火力を兼ね備えてる。引き延ばせば引き延ばすほど、無事にクロスボウを防げる確率が下がる！,ドゥーベン,True
character,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,80,,,,False
name,别给他喘息的机会......！趁着E3小队狙击干员干扰他们的时候，阿米娅！,,,,,,,,,,,,,临光,,,,,,,,,,,,,,81,别给他喘息的机会......！趁着E3小队狙击干员干扰他们的时候，阿米娅！,彼に息をつかせるな……！E3分隊のスナイパーが妨害している間に、アーミヤ！,リンコウ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7 ,,,,,,,,,,,,,,82,,,,False
name,了解！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,83,了解！,了解！,アーミヤ,True
name,E1小队射手，和我一起，压制整合运动！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,84,E1小队射手，和我一起，压制整合运动！,E1分隊のアーチャー、私と一緒に統合運動を押さえ込んで！,アーミヤ,True
name,E2小队，用最大火力，撕开整合运动的防线！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,85,E2小队，用最大火力，撕开整合运动的防线！,E2分隊は最大火力で統合運動の防御線を突破して！,アーミヤ,True
blocker,,,,,,,,0.3,,,,,,,,,,,,,true,1,0,0,0,,,86,,,,False
blocker,,,,,,,,0.3,,,,,,,,,,,,,true,0,,,,,,87,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1#4,,,,,,,,,,,,,,88,,,,False
name,你们这些家伙......,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,89,你们这些家伙......,お前たち……,メフィスト,True
name,为什么不肯老老实实地去死？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,90,为什么不肯老老实实地去死？,どうして素直に死なないんだ？,メフィスト,True
name,你们的命运，为什么就不能在这里落下帷幕？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,91,你们的命运，为什么就不能在这里落下帷幕？,お前たちの運命は、なぜここで終わらせられないんだ？,メフィスト,True
name,——————我要把你们，通通————,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,92,——————我要把你们，通通————,————お前たち全員を、ぜんぶ————,メフィスト,True
character,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,93,,,,False
name,临光，趁现在，快！,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,94,临光，趁现在，快！,リンコウ、今のうちに、早く！,エース,True
character,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,95,,,,False
name,E4全体，随我冲击敌方阵形！,,,,,,,,,,,,,临光,,,,,,,,,,,,,,96,E4全体，随我冲击敌方阵形！,E4全隊、私に続け、敵の陣形に突撃だ！,リンコウ,True
name,一次性击溃前方的阻挡目标！,,,,,,,,,,,,,临光,,,,,,,,,,,,,,97,一次性击溃前方的阻挡目标！,一気に前方の障害物を打ち破れ！,リンコウ,True
name,狂奔起来！！,,,,,,,,,,,,,临光,,,,,,,,,,,,,,98,狂奔起来！！,全力で駆け抜けろ！！,リンコウ,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,99,,,,False
name,射击！射击！别让她靠近......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,100,射击！射击！别让她靠近......,撃て！撃て！近づけるな……,統合運動メンバー,True
name,啊......？,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,101,啊......？,ああ……？,統合運動メンバー,True
name,啊？？她刚刚不是还在二十米之外......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,102,啊？？她刚刚不是还在二十米之外......,あれ？？さっきまで彼女は二十メートルも先に……,統合運動メンバー,True
name,咕咳——唔啊啊啊啊！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,103,咕咳——唔啊啊啊啊！,グッ、ゴホッ――うああああ！,統合運動メンバー,True
camerashake,,,,,,,,,,,,,,,1,8,6,30,90,true,false,,,,,,,104,,,,False
blocker,,,,,,,,0.02,,,,,,,,,,,,,true,0.7,0.95,0.95,0.95,,,105,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,,true,0,0.95,0.95,0.95,,,108,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,109,,,,False
character,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,110,,,,False
name,想要对抗卡西米尔骑士——再去训练个几十年再说！,,,,,,,,,,,,,临光,,,,,,,,,,,,,,111,想要对抗卡西米尔骑士——再去训练个几十年再说！,カジミエーシュの騎士と戦いたいなら――あと何十年も鍛錬してからにするんだな！,リンコウ,True
character,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,char_130_doberm_ex,1,112,,,,False
name,杜宾！跟上我！,,,,,,,,,,,,,临光,,,,,,,,,,,,,,113,杜宾！跟上我！,ドゥーベン！私について来い！,リンコウ,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,114,,,,False
name,了解！,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,115,了解！,了解！,ドゥーベン,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,116,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,true,,,,,,,117,,,,False
