command,text_orig,key,is_skippable,fit_mode,a,r,g,b,block,intro,volume,crossfade,delay,screenadapt,image,width,height,fadetime,name,name2,focus,time,index,text,jp_text,jp_name,text_match
name,梅菲斯特怨恨的毒......我一定会清理干净。,,,,,,,,,,,,,,,,,,阿米娅,,,,20,梅菲斯特怨恨的毒......我一定会清理干净。,メフィストの憎しみの毒……必ず私が取り除いてみせる。,アーミヤ,True
name,我答应你们，我一定会。,,,,,,,,,,,,,,,,,,阿米娅,,,,21,我答应你们，我一定会。,約束する、必ずやり遂げるから。,アーミヤ,True
blocker,,,,,1,0,0,0,true,,,,,,,,,1,,,,,22,,,,False
background,,,,,,,,,,,,,,coverall,bg_indoor_n,,,,,,,,23,,,,False
blocker,,,,,0,0,0,0,true,,,,,,,,,1,,,,,24,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,25,,,,False
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#1,,,,26,,,,False
name,我们已经清理了沿途的整合运动，抵达预定地点。但我们发现贫民区内的状况有些异样。,,,,,,,,,,,,,,,,,,陈,,,,27,我们已经清理了沿途的整合运动，抵达预定地点。但我们发现贫民区内的状况有些异样。,道中のレユニオンは排除済みで、予定の場所に到着しました。しかし、スラム内の状況にいくつか異変が見られます。,チェン,True
name,驻守这个区域入口的近卫局小队并没有发现整合运动的踪迹，我想，我需要调查一下周围的情况。,,,,,,,,,,,,,,,,,,陈,,,,28,驻守这个区域入口的近卫局小队并没有发现整合运动的踪迹，我想，我需要调查一下周围的情况。,このエリアの入口を守る近衛局の小隊はレユニオンの痕跡を見つけていません。周囲の状況を調べる必要がありそうです。,チェン,True
name,变异感染者的数量正在被削减？是你们的战果吗？,,,,,,,,,,,,,,,,,,陈,,,,29,变异感染者的数量正在被削减？是你们的战果吗？,変異感染者の数が減っているのか？それは君たちの戦果か？,チェン,True
name,不是？,,,,,,,,,,,,,,,,,,陈,,,,30,不是？,違うのか？,チェン,True
name,......小心。未查明的事情背后往往潜伏着危险。,,,,,,,,,,,,,,,,,,陈,,,,31,......小心。未查明的事情背后往往潜伏着危险。,……気をつけて。未解明の事の裏には危険が潜んでいるものだ。,チェン,True
name,不要放松警惕，这些感染者远比之前的整合运动敌人难缠。,,,,,,,,,,,,,,,,,,陈,,,,32,不要放松警惕，这些感染者远比之前的整合运动敌人难缠。,油断しないで。これらの感染者は以前のレユニオンの敵より厄介だ。,チェン,True
name,等我处理完这里的事情，就会派小队来支援你们。保持通讯畅通，完毕。,,,,,,,,,,,,,,,,,,陈,,,,33,等我处理完这里的事情，就会派小队来支援你们。保持通讯畅通，完毕。,ここの処理が終わったら、小隊を派遣して支援に向かわせる。通信を保て。以上。,チェン,True
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,34,,,,False
delay,,,,,,,,,,,,,,,,,,,,,,1,35,,,,False
character,,,,,,,,,true,,,,,,,,,1,avg_npc_038,,,,36,,,,False
delay,,,,,,,,,,,,,,,,,,,,,,1,37,,,,False
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,,,,38,,,,False
name,什么人？！,,,,,,,,,,,,,,,,,,陈,,,,39,什么人？！,誰だ？！,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,char_015_lmg,2,,40,,,,False
name,报告！是我！,,,,,,,,,,,,,,,,,,近卫局成员,,,,41,报告！是我！,報告！私です！,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#4,char_015_lmg,1,,42,,,,False
name,不是说你......,,,,,,,,,,,,,,,,,,陈,,,,43,不是说你......,君は……じゃなかったか……,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#4,char_015_lmg,2,,44,,,,False
name,啊......？,,,,,,,,,,,,,,,,,,近卫局成员,,,,45,啊......？,あ……？,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,1,,46,,,,False
name,......没事。进行报告吧。,,,,,,,,,,,,,,,,,,陈,,,,47,......没事。进行报告吧。,……気にするな。報告を続けてくれ。,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,2,,48,,,,False
name,报告陈sir，按照你的指示，我们搜索了这片区域！,,,,,,,,,,,,,,,,,,近卫局成员,,,,49,报告陈sir，按照你的指示，我们搜索了这片区域！,チェンさん、ご指示通りこの区域を捜索しました！,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,1,,50,,,,False
name,有什么收获？,,,,,,,,,,,,,,,,,,陈,,,,51,有什么收获？,何か発見は？,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,2,,52,,,,False
name,没有！连一个整合运动都没有发现！,,,,,,,,,,,,,,,,,,近卫局成员,,,,53,没有！连一个整合运动都没有发现！,ありません！レユニオンの気配すらありませんでした！,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,char_015_lmg,1,,54,,,,False
name,我说的是搜索所有的异常情况！,,,,,,,,,,,,,,,,,,陈,,,,55,我说的是搜索所有的异常情况！,異常な事態をすべて探せと、言ったはずだ！,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,char_015_lmg,2,,56,,,,False
name,呃......抱歉，我们实在是不熟这里。,,,,,,,,,,,,,,,,,,近卫局成员,,,,57,呃......抱歉，我们实在是不熟这里。,えっと……すみません、この地域には不慣れでして。,近衛局メンバー,True
name,毕竟依照惯例，除非是严重到需要我们直接摧毁某个区域的事件，否则，这里的事情我们是不参与的。,,,,,,,,,,,,,,,,,,近卫局成员,,,,58,毕竟依照惯例，除非是严重到需要我们直接摧毁某个区域的事件，否则，这里的事情我们是不参与的。,というのも、よほど深刻な事件で区域ごと直接鎮圧すべき場合以外、私たちは通常ここには関与しませんので。,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,char_015_lmg,1,,59,,,,False
name,......我知道，只要闹得不大，你们就当贫民区不存在。,,,,,,,,,,,,,,,,,,陈,,,,60,......我知道，只要闹得不大，你们就当贫民区不存在。,……わかってる。大ごとにならない限り、君たちはスラムを無視するんだな。,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,2,,61,,,,False
name,......,,,,,,,,,,,,,,,,,,近卫局成员,,,,62,......,……,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,char_015_lmg,1,,63,,,,False
name,在我们堵截整合运动时，这里传来了巨大的噪音，半个街区里的居民全部失踪。,,,,,,,,,,,,,,,,,,陈,,,,64,在我们堵截整合运动时，这里传来了巨大的噪音，半个街区里的居民全部失踪。,レユニオンを追い詰めている最中、ここから大きな騒音がしていた。半分の住民が一気に消えた。,チェン,True
name,你看看我们脚下散落的这一地玩具......你自己看看，怎么可能没有异常状况？,,,,,,,,,,,,,,,,,,陈,,,,65,你看看我们脚下散落的这一地玩具......你自己看看，怎么可能没有异常状况？,足元に散らばったこの玩具の山を見てみろ……これで異常が無いわけがないだろう？,チェン,True
name,我可不记得计划里有这么一条，内容是“撤走贫民区内所有居民”的这一条。,,,,,,,,,,,,,,,,,,陈,,,,66,我可不记得计划里有这么一条，内容是“撤走贫民区内所有居民”的这一条。,計画書に『スラム住民の全員撤退』なんて一文は記憶にないが？,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,char_015_lmg,2,,67,,,,False
name,......是有一些奇怪的迹象。区域里，大多数可居住的独立建筑都变成了废墟。,,,,,,,,,,,,,,,,,,近卫局成员,,,,68,......是有一些奇怪的迹象。区域里，大多数可居住的独立建筑都变成了废墟。,……確かに奇妙な兆候があります。このエリアのほとんどの居住可能な独立建物が廃墟化しています。,近衛局メンバー,True
name,仅存的几条街也彻底空置，很有可能是整合运动和当地居民交火的结果。,,,,,,,,,,,,,,,,,,近卫局成员,,,,69,仅存的几条街也彻底空置，很有可能是整合运动和当地居民交火的结果。,残っている幾つかの通りも完全に無人です。おそらくレユニオンと地元住民の衝突の結果と思われます。,近衛局メンバー,True
name,也有一些起火现象，火焰已经被我们扑灭了，失火原因似乎是持续烹饪加热。,,,,,,,,,,,,,,,,,,近卫局成员,,,,70,也有一些起火现象，火焰已经被我们扑灭了，失火原因似乎是持续烹饪加热。,火災も一部ありましたが、すでに消し止めました。出火原因は長時間の調理加熱のようです。,近衛局メンバー,True
name,所有建筑物都有被暴力入侵的迹象，我们却几乎没发现住户反抗的痕迹。,,,,,,,,,,,,,,,,,,近卫局成员,,,,71,所有建筑物都有被暴力入侵的迹象，我们却几乎没发现住户反抗的痕迹。,すべての建物に強引な侵入の跡がありますが、住民が抵抗した形跡はほとんどありませんでした。,近衛局メンバー,True
name,至于整合运动，我们真的是一个整合运动也没发现。只是......有冲刷和清洗的痕迹。,,,,,,,,,,,,,,,,,,近卫局成员,,,,72,至于整合运动，我们真的是一个整合运动也没发现。只是......有冲刷和清洗的痕迹。,レユニオンに関しては、本当に一体も見つけていません。ただ……洗浄や掃除の痕跡がありました。,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#4,char_015_lmg,1,,73,,,,False
name,你不关心这里的市民吗？,,,,,,,,,,,,,,,,,,陈,,,,74,你不关心这里的市民吗？,この街の市民のことを心配しないのか？,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#4,char_015_lmg,2,,75,,,,False
name,......抱歉陈sir！,,,,,,,,,,,,,,,,,,近卫局成员,,,,76,......抱歉陈sir！,……申し訳ありません、チェンさん！,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#4,char_015_lmg,1,,77,,,,False
name,你在抱歉什么？,,,,,,,,,,,,,,,,,,陈,,,,78,你在抱歉什么？,何を謝っているんだ？,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#4,char_015_lmg,2,,79,,,,False
name,不知道，sir！,,,,,,,,,,,,,,,,,,近卫局成员,,,,80,不知道，sir！,分かりません、サー！,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#1,char_015_lmg,1,,81,,,,False
name,......行了。是啊，凭什么要你们关心这里？,,,,,,,,,,,,,,,,,,陈,,,,82,......行了。是啊，凭什么要你们关心这里？,……もういい。そうだな、どうして君たちがここを気にかけなくてはならない？,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,,,,83,,,,False
name,现在，立刻派队封锁整个区域！,,,,,,,,,,,,,,,,,,陈,,,,84,现在，立刻派队封锁整个区域！,今すぐ部隊を派遣し、この区域を封鎖しろ！,チェン,True
name,不要让任何一个人、一辆交通工具漏过去，不管是整合运动还是什么东西！,,,,,,,,,,,,,,,,,,陈,,,,85,不要让任何一个人、一辆交通工具漏过去，不管是整合运动还是什么东西！,レユニオンであれ何であれ、誰一人も何一つも通させるな！,チェン,True
name,接下来，你，你，跟着我。我们去北边看看！,,,,,,,,,,,,,,,,,,陈,,,,86,接下来，你，你，跟着我。我们去北边看看！,そして、君と君、私に付いてこい。北側を見に行く！,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,char_015_lmg,2,,87,,,,False
name,是！,,,,,,,,,,,,,,,,,,近卫局成员,,,,88,是！,はい！,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#1,char_015_lmg,1,,89,,,,False
name,（等等，别出声！）,,,,,,,,,,,,,,,,,,陈,,,,90,（等等，别出声！）,（待て、声を出すな！）,チェン,True
name,（跟我这边走，动作快。）,,,,,,,,,,,,,,,,,,陈,,,,91,（跟我这边走，动作快。）,（こっちに来い、急げ。）,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#1,char_015_lmg,2,,92,,,,False
name,......,,,,,,,,,,,,,,,,,,近卫局成员,,,,93,......,……,近衛局メンバー,True
blocker,,,,,1,0,0,0,true,,,,,,,,,1,,,,,94,,,,False
blocker,,,,,0,0,0,0,true,,,,,,,,,1,,,,,95,,,,False
character,,,,,,,,,,,,,,,,,,,avg_npc_038,,,,96,,,,False
name,很敏锐的感知力。,,,,,,,,,,,,,,,,,,？？？,,,,97,很敏锐的感知力。,鋭い感知力だな。,？？？,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#2,2,,98,,,,False
name,你在做什么？！,,,,,,,,,,,,,,,,,,陈,,,,99,你在做什么？！,何をしている？！,チェン,True
character,,,,,,,,,,,,,,,,,,,char_015_lmg,,,,100,,,,False
name,准备射击！,,,,,,,,,,,,,,,,,,近卫局成员,,,,101,准备射击！,発砲準備！,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#2,1,,102,,,,False
name,你不该追来。,,,,,,,,,,,,,,,,,,？？？,,,,103,你不该追来。,追ってくるべきではなかった。,？？？,True
name,约束你的部下，陈。,,,,,,,,,,,,,,,,,,？？？,,,,104,约束你的部下，陈。,部下を制止しろ、チェン。,？？？,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#5,,,,105,,,,False
name,......,,,,,,,,,,,,,,,,,,陈,,,,106,......,……,チェン,True
name,你们，去找诗怀雅。,,,,,,,,,,,,,,,,,,陈,,,,107,你们，去找诗怀雅。,君たち、シュワイヤーを探しに行け。,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,2,,108,,,,False
name,可是陈sir......,,,,,,,,,,,,,,,,,,近卫局成员,,,,109,可是陈sir......,でもチェンさん……,近衛局メンバー,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#4,char_015_lmg,1,,110,,,,False
name,去！,,,,,,,,,,,,,,,,,,陈,,,,111,去！,行け！,チェン,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#5,,,,112,,,,False
name,......,,,,,,,,,,,,,,,,,,陈,,,,113,......,……,チェン,True
name,是谁派你们来的？,,,,,,,,,,,,,,,,,,陈,,,,114,是谁派你们来的？,誰が君たちをよこした？,チェン,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#5,1,,115,,,,False
name,我没有向你解释的义务。,,,,,,,,,,,,,,,,,,？？？,,,,116,我没有向你解释的义务。,君に説明する義務はない。,？？？,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#5,2,,117,,,,False
name,你是不是想逃跑？如果你逃跑，我就立刻缉捕你们。,,,,,,,,,,,,,,,,,,陈,,,,118,你是不是想逃跑？如果你逃跑，我就立刻缉捕你们。,逃げるつもりか？逃げれば、即刻捕らえるぞ。,チェン,True
name,没有人会相信一群不知来源没有身份的暴力武装分子，近卫局会严肃对待你们，甚至将你们直接击毙。,,,,,,,,,,,,,,,,,,陈,,,,119,没有人会相信一群不知来源没有身份的暴力武装分子，近卫局会严肃对待你们，甚至将你们直接击毙。,身元不明の武装集団など誰も信用しないし、近衛局は君たちを厳しく対処し、場合によっては即座に排除する。,チェン,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#5,1,,120,,,,False
name,重新训练一支近卫局队伍会耗费龙门大量的时间、资产与人才。,,,,,,,,,,,,,,,,,,？？？,,,,121,重新训练一支近卫局队伍会耗费龙门大量的时间、资产与人才。,新たに近衛局の隊を再編成するには、龍門に多大な時間・資産・人材が必要となる。,？？？,True
name,损失整个近卫局，相当于折毁龙门民众的心理支柱。这不是你该冒的风险。,,,,,,,,,,,,,,,,,,？？？,,,,122,损失整个近卫局，相当于折毁龙门民众的心理支柱。这不是你该冒的风险。,近衛局を失えば、龍門市民の心の支えも崩れる。それは君が冒すべきリスクではない。,？？？,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#4,2,,123,,,,False
name,哈，我是该先对你的威胁感到“害怕”，还是该先谢谢你认真考虑了龙门的未来？,,,,,,,,,,,,,,,,,,陈,,,,124,哈，我是该先对你的威胁感到“害怕”，还是该先谢谢你认真考虑了龙门的未来？,はは、その脅しに“怯える”べきか、それとも龍門の未来を真剣に考えたことに“感謝”すべきか。,チェン,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#4,1,,125,,,,False
name,陈，近卫局是龙门的颜面，也是龙门的支柱，龙门最出色的常规力量之一。,,,,,,,,,,,,,,,,,,？？？,,,,126,陈，近卫局是龙门的颜面，也是龙门的支柱，龙门最出色的常规力量之一。,チェン、近衛局は龍門の顔であり、支柱だ。龍門で最も優れた通常戦力でもある。,？？？,True
name,除此之外的职务，近卫局不要染指。,,,,,,,,,,,,,,,,,,？？？,,,,127,除此之外的职务，近卫局不要染指。,それ以外の職務に、近衛局が関わるな。,？？？,True
name,也不该染指。,,,,,,,,,,,,,,,,,,？？？,,,,128,也不该染指。,関わるべきではない。,？？？,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#4,2,,129,,,,False
name,威胁我没有用。回答问题，这片区域的居民去了哪里？,,,,,,,,,,,,,,,,,,陈,,,,130,威胁我没有用。回答问题，这片区域的居民去了哪里？,脅しても無駄だ。質問に答えろ、この地区の住民はどこに行った？,チェン,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#4,1,,131,,,,False
name,——,,,,,,,,,,,,,,,,,,？？？,,,,132,——,——,？？？,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#4,2,,133,,,,False
name,我的手指就按在全员通报键上，你们想和近卫局全面为敌只要短短一秒。,,,,,,,,,,,,,,,,,,陈,,,,134,我的手指就按在全员通报键上，你们想和近卫局全面为敌只要短短一秒。,私の指は全員通報ボタンに置いてある。君たちが近衛局全体と敵対するのは、一秒もかからない。,チェン,True
name,或者，你可以在一秒钟之内，偏转我的剑刃，切掉我的手臂，拿下通讯器。,,,,,,,,,,,,,,,,,,陈,,,,135,或者，你可以在一秒钟之内，偏转我的剑刃，切掉我的手臂，拿下通讯器。,もしくは君が一瞬で私の剣をそらし、腕を切り落とし、無線機を奪うかだ。,チェン,True
name,贫民区的居民究竟去了哪里？,,,,,,,,,,,,,,,,,,陈,,,,136,贫民区的居民究竟去了哪里？,スラムの住民は一体どこへ行った？,チェン,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#4,1,,137,,,,False
name,我们会退出这里。陈，我们一起退出。现在这段时间，我们互不干扰。,,,,,,,,,,,,,,,,,,？？？,,,,138,我们会退出这里。陈，我们一起退出。现在这段时间，我们互不干扰。,ここから撤退する。チェン、君も一緒に。しばらくのあいだ、お互い干渉しないことだ。,？？？,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#5,2,,139,,,,False
name,你想去哪？,,,,,,,,,,,,,,,,,,陈,,,,140,你想去哪？,どこへ行くつもりだ？,チェン,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#5,1,,141,,,,False
name,整合运动指挥官操纵的新型感染者，很可能会阻碍全盘战略的实施。,,,,,,,,,,,,,,,,,,？？？,,,,142,整合运动指挥官操纵的新型感染者，很可能会阻碍全盘战略的实施。,レユニオンの指揮官が操る新型感染者は、戦略計画の実行を妨げる可能性が高い。,？？？,True
name,我们会为近卫局快速消除他们的威胁，请迅速歼灭整合运动的主要部队。,,,,,,,,,,,,,,,,,,？？？,,,,143,我们会为近卫局快速消除他们的威胁，请迅速歼灭整合运动的主要部队。,我々が近衛局のために、彼らの脅威を速やかに排除する。君たちはレユニオン主力部隊を迅速に殲滅してほしい。,？？？,True
name,如果近卫局想要实现原本的战略目标，就该把眼光放在自己的职责上。做好你们该做的事。,,,,,,,,,,,,,,,,,,？？？,,,,144,如果近卫局想要实现原本的战略目标，就该把眼光放在自己的职责上。做好你们该做的事。,近衛局が本来の戦略目標を達成したいなら、自分たちの職務に集中し、やるべきことをやれ。,？？？,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#2,2,,145,,,,False
name,等下！你想就这样离开？,,,,,,,,,,,,,,,,,,陈,,,,146,等下！你想就这样离开？,待て！本当にここを離れるつもりか？,チェン,True
name,想来就来，想走就走？！,,,,,,,,,,,,,,,,,,陈,,,,147,想来就来，想走就走？！,来たい時に来て、去りたい時に去るって？！,チェン,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#2,1,,148,,,,False
name,陈警司，提醒你一句。,,,,,,,,,,,,,,,,,,？？？,,,,149,陈警司，提醒你一句。,チェン警司、忠告しておく。,？？？,True
name,不要对这里发生的事情追根究底。我只是看在魏公的面子上，不和你再多做计较。,,,,,,,,,,,,,,,,,,？？？,,,,150,不要对这里发生的事情追根究底。我只是看在魏公的面子上，不和你再多做计较。,この件について深入りするな。今回は魏公の顔を立てて、これ以上は追及しないだけだ。,？？？,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#5,2,,151,,,,False
name,——！,,,,,,,,,,,,,,,,,,陈,,,,152,——！,——！,チェン,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#5,1,,153,,,,False
name,以及，切下你的手臂很容易。你意志坚定时比现在强上百倍。,,,,,,,,,,,,,,,,,,？？？,,,,154,以及，切下你的手臂很容易。你意志坚定时比现在强上百倍。,それと、君の腕を切り落とすのはたやすい。君の気持ちが今より百倍強ければ話は別だが。,？？？,True
name,喂——！,,,,,,,,,,,,,,,,,,诗怀雅,,,,155,喂——！,おーい——！,シュワイヤー,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,,,,156,,,,False
name,诗怀雅，别过来！,,,,,,,,,,,,,,,,,,陈,,,,157,诗怀雅，别过来！,シュワイヤー、来るな！,チェン,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#2,1,,158,,,,False
name,......,,,,,,,,,,,,,,,,,,？？？,,,,159,......,……,？？？,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,char_010_chen_1#2,2,,160,,,,False
name,哪里走！,,,,,,,,,,,,,,,,,,陈,,,,161,哪里走！,どこに行くつもりだ！,チェン,True
character,,,,,,,,,,,,,,,,,,,avg_npc_038,,,,162,,,,False
name,免送。,,,,,,,,,,,,,,,,,,？？？,,,,163,免送。,見送りは不要だ。,？？？,True
playsound,,$rungeneral,,,,,,,,,0.9,,,,,,,,,,,,164,,,,False
character,,,,,,,,,true,,,,,,,,,1,,,,,165,,,,False
delay,,,,,,,,,,,,,,,,,,,,,,1,166,,,,False
character,,,,,,,,,,,,,,,,,,,char_010_chen_1#2,,,,167,,,,False
name,可恶！！,,,,,,,,,,,,,,,,,,陈,,,,168,可恶！！,くそっ！！,チェン,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#2,1,,169,,,,False
name,......怎么回事？你刚刚是和谁，吵了什么？,,,,,,,,,,,,,,,,,,诗怀雅,,,,170,......怎么回事？你刚刚是和谁，吵了什么？,……何があったの？今の相手は誰、何を言い合ってたの？,シュワイヤー,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#5,2,,171,,,,False
name,龙门的特殊力量私下出动了。这片区域内的所有居民都生死不明。,,,,,,,,,,,,,,,,,,陈,,,,172,龙门的特殊力量私下出动了。这片区域内的所有居民都生死不明。,龍門の特殊部隊が密かに動いた。このエリア内の住民は全員生死不明だ。,チェン,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#5,1,,173,,,,False
name,啊？你说啥？怎么会有这种东西......,,,,,,,,,,,,,,,,,,诗怀雅,,,,174,啊？你说啥？怎么会有这种东西......,え？何言ってるの？そんなのあり得る……,シュワイヤー,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#5,2,,175,,,,False
name,别蒙我，你心里有底。至少你听过，你绝对知道。,,,,,,,,,,,,,,,,,,陈,,,,176,别蒙我，你心里有底。至少你听过，你绝对知道。,ごまかすなよ、心当たりがあるはずだ。少なくとも聞いたことはあるし、絶対知っているはずだ。,チェン,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#5,1,,177,,,,False
name,......我哪知道？,,,,,,,,,,,,,,,,,,诗怀雅,,,,178,......我哪知道？,……知らないよ？,シュワイヤー,True
name,不，你也知道？,,,,,,,,,,,,,,,,,,诗怀雅,,,,179,不，你也知道？,まさか、君も知ってるの？,シュワイヤー,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,2,,180,,,,False
name,我不知道。但你的祖父一定知道。,,,,,,,,,,,,,,,,,,陈,,,,181,我不知道。但你的祖父一定知道。,私は知らない。でも君の祖父は絶対知っている。,チェン,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#6,char_010_chen_1#1,1,,182,,,,False
name,啊？你在说啥，我一点都不懂！丢啊，能不能说直白点！,,,,,,,,,,,,,,,,,,诗怀雅,,,,183,啊？你在说啥，我一点都不懂！丢啊，能不能说直白点！,え？何言ってるの、全然分からないよ！もう、もっと分かりやすく言ってよ！,シュワイヤー,True
