command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,a,r,g,b,block,name2,duration,xstrength,ystrength,vibrato,randomness,initr,focus,channel,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,fadeout,stop,index,text,jp_text,jp_name,text_match
dialog,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,False
blocker,,,,,,,,,0.6,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,11,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,False
blocker,,,,,,,,,0.6,,,,,,,0.6,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,13,,,,False
character,,,,,,,,,1,,,,,,char_011_talula_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,False
name,————,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,————,————,？？？,True
character,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,False
blocker,,,,,,,,,0.6,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,17,,,,False
background,,,,,,bg_cher_1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,False
blocker,,,,,,,,,0.6,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,20,,,,False
character,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,,21,,,,False
name,切尔诺伯格的混蛋，都是你们，都是你们，害得我们感染者变成这样！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,切尔诺伯格的混蛋，都是你们，都是你们，害得我们感染者变成这样！,チェルノボーグのクズども、全部お前たちのせいだ、俺たち感染者がこうなったのは！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,False
name,闪开！,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,闪开！,どけ！,ドーベルマン,True
camerashake,,,,,,,,,,,,,,,,,,,,false,,1,10,12,30,90,,,,,,,,,,,,,,,,,,25,,,,False
playsound,,$p_imp_whip_h,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,False
blocker,,,,,,,,,0.02,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,,,,,,,,,27,,,,False
blocker,,,,,,,,,0.25,,,,,,,0,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,,,,,,,,,28,,,,False
character,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,False
name,呜！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,呜！,うっ！,レユニオンメンバー,True
character,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,False
character,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,False
name,这些人，只不过是在前仆后继地送死！！,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,这些人，只不过是在前仆后继地送死！！,こいつら、ただ無駄死にしに来ているだけだ！！,ドーベルマン,True
character,,,,,,,,,,,,,,,char_148_nearl_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,False
name,整合运动怎么全都陷入了狂躁状态？,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,整合运动怎么全都陷入了狂躁状态？,レユニオンはどうして全員がこんなに狂乱状態なの？,ニアール,True
character,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,False
name,为什么这个时候，这里会聚集着这么多整合运动？！,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,为什么这个时候，这里会聚集着这么多整合运动？！,なぜこのタイミングで、ここにこんなにもレユニオンが集まっているんだ？！,ドーベルマン,True
name,不合常理！整合运动根本没有坚守这里的理由！,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,不合常理！整合运动根本没有坚守这里的理由！,おかしい！レユニオンがここを守る理由などないはずだ！,ドーベルマン,True
character,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,False
name,罗德岛干员们，不要退缩！击退整合运动，打开撤退路径！,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,罗德岛干员们，不要退缩！击退整合运动，打开撤退路径！,ロドスのオペレーターたち、退かないで！レユニオンを撃退して、撤退ルートを確保しなさい！,ニアール,True
blocker,,,,,,,,,0.6,,,,,,,1,0,0,0,true,,,,,,,2,,,,,,,,,,,,,,,,,41,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,False
background,,,,,coverall,bg_cher_0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,False
background,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,False
character,,,,,,,,,0.5,,,,,,char_011_talula_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,False
delay,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,False
name,————,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,————,————,？？？,True
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,False
character,,,,,,,,,,,,,,,char_1505_frstar_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,False
name,那些人就是情报中说的“罗德岛”？呵......很英勇。,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,那些人就是情报中说的“罗德岛”？呵......很英勇。,あれが情報にあった“ロドス”か？ふ……勇敢だな。,？？？,True
delay,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
character,,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,False
name,......,,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,......,......,キングスレイヤー,True
delay,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,False
playmusic,,$calamity_loop,,,,,,,,$calamity_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,False
blocker,,,,,,,,,0.6,,,,,,,1,0,0,0,true,,,,,,,2,,,,,,,,,,,,,,,,,56,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,False
background,,,,,,bg_cher_1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,False
blocker,,,,,,,,,0.6,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,59,,,,False
playsound,,$d_gen_explo_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,False
stopmusic,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,false,,1,5,3,30,90,,,,,,,,,,,,,,,,,,62,,,,False
blocker,,,,,,,,,0.1,,,,,,,0.7,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,63,,,,False
blocker,,,,,,,,,0.2,,,,,,,0,0.93,0.75,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,64,,,,False
playsound,,$d_gen_explo_n,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,False
character,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,False
name,......啊？,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,......啊？,……あれ？,医療オペレーター,True
character,,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,False
name,......落石？这个时候？,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,......落石？这个时候？,……落石？今この時に？,前衛オペレーター,True
character,,,,,,,,,,,,,,,char_014_riope,,,,,,char_130_doberm_ex,,,,,,,2,,,,,,,,,,,,,,,,70,,,,False
name,别停下！优先确保防线！,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,别停下！优先确保防线！,止まるな！まず防衛ラインを確保しろ！,ドーベルマン,True
character,,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,False
name,不对......是砸在建筑物上迸出来的......,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,不对......是砸在建筑物上迸出来的......,違う……建物にぶつかって弾けたんだ……,前衛オペレーター,True
character,,,,,,,,,,,,,,,char_014_riope,,,,,,char_130_doberm_ex,,,,,,,2,,,,,,,,,,,,,,,,74,,,,False
name,你在说什么——,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,你在说什么——,何を言ってる――,ドーベルマン,True
character,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,,76,,,,False
name,来了！来了！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,来了！来了！,来た！来たぞ！,レユニオンメンバー,True
name,哈哈......我们感染者的救赎！普通人的末日！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,哈哈......我们感染者的救赎！普通人的末日！,ハハ……俺たち感染者の救済だ！普通の奴らの終末だ！,レユニオンメンバー,True
name,啊，啊啊——咕！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,啊，啊啊——咕！,あ、ああ――ぐっ！,レユニオンメンバー,True
playsound,,$d_gen_explo_n,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,80,,,,False
blocker,,,,,,,,,0.02,,,,,,,0.7,1,0.1,0.3,true,,,,,,,,,,,,,,,,,,,,,,,,81,,,,False
blocker,,,,,,,,,0.25,,,,,,,0,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,,,,,,,,,82,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,false,,1,10,10,30,90,,,,,,,,,,,,,,,,,,83,,,,False
name,啊，啊啊——咕！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,啊，啊啊——咕！,あ、ああ――ぐっ！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,False
name,——,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,——,――,ドーベルマン,True
name,他是被什么东西......击倒的？,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,他是被什么东西......击倒的？,彼は何かに……倒されたのか？,ドーベルマン,True
name,你们有谁......攻击了他？,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,你们有谁......攻击了他？,誰か……やったのか？,ドーベルマン,True
name,还是说，他是被......,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,还是说，他是被......,それとも、彼は……,ドーベルマン,True
playsound,,$d_gen_explo_n,,,,,,,,,0.4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,False
name,杜宾！天空......！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,杜宾！天空......！,ドーベルマン！空が……！,アーミヤ,True
character,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,False
name,——,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,——,――,ニアール,True
blocker,,,,,,,,,0.8,,,,,,,1,0,0,0,true,,,,,,,2,,,,,,,,,,,,,,,,,95,,,,False
name,天空陷入了血色——,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,天空陷入了血色——,空が血の色に染まっている――,ニアール,True
name,“沸腾的乌云翻涌在火焰之中......”,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,“沸腾的乌云翻涌在火焰之中......”,「煮えたぎる黒雲が炎の中で渦巻いている……」,ニアール,True
character,,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,False
name,别惊慌！,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,别惊慌！,慌てるな！,エース,True
character,,,,,,,,,,,,,,,char_148_nearl_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,False
name,保护好自己！,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,保护好自己！,自分の身を守れ！,ニアール,True
character,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,False
name,......我们还有机会，用行动去拯救自己的生命！,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,......我们还有机会，用行动去拯救自己的生命！,……まだチャンスはある、自分の命を行動で守るんだ！,ドーベルマン,True
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,False
background,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,False
playmusic,,$calamity_loop,,,,,,,,$calamity_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,False
image,,,,,,avg_9_3,,,2,,,,,,,,,,,,,,,,,,,,,-64,35,1.1,1.1,,,,,,,,,,,107,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,false,,10,,,,,,,,,,,,-64,35,64,35,1.1,1.1,1.1,1.1,,,108,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,false,,3,15,15,30,90,,,,,,,,,,,,,,,,true,,109,,,,False
playsound,,$d_gen_explo_n,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,110,,,,False
name,“——大地陷入寂静，恐惧取走了他们的声音。”,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,“——大地陷入寂静，恐惧取走了他们的声音。”,「――大地は静寂に沈み、恐怖が彼らの声を奪った。」,？？？,True
blocker,,,,,,,,,1,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,112,,,,False
blocker,,,,,,,,,0.1,,,,,,,0.1,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,113,,,,False
blocker,,,,,,,,,0.1,,,,,,,0,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,114,,,,False
blocker,,,,,,,,,0.1,,,,,,,0.05,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,115,,,,False
blocker,,,,,,,,,0.1,,,,,,,0,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,116,,,,False
playsound,,$d_gen_explo_n,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,117,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,false,,3,25,25,30,90,,,,,,,,,,,,,,,,true,,118,,,,False
delay,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,False
name,“巨大的源石垂下头颅——”,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,“巨大的源石垂下头颅——”,「巨大な源石が頭を垂れる――」,？？？,True
blocker,,,,,,,,,0.1,,,,,,,0.1,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,121,,,,False
blocker,,,,,,,,,0.1,,,,,,,0,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,122,,,,False
blocker,,,,,,,,,0.1,,,,,,,0.05,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,123,,,,False
blocker,,,,,,,,,0.1,,,,,,,0,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,124,,,,False
name,“——坠落，它坠落在死亡焦热的阴影。”,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,“——坠落，它坠落在死亡焦热的阴影。”,「――墜落、それは死の灼熱の影に落ちた。」,？？？,True
playsound,,$d_gen_explo_n,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,126,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,false,,3,25,25,30,90,,,,,,,,,,,,,,,,true,,127,,,,False
blocker,,,,,,,,,0.1,,,,,,,0.05,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,128,,,,False
blocker,,,,,,,,,0.1,,,,,,,0,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,129,,,,False
blocker,,,,,,,,,0.1,,,,,,,0.2,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,130,,,,False
blocker,,,,,,,,,0.1,,,,,,,0,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,131,,,,False
blocker,,,,,,,,,0.1,,,,,,,0.1,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,132,,,,False
blocker,,,,,,,,,0.1,,,,,,,0,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,133,,,,False
playsound,,$d_gen_explo_n,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,134,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,false,,3,35,35,30,90,,,,,,,,,,,,,,,,true,,135,,,,False
delay,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,False
blocker,,,,,,,,,0.1,,,,,,,0.05,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,137,,,,False
blocker,,,,,,,,,0.1,,,,,,,0,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,138,,,,False
blocker,,,,,,,,,0.1,,,,,,,0.05,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,139,,,,False
blocker,,,,,,,,,0.1,,,,,,,0,0.93,0.40,0.32,true,,,,,,,,,,,,,,,,,,,,,,,,140,,,,False
blocker,,,,,,,,,1,,,,,,,1,1,1,1,true,,,,,,,,,,,,,,,,,,,,,,,,141,,,,False
image,,,,,,avg_9_1,,,0,,,,,,,,,,,,,,,,,,,,,0,50,1,1,,,,,,,,,,,142,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,true,143,,,,False
blocker,,,,,,,,,1,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,144,,,,False
name,塔露拉。,,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,塔露拉。,タルラ。,キングスレイヤー,True
name,......,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,......,......,タルラ,True
name,要怎么做？,,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,要怎么做？,どうする？,キングスレイヤー,True
name,————也许他们能自天灾中幸存。,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,————也许他们能自天灾中幸存。,――彼らは天災から生き延びるかもしれない。,タルラ,True
name,漏网之人，你去处理。,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,漏网之人，你去处理。,生き残った者がいれば、お前が始末しろ。,タルラ,True
name,是。,,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,是。,了解した。,キングスレイヤー,True
playsound,,$d_gen_thunders_amb,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,False
blocker,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,152,,,,False
blocker,,,,,,,,,1,,,,,,,1,1,1,1,true,,,,,,,,,,,,,,,,,,,,,,,,153,,,,False
background,,,,,,bg_cher_4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,False
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,False
blocker,,,,,,,,,1,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,156,,,,False
character,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,False
name,虽然已经想到，整合运动要利用天灾复仇......,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,虽然已经想到，整合运动要利用天灾复仇......,レユニオンが天災を復讐に使うとは予想していたが……,ドーベルマン,True
name,没想到，他们居然会选择让天灾彻底毁灭切尔诺伯格——,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,没想到，他们居然会选择让天灾彻底毁灭切尔诺伯格——,まさか、彼らが天災でチェルノボーグを完全に滅ぼす道を選ぶとは――,ドーベルマン,True
name,比起报复，这更像是宣誓......,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,比起报复，这更像是宣誓......,復讐というより、これは宣誓のようなものだ……,ドーベルマン,True
name,感染者的时代......吗？,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,感染者的时代......吗？,感染者の時代……なのか？,ドーベルマン,True
character,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,False
name,啊......啊......,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,啊......啊......,ああ……ああ……,医療オペレーター,True
name,整个天空......都要掉下来了......,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,整个天空......都要掉下来了......,空全体が……落ちてきそうだ……,医療オペレーター,True
character,,,,,,,,,,,,,,,char_016_medic,,,,,,char_013_riop,,,,,,,2,,,,,,,,,,,,,,,,165,,,,False
name,小心！！,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,小心！！,気を付けて！！,前衛オペレーター,True
character,,,,,,,,,,,,,,,char_016_medic,,,,,,char_013_riop,,,,,,,1,,,,,,,,,,,,,,,,167,,,,False
name,那是......,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,那是......,あれは……,医療オペレーター,True
playsound,,$d_gen_thunders_amb,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,False
blocker,,,,,,,,,1,,,,,,,1,1,1,1,true,,,,,,,,,,,,,,,,,,,,,,,,170,,,,False
image,,,,,,avg_9_3,,,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,,,,,,,,,,,171,,,,False
blocker,,,,,,,,,1,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,172,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,false,,3,35,35,30,90,,,,,,,,,,,,,,,,true,,173,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,False
name,清醒点！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,清醒点！,しっかりして！,アーミヤ,True
playsound,,$d_gen_thunders_amb,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,False
blocker,,,,,,,,,,,,,,,,1,1,0.5,0.5,true,,,,,,,,,,,,,,,,,,,,,,,,177,,,,False
