command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,block,index,text,jp_text,jp_name,text_match
name,任何从中逃出的整合运动，可以由近卫局立刻逮捕——,,,,,,,,,,,,,,阿米娅,,,,32,任何从中逃出的整合运动，可以由近卫局立刻逮捕——,そこから逃げ出したレユニオンは、すぐに近衛局が逮捕できます――,アーミヤ,True
name,而顽抗的整合运动，由我们处理。,,,,,,,,,,,,,,阿米娅,,,,33,而顽抗的整合运动，由我们处理。,そして、抵抗を続けるレユニオンは私たちが対処します。,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1,1,,34,,,,False
name,你们对付那个女人，有几成把握？,,,,,,,,,,,,,,陈,,,,35,你们对付那个女人，有几成把握？,あの女を相手に、どれくらい自信がある？,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1,2,,36,,,,False
name,我不知道——,,,,,,,,,,,,,,阿米娅,,,,37,我不知道——,わかりません――,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1#7,2,,38,,,,False
name,——但我们可以承担相应风险。,,,,,,,,,,,,,,阿米娅,,,,39,——但我们可以承担相应风险。,――ですが相応のリスクは受け入れます。,アーミヤ,True
name,我们与她战斗过不止一次，至少对她的作战风格有一定的了解。,,,,,,,,,,,,,,阿米娅,,,,40,我们与她战斗过不止一次，至少对她的作战风格有一定的了解。,私たちは彼女と何度も戦っていますし、少なくとも戦い方は把握しています。,アーミヤ,True
name,有的风险，近卫局是承担不起的。,,,,,,,,,,,,,,阿米娅,,,,41,有的风险，近卫局是承担不起的。,いくつかのリスクは近衛局には負えません。,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1,1,,42,,,,False
name,——丢失任务目标的风险，近卫局同样承担不起。,,,,,,,,,,,,,,陈,,,,43,——丢失任务目标的风险，近卫局同样承担不起。,――任務目標を見失うリスクも、近衛局には負えない。,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1,2,,44,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,45,......,……,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1,1,,46,,,,False
name,PC94172，你带近卫局的队伍包围矿场！,,,,,,,,,,,,,,陈,,,,47,PC94172，你带近卫局的队伍包围矿场！,PC94172、君は近衛局の部隊を率いて鉱山を包囲しろ！,チェン,True
name,星熊，去挑几个人。,,,,,,,,,,,,,,陈,,,,48,星熊，去挑几个人。,ホシグマ、数人選んできてくれ。,チェン,True
name,我们各带一支小队，和罗德岛一起去。,,,,,,,,,,,,,,陈,,,,49,我们各带一支小队，和罗德岛一起去。,私たちも小隊を連れて、ロドスと一緒に行く。,チェン,True
name,星熊你和罗德岛分两路，同时摧毁他们的阵地，扰乱他们的防线。,,,,,,,,,,,,,,陈,,,,50,星熊你和罗德岛分两路，同时摧毁他们的阵地，扰乱他们的防线。,ホシグマ、ロドスと二手に分かれて同時に陣地を破壊し、防衛線を混乱させろ。,チェン,True
name,我去处理火力点。,,,,,,,,,,,,,,陈,,,,51,我去处理火力点。,私は火力地点を片付ける。,チェン,True
name,为了龙门，我必须把米莎——,,,,,,,,,,,,,,陈,,,,52,为了龙门，我必须把米莎——,龍門のため、私はミーシャを必ず――,チェン,True
name,......,,,,,,,,,,,,,,陈,,,,53,......,……,チェン,True
name,......夺回来。,,,,,,,,,,,,,,陈,,,,54,......夺回来。,……取り戻す。,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1,2,,55,,,,False
name,——明白。,,,,,,,,,,,,,,阿米娅,,,,56,——明白。,――承知しました。,アーミヤ,True
name,我去召集罗德岛干员。,,,,,,,,,,,,,,阿米娅,,,,57,我去召集罗德岛干员。,ロドスのオペレーターたちを集めにいきます。,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_136_hsguma,2,,58,,,,False
name,老陈，矿场边缘——有波整合运动正向外移动。,,,,,,,,,,,,,,星熊,,,,59,老陈，矿场边缘——有波整合运动正向外移动。,チェン、鉱山の端――レユニオンの一団が外に移動している。,ホシグマ,True
name,——动作还挺快的。,,,,,,,,,,,,,,星熊,,,,60,——动作还挺快的。,――動きがかなり速いな。,ホシグマ,True
name,我先去了，否则会赶不上。,,,,,,,,,,,,,,星熊,,,,61,我先去了，否则会赶不上。,先に行く。間に合わなくなる。,ホシグマ,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_136_hsguma,1,,62,,,,False
name,快去。一个也别漏掉。,,,,,,,,,,,,,,陈,,,,63,快去。一个也别漏掉。,早く行け。一人も逃すな。,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_136_hsguma,1,,64,,,,False
name,啊，星熊督察，请稍等。,,,,,,,,,,,,,,阿米娅,,,,65,啊，星熊督察，请稍等。,あ、ホシグマ監察、少しお待ちください。,アーミヤ,True
name,敌人针对我们罗德岛设下的埋伏中，混有整合运动的术师。,,,,,,,,,,,,,,阿米娅,,,,66,敌人针对我们罗德岛设下的埋伏中，混有整合运动的术师。,敵がロドスに仕掛けた伏兵には、レユニオンの術師も混じっています。,アーミヤ,True
name,我建议让我方干员芙兰卡和雷蛇跟着星熊督察你的小队。,,,,,,,,,,,,,,阿米娅,,,,67,我建议让我方干员芙兰卡和雷蛇跟着星熊督察你的小队。,我が方のオペレーター、フランカとレイズをホシグマ監察の小隊に同行させることを提案します。,アーミヤ,True
name,他们有非常丰富的对抗术师的经验。,,,,,,,,,,,,,,阿米娅,,,,68,他们有非常丰富的对抗术师的经验。,彼女たちは術師への対抗経験がとても豊富です。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_136_hsguma,2,,69,,,,False
name,没问题。,,,,,,,,,,,,,,星熊,,,,70,没问题。,問題ない。,ホシグマ,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,71,,,,False
name,那就，合作愉快咯？,,,,,,,,,,,,,,芙兰卡,,,,72,那就，合作愉快咯？,じゃあ、よろしくね？,フランカ,True
character,,,,,,,,,,,,,,,char_107_liskam_1,,,,73,,,,False
name,那你呢，阿米娅？,,,,,,,,,,,,,,雷蛇,,,,74,那你呢，阿米娅？,アーミヤはどうするの？,レイズ,True
name,凯尔希医生嘱咐我们的是......,,,,,,,,,,,,,,雷蛇,,,,75,凯尔希医生嘱咐我们的是......,ケルシー・ドクターに言われたのは……,レイズ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,76,,,,False
name,这里有企鹅物流帮助我，没关系的。,,,,,,,,,,,,,,阿米娅,,,,77,这里有企鹅物流帮助我，没关系的。,ここにはペンギン急便が助けてくれるから大丈夫です。,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,,,78,,,,False
name,那就这么定了。,,,,,,,,,,,,,,星熊,,,,79,那就这么定了。,それで決まりだな。,ホシグマ,True
character,,,,,,,,,,,,,,,char_010_chen_1,,,,80,,,,False
name,千万不要逞强，撑不住就立刻撤退。,,,,,,,,,,,,,,陈,,,,81,千万不要逞强，撑不住就立刻撤退。,無理は絶対にするな。耐えられなければすぐ撤退しろ。,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1#7,1,,82,,,,False
name,阿米娅，你呢？,,,,,,,,,,,,,,陈,,,,83,阿米娅，你呢？,アーミヤ、お前はどうだ？,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,84,,,,False
name,我明白。,,,,,,,,,,,,,,阿米娅,,,,85,我明白。,分かりました。,アーミヤ,True
name,我们已经不剩多少时间了。,,,,,,,,,,,,,,阿米娅,,,,86,我们已经不剩多少时间了。,私たちにはもうあまり時間が残されていません。,アーミヤ,True
name,和切城不一样——现在，轮到我们来阻截整合运动了！,,,,,,,,,,,,,,阿米娅,,,,87,和切城不一样——现在，轮到我们来阻截整合运动了！,切城の時とは違う――今度は私たちがレユニオンを阻止する番です！,アーミヤ,True
delay,,,,,,,,,,,,,,0.6,,,,,88,,,,False
blocker,,,,,,,,,,,,,,,,,,true,89,,,,False
