command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,widgetID,style,fadestyle,offsetx,afrom,rfrom,gfrom,bfrom,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,13,,,,False
name,被一个红衣服的女人劫走了。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,14,被一个红衣服的女人劫走了。,赤い服の女に連れ去られた。,チェン,True
name,我真该——,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,15,我真该——,私が本当に——,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,16,,,,False
name,......？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,17,......？,……？,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,18,,,,False
name,没什么。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,19,没什么。,なんでもない。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,20,,,,False
name,——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,21,——,——,アーミヤ,True
name,陈长官，米莎身上究竟有什么?,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,22,陈长官，米莎身上究竟有什么?,チェン長官、ミーシャには一体何があるんですか？,アーミヤ,True
name,再继续隐瞒下去，罗德岛与近卫局的合作进程只会越来越艰难。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,23,再继续隐瞒下去，罗德岛与近卫局的合作进程只会越来越艰难。,これ以上隠されると、ロドスと近衛局の協力はますます難しくなります。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,24,,,,False
name,我没有告知你的义务。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,25,我没有告知你的义务。,君に知らせる義務はない。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,26,,,,False
name,但罗德岛有了解目标并做出应对策略的义务。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,27,但罗德岛有了解目标并做出应对策略的义务。,でも、ロドスには目標を理解し対応策を立てる義務があります。,アーミヤ,True
name,罗德岛在行动中会听从近卫局的指挥——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,28,罗德岛在行动中会听从近卫局的指挥——,ロドスは行動中、近衛局の指揮に従います——,アーミヤ,True
name,不过，即便是用感染者去对抗感染者，我们也是需要情报的。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,29,不过，即便是用感染者去对抗感染者，我们也是需要情报的。,でも、感染者で感染者に対抗するとしても、情報は必要です。,アーミヤ,True
name,近卫局拥有信息，却不懂得如何对抗感染者才能减少损失。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,30,近卫局拥有信息，却不懂得如何对抗感染者才能减少损失。,近衛局は情報を持っていますが、どうやって被害を抑えて感染者に対抗すべきかわかっていません。,アーミヤ,True
name,罗德岛有对抗感染者的能力，却不知道整合运动想要什么。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,31,罗德岛有对抗感染者的能力，却不知道整合运动想要什么。,ロドスは感染者に対抗する力はありますが、レユニオンが何を望んでいるのか知らないのです。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,32,,,,False
name,——,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,33,——,——,チェン,True
name,你刚才说的话，有点那个医生的味道。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,34,你刚才说的话，有点那个医生的味道。,今の君の発言は、あのドクターに似ているな。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1#6,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,35,,,,False
name,是，是嘛......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,36,是，是嘛......,そ、そうですか……,アーミヤ,True
name,我想......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,37,我想......,私は……,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,38,,,,False
name,这是因为，这对于我们双方来说都很重要。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,39,这是因为，这对于我们双方来说都很重要。,これは、私たち双方にとってとても大事なことだからです。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,40,,,,False
name,我明白了。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,41,我明白了。,わかった。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,42,,,,False
name,如果要请示魏先生的话——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,43,如果要请示魏先生的话——,ウェイさんに伺う必要がある場合は——,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,44,,,,False
name,我们调查了米莎相关的情报，有一条情报指出，她的父亲是切尔诺伯格的要人之一。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,45,我们调查了米莎相关的情报，有一条情报指出，她的父亲是切尔诺伯格的要人之一。,我々が調査した情報では、ミーシャの父親はチェルノボーグの要人の一人だ。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,46,,,,False
name,米莎的父亲？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,47,米莎的父亲？,ミーシャのお父さん？,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,48,,,,False
name,当然，我们也不知道，米莎究竟握有多少切尔诺伯格的资料。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,49,当然，我们也不知道，米莎究竟握有多少切尔诺伯格的资料。,もちろん、我々にもミーシャがどれだけチェルノボーグの情報を持っているかはわからない。,チェン,True
name,可能是零，也可能是一百。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,50,可能是零，也可能是一百。,ゼロかもしれないし、百かもしれない。,チェン,True
name,谁都不会知道有多少——,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,51,谁都不会知道有多少——,誰にもどれだけあるかはわからない——,チェン,True
name,——除了米莎本人。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,52,——除了米莎本人。,——ミーシャ本人以外には。,チェン,True
name,而那些切尔诺伯格的信息，究竟含括哪些内容，我们也不清楚。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,53,而那些切尔诺伯格的信息，究竟含括哪些内容，我们也不清楚。,そしてそのチェルノボーグの情報がどんな内容かも、我々にはわからない。,チェン,True
name,既然你们推测整合运动的下一个目标是龙门——,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,54,既然你们推测整合运动的下一个目标是龙门——,もし次のレユニオンの目標が龍門だと君たちが推測するなら——,チェン,True
name,那么，阻止整合运动对切尔诺伯格的利用是理所应当的。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,55,那么，阻止整合运动对切尔诺伯格的利用是理所应当的。,ならば、レユニオンがチェルノボーグを利用するのを阻止するのは当然だろう。,チェン,True
name,所以，我们并不想让整合运动得到这名感染者，米莎。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,56,所以，我们并不想让整合运动得到这名感染者，米莎。,だから、我々はレユニオンにこの感染者ミーシャを渡したくない。,チェン,True
name,包括“有这样一个感染者随着逃难的人群进入了龙门”这条情报在内——,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,57,包括“有这样一个感染者随着逃难的人群进入了龙门”这条情报在内——,「こんな感染者が避難民とともに龍門に入った」という情報も含めて——,チェン,True
name,在你发现米莎之前，我也并不能确定这几条情报的真实性。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,58,在你发现米莎之前，我也并不能确定这几条情报的真实性。,君がミーシャを見つけるまで、私もこの情報の真偽は確かめられなかった。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,59,,,,False
name,这样的话，就不能再拖了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,60,这样的话，就不能再拖了。,そうなると、もうこれ以上は引き延ばせませんね。,アーミヤ,True
name,必须在整合运动回到切尔诺伯格前阻止他们，救回米莎！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,61,必须在整合运动回到切尔诺伯格前阻止他们，救回米莎！,レユニオンがチェルノボーグに戻る前に止めて、ミーシャを救い出さないと！,アーミヤ,True
name,罗德岛，立刻进行整备！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,62,罗德岛，立刻进行整备！,ロドス、すぐに準備を整えて！,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,63,,,,False
name,追缉这名感染者，是我们近卫局的任务。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,64,追缉这名感染者，是我们近卫局的任务。,この感染者を追跡するのは我々近衛局の任務だ。,チェン,True
name,——同时，让她落入整合运动之手，也是我们的失职。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,65,——同时，让她落入整合运动之手，也是我们的失职。,——同時に、彼女をレユニオンの手に渡してしまったのも我々の過失だ。,チェン,True
name,比起共同追缉，我们需要罗德岛清除整合运动的其他威胁。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,66,比起共同追缉，我们需要罗德岛清除整合运动的其他威胁。,共同で追うより、ロドスにはレユニオンの他の脅威の排除を頼みたい。,チェン,True
name,这是命令。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,67,这是命令。,これは命令だ。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,68,,,,False
name,——我明白了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,69,——我明白了。,——わかりました。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,70,,,,False
name,交给你了。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,71,交给你了。,任せる。,チェン,True
blocker,,,,,,,,0.8,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,72,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,False
blocker,,,,,,,,0.8,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,74,,,,False
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,,75,,,,False
name,不，不要！别，别打我......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,76,不，不要！别，别打我......,だ、だめだ！や、やめてくれ……,レユニオン構成員,True
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,,77,,,,False
name,进入龙门之前难道没想过自己的下场吗！,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,78,进入龙门之前难道没想过自己的下场吗！,龍門に入る前に自分の末路を考えなかったのか！,チェン,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,,79,,,,False
name,啊呀呀！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,80,啊呀呀！,あああっ！,レユニオン構成員,True
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,,81,,,,False
name,全都关起来！,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,82,全都关起来！,全員閉じ込めろ！,チェン,True
blocker,,,,,,,,0.1,,,,,,,,,1,,0,0,0,true,,,,,,,,,,,,,,,83,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,False
blocker,,,,,,,,0.1,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,85,,,,False
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,,86,,,,False
name,不是这批感染者。该死......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,87,不是这批感染者。该死......,この感染者たちじゃない。くそっ……,チェン,True
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,,88,,,,False
name,不是这批。该死......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,89,不是这批。该死......,この人たちでもない。くそっ……,チェン,True
character,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,,90,,,,False
name,他们......撤退的太快了......,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,,91,他们......撤退的太快了......,奴ら……撤退が速すぎる……,近衛局隊員,True
character,,,,,,,,,,,,,,char_015_lmg,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,92,,,,False
name,看来整合运动也是分层次的。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,93,看来整合运动也是分层次的。,レユニオンも階層構造になっているようだな。,チェン,True
name,留下来殿后的这些，都是些用来拖延时间的渣滓。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,94,留下来殿后的这些，都是些用来拖延时间的渣滓。,殿を務めていた連中は、時間稼ぎのためのゴミばかりだ。,チェン,True
name,一个人拖住整个增援部队......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,95,一个人拖住整个增援部队......,一人で増援部隊全体を足止めするとは……,チェン,True
name,难道会是......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,96,难道会是......,まさか……,チェン,True
character,,,,,,,,,,,,,,char_015_lmg,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,97,,,,False
name,长官！那边还有残存的整合运动成员！,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,,98,长官！那边还有残存的整合运动成员！,長官！あそこにまだレユニオンの残党がいます！,近衛局隊員,True
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,,99,,,,False
name,跟我来！,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,100,跟我来！,ついてこい！,チェン,True
character,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,,101,,,,False
name,——！,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,,102,——！,——！,近衛局隊員,True
name,陈长官，小心！,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,,103,陈长官，小心！,チェン長官、気を付けて！,近衛局隊員,True
name,有埋伏！,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,,104,有埋伏！,待ち伏せです！,近衛局隊員,True
charactercutin,,,,,,200,,0.2,,,,,,char_1002_nsabr_2,,,,,,,,true,1,cutin,horiz_expand_center,0,,,,,,,,,,,105,,,,False
name,去，去死吧！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,106,去，去死吧！,し、死ね！,レユニオン構成員,True
charactercutin,,,,,,,,0.2,,,,,,,,,,,,,,true,1,,,,,,,,,,,,,,107,,,,False
character,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,,,,,,108,,,,False
name,别惹恼我————！,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,109,别惹恼我————！,私を怒らせるな————！,チェン,True
character,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,,110,,,,False
name,陈长官，我们还在龙门城范围内！,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,,111,陈长官，我们还在龙门城范围内！,チェン長官、まだ私たちは龍門市内です！,近衛局隊員,True
name,周围的设施可能还有它用，请不要过度破坏！,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,,112,周围的设施可能还有它用，请不要过度破坏！,周囲の施設はまだ使うかもしれません、壊しすぎないでください！,近衛局隊員,True
character,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,,,,,,113,,,,False
name,要你说！,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,114,要你说！,言われなくても！,チェン,True
character,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,,115,,,,False
name,至少别再把那些房间切成块了！,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,,116,至少别再把那些房间切成块了！,せめて部屋をもうバラバラにしないでください！,近衛局隊員,True
playsound,,$p_imp_blunt_h,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,False
blocker,,,,,,,,0.1,,,,,,,,,0.7,,1,1,1,true,,,,,0,0,0,0,,,,,,,118,,,,False
blocker,,,,,,,,0.10,,,,,,,,,0,,1,0.3,0.3,true,,,,,,,,,,,,,,,119,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,1,10,12,30,90,true,120,,,,False
playsound,,$e_atk_blunt_n,,,,,,,,0.7,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,False
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,122,,,,False
blocker,,,,,,,,0.05,,,,,,,,,0.7,,1,0,0,true,,,,,0,0,0,0,,,,,,,123,,,,False
playsound,,$p_imp_sword_n,,,,,,,,0.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,False
blocker,,,,,,,,0.05,,,,,,,,,0,,1,0.3,0.3,true,,,,,,,,,,,,,,,125,,,,False
blocker,,,,,,,,0.05,,,,,,,,,0.5,,1,0,0,true,,,,,0,0,0,0,,,,,,,126,,,,False
playsound,,$p_imp_sword_n,,,,,,,,0.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,False
blocker,,,,,,,,0.05,,,,,,,,,0,,1,0.3,0.3,true,,,,,,,,,,,,,,,128,,,,False
blocker,,,,,,,,0.05,,,,,,,,,0.5,,1,0,0,true,,,,,0,0,0,0,,,,,,,129,,,,False
playsound,,$p_imp_sword_n,,,,,,,,0.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,False
blocker,,,,,,,,0.05,,,,,,,,,0,,1,0.3,0.3,true,,,,,,,,,,,,,,,131,,,,False
blocker,,,,,,,,0.05,,,,,,,,,0.5,,1,0,0,true,,,,,0,0,0,0,,,,,,,132,,,,False
playsound,,$p_imp_sword_n,,,,,,,,0.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,False
blocker,,,,,,,,0.05,,,,,,,,,0,,1,0.3,0.3,true,,,,,,,,,,,,,,,134,,,,False
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,,135,,,,False
name,可，可恶......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,136,可，可恶......,く、くそ……,レユニオン構成員,True
name,这个女人，很难办！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,137,这个女人，很难办！,この女、手強い！,レユニオン構成員,True
character,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,,138,,,,False
name,——难办？,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,139,——难办？,——手強い？,チェン,True
name,愚蠢的感染者......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,140,愚蠢的感染者......,愚かな感染者め……,チェン,True
character,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,,141,,,,False
name,————,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,142,————,————,チェン,True
name,龙门难道是个允许你们随便撒野的地方吗？！,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,143,龙门难道是个允许你们随便撒野的地方吗？！,龍門はお前たちが好き勝手できる場所じゃない！,チェン,True
character,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,,,,,,144,,,,False
name,近卫局，进攻！,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,145,近卫局，进攻！,近衛局、攻撃開始！,チェン,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,146,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,147,,,,False
