command,text_orig,key,is_skippable,fit_mode,image,fadetime,screenadapt,intro,volume,crossfade,delay,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,name,a,r,g,b,afrom,rfrom,gfrom,bfrom,focus,options,values,references,name2,x,y,xScale,yScale,option_number,index,text,jp_text,jp_name,text_match
name,......做得不错，博士。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,17,......做得不错，博士。,……よくやったわ、ドクター。,ドーベルマン,True
name,是该客观评价你的能力了。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,18,是该客观评价你的能力了。,そろそろ君の能力を客観的に評価すべきね。,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,,,,0,19,,,,False
name,咦，阿米娅......她去......,,,,,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,0,20,咦，阿米娅......她去......,あれ、アーミヤ……彼女は……,医療オペレーター,True
blocker,,,,,,0.6,,,,,,,,,,,,,true,,1,0,0,0,,,,,,,,,,,,,,0,21,,,,False
blocker,,,,,,0.6,,,,,,,,,,,,,true,,0,,,,,,,,,,,,,,,,,0,22,,,,False
character,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,0,23,,,,False
name,没事吧？,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,24,没事吧？,大丈夫ですか？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,-1,,,,,,,,,0,25,,,,False
name,啊？谢，谢......,,,,,,,,,,,,,,,,,,,女性,,,,,,,,,,,,,,,,,,0,26,啊？谢，谢......,あ？あ、ありがとう……,女性,True
character,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,0,27,,,,False
name,没事的，这是我们......,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,28,没事的，这是我们......,大丈夫です、これは私たちの……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,-1,,,,,,,,,0,29,,,,False
name,......你，你也是感染者？,,,,,,,,,,,,,,,,,,,女性,,,,,,,,,,,,,,,,,,0,30,......你，你也是感染者？,……あ、あなたも感染者なの？,女性,True
name,你们要做什么！我，我的孩子......别伤害我们，求你了，我......,,,,,,,,,,,,,,,,,,,女性,,,,,,,,,,,,,,,,,,0,31,你们要做什么！我，我的孩子......别伤害我们，求你了，我......,あなたたちは何をするつもりなの！わ、私の子供を……どうか私たちを傷つけないで、お願い……,女性,True
character,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,0,32,,,,False
name,......,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,33,......,……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,0,34,,,,False
name,去找个安全的地方藏身。,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,35,去找个安全的地方藏身。,安全な場所に隠れてください。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,-1,,,,,,,,,0,36,,,,False
name,呜，呜......宽恕我们......饶了我......,,,,,,,,,,,,,,,,,,,女性,,,,,,,,,,,,,,,,,,0,37,呜，呜......宽恕我们......饶了我......,うう……許してください……私を見逃して……,女性,True
blocker,,,,,,0.6,,,,,,,,,,,,,true,,1,0,0,0,,,,,,,,,,,,,,0,38,,,,False
blocker,,,,,,0.6,,,,,,,,,,,,,true,,0,,,,,,,,,,,,,,,,,0,39,,,,False
character,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,,,,0,40,,,,False
name,......,,,,,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,0,41,......,……,医療オペレーター,True
character,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,0,42,,,,False
name,各位休息好了吗？,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,43,各位休息好了吗？,皆さん、休憩できましたか？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,,,,0,44,,,,False
name,啊，没事......,,,,,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,0,45,啊，没事......,あ、大丈夫です……,医療オペレーター,True
decision,她为什么害怕你？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,她为什么害怕你？,1,,,,,,,1,46,她为什么害怕你？,彼女はなぜあなたを怖がっているの？,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,47,,,,False
character,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,0,48,,,,False
name,......,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,49,......,……,アーミヤ,True
name,博士......,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,50,博士......,ドクター……,アーミヤ,True
name,类似的问题，你以前也问过呢。,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,51,类似的问题，你以前也问过呢。,同じような質問、前にもしたことがありますよ。,アーミヤ,True
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,......,1,,,,,,,1,52,......,……,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,53,,,,False
character,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,0,54,,,,False
name,因为我，得了病。,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,55,因为我，得了病。,私が病気だからです。,アーミヤ,True
name,我，还有杜宾，罗德岛的大多数人，都得了病。,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,56,我，还有杜宾，罗德岛的大多数人，都得了病。,私も、ドーベルマンさんも、ロドスのほとんどの人たちも病気です。,アーミヤ,True
name,就连刚才那些整合运动的成员也是......,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,57,就连刚才那些整合运动的成员也是......,さっきのレユニオンのメンバーたちも同じなんです……,アーミヤ,True
name,我们得了很重的病，让人害怕的病......,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,58,我们得了很重的病，让人害怕的病......,私たちはとても重くて怖い病気にかかっているんです……,アーミヤ,True
name,“矿石病”。,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,59,“矿石病”。,『オリパシー』です。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,0,60,,,,False
name,......得了矿石病的人，就是感染者。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,61,......得了矿石病的人，就是感染者。,……オリパシーにかかった人は感染者と呼ばれます。,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,0,62,,,,False
name,杜宾......,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,63,杜宾......,ドーベルマンさん……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,0,64,,,,False
name,乌萨斯向来对感染者十分严苛。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,65,乌萨斯向来对感染者十分严苛。,ウルサスは昔から感染者にとても厳しいのよ。,ドーベルマン,True
name,说起来，谁又不是呢。只是乌萨斯在这方面的举措，尤为冷酷罢了。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,66,说起来，谁又不是呢。只是乌萨斯在这方面的举措，尤为冷酷罢了。,でも、どこも同じようなものよ。ただ、ウルサスは特に冷酷なだけ。,ドーベルマン,True
name,宣传上让民众恐惧感染者，到了抓捕感染者的时候，民众自然就习以为常，甚至拍手称快。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,67,宣传上让民众恐惧感染者，到了抓捕感染者的时候，民众自然就习以为常，甚至拍手称快。,宣伝によって住民は感染者を恐れるよう仕向けられている。捕まえる時には住民は当たり前だと受け止め、むしろ喝采さえするの。,ドーベルマン,True
name,所以，整合运动才选择了这里......,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,68,所以，整合运动才选择了这里......,だからレユニオンはここを選んだ……,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,0,69,,,,False
name,只是......这次，似乎不再是简单的示威游行了。,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,70,只是......这次，似乎不再是简单的示威游行了。,でも……今回はもう単なるデモじゃないみたいです。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,0,71,,,,False
name,这一次，他们开始大规模地使用暴力。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,72,这一次，他们开始大规模地使用暴力。,今回は彼らも大規模な暴力を使い始めたの。,ドーベルマン,True
name,等到乌萨斯政府平息了事件，切尔诺伯格的感染者，只会遭到更残酷的对待。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,73,等到乌萨斯政府平息了事件，切尔诺伯格的感染者，只会遭到更残酷的对待。,ウルサス政府が事件を鎮圧したら、チェルノボーグの感染者はさらに残酷な扱いを受けるだけよ。,ドーベルマン,True
name,......与之相反，有了博士你，罗德岛的处境，也许能有所改善。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,74,......与之相反，有了博士你，罗德岛的处境，也许能有所改善。,……逆に、ドクターがいることでロドスの状況は少しは良くなるかもしれないわ。,ドーベルマン,True
decision,那我还挺重要的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,......这和我也有关系？;......;那我还挺重要的。,1;2;3,,,,,,,3,75,那我还挺重要的。,それなら、私は結構重要なんだね。,,True
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,......这和我也有关系？;......;那我还挺重要的。,1;2;3,,,,,,,3,76,......,……,,True
decision,......这和我也有关系？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,......这和我也有关系？;......;那我还挺重要的。,1;2;3,,,,,,,3,77,......这和我也有关系？,……これも私に関係あるの？,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,0,78,,,,False
character,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,0,79,,,,False
name,凯尔希和阿米娅都和我说过，你是最顶尖的矿石病研究学者。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,80,凯尔希和阿米娅都和我说过，你是最顶尖的矿石病研究学者。,ケルシーもアーミヤも、あなたはオリパシー研究の第一人者だって言っていたわ。,ドーベルマン,True
name,......现在，你陷入了记忆丧失的困境，我很怀疑，你还能不能再派上用场。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,81,......现在，你陷入了记忆丧失的困境，我很怀疑，你还能不能再派上用场。,……でも、いまは失憶してしまったあなたがまた役に立てるか私は疑問に思っているの。,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,0,82,,,,False
name,唔唔，杜宾教官，这么说好过分！,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,83,唔唔，杜宾教官，这么说好过分！,うぅ、ドーベルマン教官、そんな言い方は酷いです！,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,0,84,,,,False
name,......也许就和指挥一样，等你稍作复习，说不定就能重新掌握那些理论？,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,85,......也许就和指挥一样，等你稍作复习，说不定就能重新掌握那些理论？,……指揮と同じで、少し復習すればきっと理論もまた身につくかもしれない。,ドーベルマン,True
name,毕竟你还是前线指挥官......,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,86,毕竟你还是前线指挥官......,何しろ君は前線指揮官だから……,ドーベルマン,True
name,其实之前，我怎么也没法把神经学博士和战术家联系在一起......,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,87,其实之前，我怎么也没法把神经学博士和战术家联系在一起......,実は以前、神経学ドクターと戦術家を結びつけて考えるのは難しかったけど……,ドーベルマン,True
name,看到你本人后，似乎好理解了一些。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,88,看到你本人后，似乎好理解了一些。,君に会ってみて、少しは理解できた気がする。,ドーベルマン,True
name,毕竟罗德岛本身就很像你的专业。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,89,毕竟罗德岛本身就很像你的专业。,なにしろロドス自体があなたの専門分野みたいなものだからね。,ドーベルマン,True
blocker,,,,,,0.6,,,,,,,,,,,,,true,,1,0,0,0,,,,,,,,,,,,,,0,90,,,,False
blocker,,,,,,0.6,,,,,,,,,,,,,true,,0,,,,,,,,,,,,,,,,,0,91,,,,False
character,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,,,,0,92,,,,False
name,喂！你！别跑！该注射药剂了！,,,,,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,0,93,喂！你！别跑！该注射药剂了！,こら！君！逃げるな！薬を注射する時間だぞ！,医療オペレーター,True
character,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,2,,,,char_013_riop,,,,,0,94,,,,False
name,啊？啊？我没事，我没事呀！我，我还不需要治疗！,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,0,95,啊？啊？我没事，我没事呀！我，我还不需要治疗！,え？あ、僕は大丈夫！本当に大丈夫だよ！まだ治療はいらない！,前衛オペレーター,True
character,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,1,,,,char_013_riop,,,,,0,96,,,,False
name,是定量药剂，延缓感染症状的！,,,,,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,0,97,是定量药剂，延缓感染症状的！,これは決まった分量の薬で、感染症状を抑えるんだ！,医療オペレーター,True
name,你刚才不是还说头晕吗！,,,,,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,0,98,你刚才不是还说头晕吗！,さっき君、クラクラすると言っただろう！,医療オペレーター,True
character,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,2,,,,char_013_riop,,,,,0,99,,,,False
name,那不是同一种症状吧！,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,0,100,那不是同一种症状吧！,それは同じ症状じゃないと思うよ！,前衛オペレーター,True
character,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,1,,,,char_013_riop,,,,,0,101,,,,False
name,要是一会儿你的身体又出了问题，再碰上战斗怎么办？,,,,,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,0,102,要是一会儿你的身体又出了问题，再碰上战斗怎么办？,もしまた体調崩して、その時戦闘に遭遇したらどうする？,医療オペレーター,True
name,为了大家的安全你也该好好注意！,,,,,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,0,103,为了大家的安全你也该好好注意！,みんなの安全のためにも気を付けなきゃ！,医療オペレーター,True
character,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,2,,,,char_013_riop,,,,,0,104,,,,False
name,......,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,0,105,......,……,前衛オペレーター,True
character,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,1,,,,char_013_riop,,,,,0,106,,,,False
name,别动！我要扎了！,,,,,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,0,107,别动！我要扎了！,動かないで！注射するよ！,医療オペレーター,True
character,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,2,,,,char_013_riop,,,,,0,108,,,,False
name,啊！！,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,0,109,啊！！,ああ！！,前衛オペレーター,True
blocker,,,,,,0.6,,,,,,,,,,,,,true,,1,0,0,0,,,,,,,,,,,,,,0,110,,,,False
blocker,,,,,,0.6,,,,,,,,,,,,,true,,0,,,,,,,,,,,,,,,,,0,111,,,,False
character,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,0,112,,,,False
name,......,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,113,......,……,ドーベルマン,True
name,......罗德岛就是这样，既要找出治疗感染者的办法，又要减少感染者带来的问题。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,114,......罗德岛就是这样，既要找出治疗感染者的办法，又要减少感染者带来的问题。,……ロドスはこうやって、感染者の治療法を探すだけでなく、感染者に起因する問題を減らすことも目指しているの。,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,2,,,,char_002_amiya_1,,,,,0,115,,,,False
name,——是的。光是研究治疗方法，或者仅仅去平息种种争端，都是不够的。,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,116,——是的。光是研究治疗方法，或者仅仅去平息种种争端，都是不够的。,――そうです。治療法の研究や争いの鎮静だけでは足りません。,アーミヤ,True
name,我们必须直面感染者带来的所有问题。,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,117,我们必须直面感染者带来的所有问题。,私たちは感染者が直面している問題すべてに立ち向かう必要があります。,アーミヤ,True
name,只有这样，罗德岛才能替感染者争取到一线生机......,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,118,只有这样，罗德岛才能替感染者争取到一线生机......,そうしてこそ、ロドスは感染者たちに希望を与えることができるんです……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,0,119,,,,False
name,作为感染者，我们也比普通人更能理解感染者。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,120,作为感染者，我们也比普通人更能理解感染者。,感染者である私たちは、一般の人よりも感染者のことを理解できる。,ドーベルマン,True
name,无论是普通人还是感染者，无论是和平还是纷争，罗德岛想要解决问题，而不是任由仇恨和疾病蔓延肆虐。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,121,无论是普通人还是感染者，无论是和平还是纷争，罗德岛想要解决问题，而不是任由仇恨和疾病蔓延肆虐。,一般人でも感染者でも、平和でも争いでも、ロドスは問題を解決したい、憎しみや病気を蔓延させたくないんだ。,ドーベルマン,True
name,博士，这可能也会是你职责的一部分。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,122,博士，这可能也会是你职责的一部分。,ドクター、それもあなたの責務の一部かもしれない。,ドーベルマン,True
name,......至少，这是我粗浅的请求。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,123,......至少，这是我粗浅的请求。,……少なくとも、これが私なりのささやかなお願いよ。,ドーベルマン,True
decision,我需要更慎重地思索一下。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,你在说什么？？;......;我需要更慎重地思索一下。,1;2;3,,,,,,,3,124,我需要更慎重地思索一下。,もう少し慎重に考える必要があるな。,,True
decision,你在说什么？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,你在说什么？？;......;我需要更慎重地思索一下。,1;2;3,,,,,,,3,125,你在说什么？？,何を言っているんだ？？,,True
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,你在说什么？？;......;我需要更慎重地思索一下。,1;2;3,,,,,,,3,126,......,……,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,0,127,,,,False
character,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,0,128,,,,False
name,我们会留给你很多时间的，你可以慢慢理解。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,129,我们会留给你很多时间的，你可以慢慢理解。,私たちは君にたくさんの時間をあげるよ。ゆっくり理解していけばいい。,ドーベルマン,True
name,只不过，给我们的时间却不多了。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,130,只不过，给我们的时间却不多了。,でも、私たちの方に残された時間は多くない。,ドーベルマン,True
name,整顿队伍，出发！,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,131,整顿队伍，出发！,隊を整えて、出発だ！,ドーベルマン,True
name,前往汇合点的路上，还不知道有什么等着我们！,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,132,前往汇合点的路上，还不知道有什么等着我们！,集合地点までの道で何が待っているかはまだわからないぞ！,ドーベルマン,True
blocker,,,,,,0.6,,,,,,,,,,,,,true,,1,0,0,0,,,,,,,,,,,,,,0,133,,,,False
blocker,,,,,,0.6,,,,,,,,,,,,,true,,0,,,,,,,,,,,,,,,,,0,134,,,,False
delay,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,135,,,,False
name,（阿米娅......）,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,136,（阿米娅......）,（アーミヤ……）,ドーベルマン,True
name,（切尔诺伯格现在的情况非常复杂，我们不能给整支救援队伍带去心理压力。但是......）,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,137,（切尔诺伯格现在的情况非常复杂，我们不能给整支救援队伍带去心理压力。但是......）,（チェルノボーグの現状は非常に複雑だ。救援隊全体に心理的な負担をかけるわけにはいかないが……）,ドーベルマン,True
name,（我们......还有多长时间？）,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,138,（我们......还有多长时间？）,（私たち……あとどれくらい時間が残っているのでしょう？）,アーミヤ,True
name,（......三小时。）,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,139,（......三小时。）,（……三時間だ。）,ドーベルマン,True
name,（三小时之后，天灾将会吞没这个城市。）,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,140,（三小时之后，天灾将会吞没这个城市。）,（三時間後、天災がこの都市を呑み込む。）,ドーベルマン,True
name,（等到天灾降临，一切就都完了。）,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,141,（等到天灾降临，一切就都完了。）,（天災が来たら、すべてが終わる。）,ドーベルマン,True
blocker,,,,,,0.6,,,,,,,,,,,,,true,,1,0,0,0,,,,,,,,,,,,,,0,142,,,,False
background,,,,,bg_cher_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,1.1,1.1,0,143,,,,False
blocker,,,,,,0.6,,,,,,,,,,,,,true,,0,,,,,,,,,,,,,,,,,0,144,,,,False
delay,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,145,,,,False
character,,,,,,,,,,,,,,,,,,,,char_1502_crowns#2,,,,,,,,,,,,,,,,,,0,146,,,,False
name,......,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,0,147,......,……,？？？,True
name,不确定因素。,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,0,148,不确定因素。,不確定要素だ。,？？？,True
name,去，通知其他人。,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,0,149,去，通知其他人。,行け、他の者に伝えろ。,？？？,True
name,我们追。,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,0,150,我们追。,我々は追う。,？？？,True
blocker,,,,,,1,,,,,,,,,,,,,true,,1,0,0,0,,,,,,,,,,,,,,0,151,,,,False
