command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,crossfade,delay,time,name,duration,xstrength,ystrength,vibrato,randomness,fadeout,name2,focus,options,values,references,x,y,xScale,yScale,width,height,option_number,index,text,jp_text,jp_name,text_match
name,喘不过气了？是不是感觉连肺都要烧起来了？,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,21,喘不过气了？是不是感觉连肺都要烧起来了？,息ができない？肺まで燃え上がる感じがするだろ？,コウ,True
character,,,,,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,char_1002_nsabr_1,2,,,,,,,,,,0,22,,,,False
name,呃，呃......,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,23,呃，呃......,う、うぅ……,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,char_1002_nsabr_1,1,,,,,,,,,,0,24,,,,False
name,先是鼻腔，然后是气管，最后是胸腔。我的这根手指，只要再这么轻轻一动......,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,25,先是鼻腔，然后是气管，最后是胸腔。我的这根手指，只要再这么轻轻一动......,まずは鼻腔、次に気道、最後は胸腔だ。この指をもうちょっと動かすだけで……,コウ,True
name,高温气流就会立即窜进你的身体，膨胀，点燃你的器官，从你的毛孔里喷出来。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,26,高温气流就会立即窜进你的身体，膨胀，点燃你的器官，从你的毛孔里喷出来。,高温の気流が一気に体内に流れ込み、膨張して内臓を燃やし、毛穴から吹き出すぞ。,コウ,True
name,其实龙门还可能饶你们一命。我真要动手的话——,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,27,其实龙门还可能饶你们一命。我真要动手的话——,実は龍門ならお前たちを許すかもしれない。でも、私が本気を出せば――,コウ,True
character,,,,,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,char_1002_nsabr_1,2,,,,,,,,,,0,28,,,,False
camerashake,,,,,,,,,,false,,,,,,,,,0.5,8,6,30,90,true,,,,,,,,,,,,0,29,,,,False
name,哈，哈......唔！呃！,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,30,哈，哈......唔！呃！,は、はぁ……うっ！あぁ！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,char_1002_nsabr_1,1,,,,,,,,,,0,31,,,,False
name,你们一个都活不了。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,32,你们一个都活不了。,お前たちは一人も生き残れないよ。,コウ,True
character,,,,,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,char_1002_nsabr_1,2,,,,,,,,,,0,33,,,,False
name,不不不不要！放，放开我！救命！！,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,34,不不不不要！放，放开我！救命！！,や、やめて！離してくれ！助けて！！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,char_017_homura_3#8,,,,,,,char_1002_nsabr_1,1,,,,,,,,,,0,35,,,,False
name,行啦，我不会做那么过火的。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,36,行啦，我不会做那么过火的。,わかったよ、そこまでやりはしないさ。,コウ,True
character,,,,,,,,,,,,,,,,,,char_017_homura_3#8,,,,,,,,,,,,,,,,,,0,37,,,,False
name,警员！过来。交给你处理了。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,38,警员！过来。交给你处理了。,警官！こっちへ。後は任せた。,コウ,True
name,对了，乌萨斯人，刚才那不叫动手。那是顺手。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,39,对了，乌萨斯人，刚才那不叫动手。那是顺手。,そうだ、ウルサス人、さっきのは本気じゃないよ。ただの手癖だ。,コウ,True
character,,,,,,,,,,,,,,,,,,char_017_homura_3#7,,,,,,,,,,,,,,,,,,0,40,,,,False
name,啊，终于来了。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,41,啊，终于来了。,ああ、やっと来たか。,コウ,True
name,博士，这边！,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,42,博士，这边！,ドクター、こっち！,コウ,True
delay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,43,,,,False
decision,闹得还真大啊。,,,,,,,,,,,,,,,,,,,,,,,,,,刚才那招太漂亮了！;......;闹得还真大啊。,1;2;3,,,,,,,,3,44,闹得还真大啊。,随分と騒がしいな。,,True
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,刚才那招太漂亮了！;......;闹得还真大啊。,1;2;3,,,,,,,,3,45,......,……,,True
decision,刚才那招太漂亮了！,,,,,,,,,,,,,,,,,,,,,,,,,,刚才那招太漂亮了！;......;闹得还真大啊。,1;2;3,,,,,,,,3,46,刚才那招太漂亮了！,さっきの技は見事だったよ！,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,47,,,,False
character,,,,,,,,,,,,,,,,,,char_017_homura_3#8,,,,,,,,,,,,,,,,,,0,48,,,,False
name,哈，小意思。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,49,哈，小意思。,はっ、たいしたことないさ。,コウ,True
name,下次让你看点更厉害的，那招“在不弄断骨头的情况下把手臂反折九十度”怎么样？,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,50,下次让你看点更厉害的，那招“在不弄断骨头的情况下把手臂反折九十度”怎么样？,今度はもっとすごいの見せてやるよ。「骨を折らずに腕を九十度逆に曲げる」って技どうだ？,コウ,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,51,,,,False
character,,,,,,,,,,,,,,,,,,char_017_homura_3#4,,,,,,,,,,,,,,,,,,0,52,,,,False
name,噫，你怎么那种表情......,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,53,噫，你怎么那种表情......,え、なんでそんな顔してるんだ……,コウ,True
name,你在罗德岛也有段时间了吧，难道没见过几个会打架的人吗？,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,54,你在罗德岛也有段时间了吧，难道没见过几个会打架的人吗？,ロドスにもう結構いるだろ？戦える人を何人か見たことないのか？,コウ,True
name,跟他们比起来，我算心慈手软的了。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,55,跟他们比起来，我算心慈手软的了。,あいつらと比べたら、私はずいぶんお人よしなほうさ。,コウ,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,0,56,,,,False
character,,,,,,,,,,,,,,,,,,char_017_homura_3#4,,,,,,,,,,,,,,,,,,0,57,,,,False
name,那肯定，你看我像那种藏着捏着干活的人吗？,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,58,那肯定，你看我像那种藏着捏着干活的人吗？,そりゃそうだ。私がこそこそして仕事をするような奴に見えるか？,コウ,True
name,要是能把他们吓破胆，不过多久其他人就会不攻自破了。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,59,要是能把他们吓破胆，不过多久其他人就会不攻自破了。,奴らを恐れさせれば、他の連中もすぐ崩れるさ。,コウ,True
name,而且不把场面弄大点，不觉得对不起自己累出的一身汗吗？,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,60,而且不把场面弄大点，不觉得对不起自己累出的一身汗吗？,それに、派手にやらないと汗かいた甲斐もないしな？,コウ,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,61,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,62,,,,False
character,,,,,,,,,1,true,,,,,,,,char_002_amiya_1#3,,,,,,,,,,,,,,,,,,0,63,,,,False
delay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,64,,,,False
name,别给博士灌输这些呀......,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,65,别给博士灌输这些呀......,そんなことドクターに教えないでよ……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#3,,,,,,,char_017_homura_3#7,2,,,,,,,,,,0,66,,,,False
camerashake,,,,,,,,,,false,,,,,,,,,0.5,8,6,30,90,true,,,,,,,,,,,,0,67,,,,False
name,小兔子！！,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,68,小兔子！！,うさちゃん！！,コウ,True
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,char_017_homura_3#7,1,,,,,,,,,,0,69,,,,False
name,也别一见面就把我抱起来啊！！,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,70,也别一见面就把我抱起来啊！！,会うたびに抱き上げるのはやめて！！,アーミヤ,True
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,char_017_homura_3#7,2,,,,,,,,,,0,71,,,,False
name,怎么会有这么软的脸蛋......怎么会！别挣扎嘛，让我再多摸摸，又不会少块肉！,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,72,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,char_017_homura_3#7,1,,,,,,,,,,0,73,,,,False
name,煌......憋嗫叻筷厅吓！,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,74,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,char_017_homura_3#7,2,,,,,,,,,,0,75,,,,False
name,哎。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,76,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,,,,,0,77,,,,False
name,我们才分别行动不到一个小时，你这是什么反应啊！严肃点！,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,78,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,char_017_homura_3#7,2,,,,,,,,,,0,79,,,,False
name,真是不可爱的小孩。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,80,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,char_017_homura_3#7,1,,,,,,,,,,0,81,,,,False
name,......,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,82,,,,False
name,我受够了......！,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,83,,,,False
camerashake,,,,,,,,,,false,,,,,,,,,0.5,8,6,30,90,true,,,,,,,,,,,,0,84,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,char_017_homura_3#10,2,,,,,,,,,,0,85,,,,False
name,不，别，我只是在开玩笑！可别再往我脑袋里塞些什么奇怪的情绪了，那种惩罚吃一次都嫌多了！,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,86,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,char_017_homura_3#5,2,,,,,,,,,,0,87,,,,False
name,等等。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,88,,,,False
name,你身边那位？,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,89,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,,,,False
character,,,,,,,,,1,true,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,,,0,91,,,,False
delay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,92,,,,False
name,你好，我是......,,,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,0,93,,,,False
character,,,,,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,char_367_swllow_1,1,,,,,,,,,,0,94,,,,False
name,我知道你是谁。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,95,,,,False
name,下次你再对我们感染者同胞说那种话，我会撕掉你半张脸。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,96,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,char_017_homura_3#5,1,,,,,,,,,,0,97,,,,False
name,煌！,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,98,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,char_017_homura_3#5,2,,,,,,,,,,0,99,,,,False
name,对不起，阿米娅。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,100,,,,False
name,但我还是要警告她，而且绝不会改口。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,101,,,,False
character,,,,,,,,,,,,,,,,,,char_367_swllow_1#3,,,,,,,,,,,,,,,,,,0,102,,,,False
name,......,,,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,0,103,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,char_017_homura_3#5,2,,,,,,,,,,0,104,,,,False
name,先走了。下处目标点会合。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,105,,,,False
playsound,,$rungeneral,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0,106,,,,False
delay,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,0,107,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,char_367_swllow_1,1,,,,,,,,,,0,108,,,,False
name,灰喉，煌她可能误会了你。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,109,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,char_367_swllow_1#3,2,,,,,,,,,,0,110,,,,False
name,不要紧。毕竟我真的说过那些话。,,,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,0,111,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,char_367_swllow_1#3,1,,,,,,,,,,0,112,,,,False
name,她没理由用那时的事情去批评现在的你。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,113,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,char_367_swllow_1,2,,,,,,,,,,0,114,,,,False
name,谁知道呢，我真的改变看法了吗？我自己也不知道。,,,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,0,115,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,char_367_swllow_1,1,,,,,,,,,,0,116,,,,False
name,......,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,117,,,,False
decision,那你现在参与行动，真的好吗？,,,,,,,,,,,,,,,,,,,,,,,,,,所以你更要做些什么了。;......;那你现在参与行动，真的好吗？,1;2;3,,,,,,,,3,118,,,,False
decision,所以你更要做些什么了。,,,,,,,,,,,,,,,,,,,,,,,,,,所以你更要做些什么了。;......;那你现在参与行动，真的好吗？,1;2;3,,,,,,,,3,119,,,,False
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,所以你更要做些什么了。;......;那你现在参与行动，真的好吗？,1;2;3,,,,,,,,3,120,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,121,,,,False
character,,,,,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,,,0,122,,,,False
name,我就是因为想做些什么才来的，不管那位煌干员怎么说，怎么做。,,,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,0,123,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,char_367_swllow_1,1,,,,,,,,,,0,124,,,,False
name,欸......,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,125,,,,False
decision,（阿米娅......）,,,,,,,,,,,,,,,,,,,,,,,,,,（阿米娅......）,1,,,,,,,,1,126,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,127,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,0,128,,,,False
name,（嗯......作为非感染者，罗德岛现在的处境可能会让灰喉她感到迷茫。）,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,129,,,,False
name,（这次行动，也许能让她做出决定......无论是离开还是留下。）,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,130,,,,False
name,（但她习惯了服从命令，很少表露自己的想法，有时候也会口出惊人......）,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,131,,,,False
name,（她的情感里没有恶意。她只是需要机会认清自己。）,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,132,,,,False
name,（不过她的实力非常可靠，博士你可以信任她。虽然我们不一定能帮到她，但她一定能帮到你。）,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,133,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,0,134,,,,False
name,咦......嘉维尔去哪了？,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,135,,,,False
decision,按捺不住冲动，去殴打敌人了？,,,,,,,,,,,,,,,,,,,,,,,,,,按捺不住冲动，去殴打敌人了？;......;她可能想造成些不必要的破坏。,1;2;3,,,,,,,,3,136,,,,False
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,按捺不住冲动，去殴打敌人了？;......;她可能想造成些不必要的破坏。,1;2;3,,,,,,,,3,137,,,,False
decision,她可能想造成些不必要的破坏。,,,,,,,,,,,,,,,,,,,,,,,,,,按捺不住冲动，去殴打敌人了？;......;她可能想造成些不必要的破坏。,1;2;3,,,,,,,,3,138,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,139,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,,,,,0,140,,,,False
name,这，不好了！,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,141,,,,False
name,不对，是谁向博士你这么评价她的，有些过分，虽然事实也确实如此......,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,142,,,,False
name,但我们确实不能在这个时间点出差错。赶快去下个巡逻点向她发送联络信号吧。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,143,,,,False
name,即使她的行动都在规划之内，但没人监督的话，还是会造成很可怕的后果......,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,144,,,,False
decision,其他的小队呢？,,,,,,,,,,,,,,,,,,,,,,,,,,其他的小队呢？,1,,,,,,,,1,145,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,146,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,0,147,,,,False
name,其他小队有精英干员们代为指挥，他们也会向我们报告战况的，放心吧。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,148,,,,False
name,现在，我们已经处于联合作战中最关键的一环。这会是龙门决定性的一战。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,149,,,,False
decision,陈警司呢？,,,,,,,,,,,,,,,,,,,,,,,,,,陈警司呢？,1,,,,,,,,1,150,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,151,,,,False
blocker,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,152,,,,False
image,,,,,,,,,0,,avg_6_21,,,,,,,,,,,,,,,,,,,0,0,1.1,1.1,,,0,153,,,,False
blocker,,,,,0,,,,0.6,false,,,,,,,,,,,,,,,,,,,,,,,,,,0,154,,,,False
name,她有自己的指挥任务。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,155,,,,False
name,依照我们和近卫局的规划，作为特别督查组的组长，陈警司将带领近卫局的精锐部队，尽可能地阻挡整合运动的进攻性力量。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,156,,,,False
name,一方面，她要“引导”整合运动主要部队的行动方向，逼迫他们前往指定位置；另一方面，她也要尽力阻止其他整合运动小队进入贫民区。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,157,,,,False
image,,,,,,,,,1,,avg_6_22,,,,,,,,,,,,,,,,,,,0,0,1.1,1.1,,,0,158,,,,False
name,而罗德岛会沿各个巡逻点前进，在行进过程中帮助近卫局其他队伍消灭残余的整合运动，促使整合运动放弃战斗。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,159,,,,False
name,最后，我们会到达预定地点，贫民区和近卫局一同击溃整合运动的主力部队。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,160,,,,False
name,在这种规模的行动中，罗德岛能做的不多，但我们会尽力完成合约内容。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,161,,,,False
name,至于一些我们和近卫局之间的合作问题......博士，我保证会给罗德岛的各位一个答复。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,162,,,,False
name,不过博士，有件事，也许只有你能做到。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,163,,,,False
blocker,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,164,,,,False
image,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,165,,,,False
blocker,,,,,0,,,,0.6,false,,,,,,,,,,,,,,,,,,,,,,,,,,0,166,,,,False
decision,交给我了！,,,,,,,,,,,,,,,,,,,,,,,,,,交给我了！;......;我是不是该表现的严肃点？,1;2;3,,,,,,,,3,167,,,,False
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,交给我了！;......;我是不是该表现的严肃点？,1;2;3,,,,,,,,3,168,,,,False
decision,我是不是该表现的严肃点？,,,,,,,,,,,,,,,,,,,,,,,,,,交给我了！;......;我是不是该表现的严肃点？,1;2;3,,,,,,,,3,169,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,170,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,0,171,,,,False
name,嘿嘿，嗯，,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,172,,,,False
name,嗯......不过，也不是那种强求你去努力表现自己的事。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,173,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,174,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,0,175,,,,False
name,欸......别不说话呀！,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,176,,,,False
name,那，那我说了？,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,177,,,,False
name,好歹表个态呀博士......！,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,178,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,0,179,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,,,,,0,180,,,,False
name,不用，不用啦！,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,181,,,,False
name,这件事可能也不能太严肃哦！,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,182,,,,False
