command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,time,name,fadetime,block,a,r,g,b,screenadapt,image,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,index,text,jp_text,jp_name,text_match
name,......陈sir，星熊督察她好像在向你招手。,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,40,......陈sir，星熊督察她好像在向你招手。,……チェン警部、星熊督察があなたに手を振っています。,近衛局メンバー,True
blocker,,,,,,,,,,,1,true,1,0,0,0,,,,,,,,,,,,,,,,,,,41,,,,False
delay,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,False
playsound,,$d_gen_soldiersrun,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,False
blocker,,,,,,,,,,,1,true,0,,,,,,,,,,,,,,,,,,,,,,44,,,,False
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,False
name,医师，跟我来！,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,46,医师，跟我来！,医師、私についてきて！,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,char_136_hsguma,1,,,,,,,,,,,,,,,47,,,,False
name,星熊，你刚才还向那些整合运动问了什么？,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,48,星熊，你刚才还向那些整合运动问了什么？,星熊、さっきレユニオンに何を訊ねたんだ？,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,char_136_hsguma,2,,,,,,,,,,,,,,,49,,,,False
name,问他们仓库是不是陷阱。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,50,问他们仓库是不是陷阱。,倉庫が罠かどうかを聞いた。,星熊,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,char_136_hsguma,1,,,,,,,,,,,,,,,51,,,,False
name,如果全部都是爆破物的话——,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,52,如果全部都是爆破物的话——,もし全部爆発物だったら――,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,char_136_hsguma,2,,,,,,,,,,,,,,,53,,,,False
name,我就把他们一个一个丢进去。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,54,我就把他们一个一个丢进去。,一人ずつ中に放り込んでやる。,星熊,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,char_136_hsguma,1,,,,,,,,,,,,,,,55,,,,False
name,所以呢？,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,56,所以呢？,それで？,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,char_136_hsguma,2,,,,,,,,,,,,,,,57,,,,False
name,没有。阿发被埋伏了以后才逃进去的。整合运动他们原本就埋伏在附近。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,58,没有。阿发被埋伏了以后才逃进去的。整合运动他们原本就埋伏在附近。,いや。アファは待ち伏せされた後に逃げ込んだんだ。レユニオンは元々近くに待ち伏せしていた。,星熊,True
name,老陈，你拉右边门。我拉左边。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,59,老陈，你拉右边门。我拉左边。,チェン、あなたは右側の扉を引いて。私は左を引く。,星熊,True
camerashake,,,,,,,,,,,,true,,,,,,,,,0.5,5,3,30,90,true,,,,,,,,,60,,,,False
delay,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,False
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,char_136_hsguma,1,,,,,,,,,,,,,,,62,,,,False
name,......似乎被卡住了，怎么拉也没反应。等我划个口子出来。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,63,......似乎被卡住了，怎么拉也没反应。等我划个口子出来。,……どうやら引っかかってるみたいで、いくら引いても開かないな。切り口を作ってみる。,チェン,True
character,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,False
name,算了，我撕开就行。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,65,算了，我撕开就行。,もういい、私が引き裂くよ。,星熊,True
name,（咆哮）！,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,66,（咆哮）！,（咆哮）！,星熊,True
camerashake,,,,,,,,,,,,true,,,,,,,,,1,5,3,30,90,true,,,,,,,,,67,,,,False
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,False
name,开了！,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,69,开了！,開いた！,チェン,True
blocker,,,,,,,,,,,2,true,1,0,0,0,,,,,,,,,,,,,,,,,,,70,,,,False
delay,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,False
background,,,,,,,,,,,,,,,,,coverall,bg_storehouse,,,,,,,,,,,,,,,,,72,,,,False
blocker,,,,,,,,,,,2,true,0,,,,,,,,,,,,,,,,,,,,,,73,,,,False
character,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,False
name,XR02，告诉我你的位置！XR02！,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,75,XR02，告诉我你的位置！XR02！,XR02、居場所を教えてくれ！XR02！」,チェン,True
playsound,,$d_gen_transmissionget,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,False
character,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,False
name,！,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,78,！,！,チェン,True
name,XR02！,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,79,XR02！,XR02！」,チェン,True
name,陈sir......我听见战斗的声音，仓库大门似乎也......破了。可能是整合运动。我会处理好自己......,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,80,陈sir......我听见战斗的声音，仓库大门似乎也......破了。可能是整合运动。我会处理好自己......,チェン警部……戦闘音が聞こえて、倉庫の扉も……壊れたみたいだ。レユニオンかもしれない。自分のことは自分でなんとかする……,情報屋,True
character,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,False
name,不，那是我！你别挂断！,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,82,不，那是我！你别挂断！,違う、それは私だ！切るな！」,チェン,True
name,是陈sir吗？那太好了......我在......最里面。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,83,是陈sir吗？那太好了......我在......最里面。,チェン警部ですか？それはよかった……私は……一番奥にいる。,情報屋,True
blocker,,,,,,,,,,,2,true,1,0,0,0,,,,,,,,,,,,,,,,,,,84,,,,False
delay,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,False
image,,,,,,,,,,,,,,,,,coverall,bg_5_3end1,,,,,,,,,,,,,,,,,86,,,,False
blocker,,,,,,,,,,,2,true,0,,,,,,,,,,,,,,,,,,,,,,87,,,,False
imagetween,,,,,,,,,,,,false,,,,,,,,,15,,,,,,0,0,0,0,1,1,1.15,1.15,88,,,,False
name,你的伤......你的眼睛怎么回事？,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,89,你的伤......你的眼睛怎么回事？,怪我が……目はどうなってるんだ？,チェン,True
name,不小心中了法术。没事，不妨碍，我，咳，给你东西。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,90,不小心中了法术。没事，不妨碍，我，咳，给你东西。,不注意で術を食らった。大丈夫だ、問題ない、俺は、ゲホッ、ものを渡す……,情報屋,True
name,医师，给他止血！,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,91,医师，给他止血！,医師、止血してやってくれ！」,チェン,True
name,不。陈sir，不用了。我知道......,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,92,不。陈sir，不用了。我知道......,いや。チェン警部、いいんだ。俺はわかってる……,情報屋,True
name,多话！,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,93,多话！,黙れ！」,チェン,True
name,是真的。看到我中了几箭了吗？我瞎了，也不想再动了。痛，我够了。我很累。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,94,是真的。看到我中了几箭了吗？我瞎了，也不想再动了。痛，我够了。我很累。,本当だ。俺が何本も矢を受けたの見ただろ？もう目も見えないし、動きたくもない。痛い、もう十分だ。とても疲れた。,情報屋,True
blocker,,,,,,,,,,,2,true,1,0,0,0,,,,,,,,,,,,,,,,,,,95,,,,False
delay,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,False
blocker,,,,,,,,,,,2,true,0,,,,,,,,,,,,,,,,,,,,,,97,,,,False
character,,,,,,,,,,char_010_chen_1#4,,,,,,,,,avg_npc_013,2,,,,,,,,,,,,,,,98,,,,False
name,拿好，陈sir......S249TA，F106。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,99,拿好，陈sir......S249TA，F106。,持っておけ、チェン警部……S249TA、F106。,情報屋,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,1,,,,,,,,,,,,,,,100,,,,False
name,49. 位置我记住了。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,101,49. 位置我记住了。,49。場所は覚えた。,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,2,,,,,,,,,,,,,,,102,,,,False
name,纸上是细节。整合运动渗透感染者聚落后的情报，没有发给其他头目，单线传递......一定是特殊目标。你得看看，越快越好。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,103,纸上是细节。整合运动渗透感染者聚落后的情报，没有发给其他头目，单线传递......一定是特殊目标。你得看看，越快越好。,紙には詳細が書いてある。レユニオンが感染者の集落に潜入した情報だ。他のボスには送らず、一本線で伝えた……特別なターゲットに違いない。できるだけ早く目を通してくれ。,情報屋,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,1,,,,,,,,,,,,,,,104,,,,False
name,好。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,105,好。,わかった。,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,2,,,,,,,,,,,,,,,106,,,,False
name,咳......我可是，花了很大功夫才拿到......算了，陈sir，我没想到会有这天。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,107,咳......我可是，花了很大功夫才拿到......算了，陈sir，我没想到会有这天。,ゲホ……苦労して手に入れたのに……まあいい、チェン警部、こんな日が来るとは思わなかった。,情報屋,True
name,虽然我起到作用了，可我没想到会是以这种方式。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,108,虽然我起到作用了，可我没想到会是以这种方式。,一応役に立ったけど、こういう形だとは思わなかったな。,情報屋,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,1,,,,,,,,,,,,,,,109,,,,False
name,我们都没想到。因为你的努力，我们才有机会阻止敌人。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,110,我们都没想到。因为你的努力，我们才有机会阻止敌人。,私たちも思ってなかった。君の頑張りがあったから、敵を止めるチャンスができたんだ。,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,2,,,,,,,,,,,,,,,111,,,,False
name,哈哈，咳，我没喜欢过龙门，龙门也没喜欢过我。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,112,哈哈，咳，我没喜欢过龙门，龙门也没喜欢过我。,ハハ、ゲホ、私は龍門が好きになったことはないし、龍門も私を好きになったことはない。,情報屋,True
name,但现在，我居然给整个龙门做了点什么，一个街头仔能做到这步，值喇。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,113,但现在，我居然给整个龙门做了点什么，一个街头仔能做到这步，值喇。,でも今、私が龍門のために何かをしたなんて、ストリートのガキがここまでやれるなら十分だな。,情報屋,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,1,,,,,,,,,,,,,,,114,,,,False
name,中水三杰也算街头仔？,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,115,中水三杰也算街头仔？,中水三傑もストリートのガキなのか？,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,2,,,,,,,,,,,,,,,116,,,,False
name,有鬼姐在，我永远都是街头仔。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,117,有鬼姐在，我永远都是街头仔。,鬼お姉さんがいる限り、私は永遠にストリートのガキですよ。,情報屋,True
name,......,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,118,......,……,情報屋,True
name,......陈sir，鬼姐她还好吗？还在当差吗？,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,119,......陈sir，鬼姐她还好吗？还在当差吗？,……チェン警部、鬼お姉さんは元気ですか？まだ働いてますか？,情報屋,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,1,,,,,,,,,,,,,,,120,,,,False
name,还在。我和她搭档很长时间了。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,121,还在。我和她搭档很长时间了。,まだいるよ。長いこと一緒に組んでるんだ。,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,2,,,,,,,,,,,,,,,122,,,,False
name,陈sir，鬼姐她......太耿直了。她在会里的时候没人，咳咳，敢动她。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,123,陈sir，鬼姐她......太耿直了。她在会里的时候没人，咳咳，敢动她。,チェン警部、鬼お姉さんは……あまりに真っ直ぐなんだ。ギャングにいた時は、ゲホッ、誰も手を出せなかった。,情報屋,True
name,但她斗不过龙门的大人物。你一定得看好她。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,124,但她斗不过龙门的大人物。你一定得看好她。,でも龍門の大物には敵わない。彼女をちゃんと見ててやってくれ。,情報屋,True
name,鬼姐绝对不能丢架，龙门那些趾高气扬的富人别想因为她的出身欺侮她！,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,125,鬼姐绝对不能丢架，龙门那些趾高气扬的富人别想因为她的出身欺侮她！,鬼お姉さんは絶対に恥をかかせるな。龍門の偉そうな金持ちたちに彼女の出自で侮辱させないでくれ！,情報屋,True
name,我只求你这一件事。就这一件。咳......,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,126,我只求你这一件事。就这一件。咳......,お願いはそれだけだ。本当にそれだけ。ゲホ……,情報屋,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,1,,,,,,,,,,,,,,,127,,,,False
name,不会的。星熊很强，没人能动得了她。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,128,不会的。星熊很强，没人能动得了她。,そんなことはない。星熊は強い、誰も彼女を傷つけられない。,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,2,,,,,,,,,,,,,,,129,,,,False
name,双拳难敌四手。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,130,双拳难敌四手。,一人の拳では四つの手には敵わない。,情報屋,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,1,,,,,,,,,,,,,,,131,,,,False
name,整个近卫局都撑她。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,132,整个近卫局都撑她。,近衛局全体が彼女を支えているよ。,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,2,,,,,,,,,,,,,,,133,,,,False
name,那好，太好了，鬼姐，有陈sir在，我们都放心了。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,134,那好，太好了，鬼姐，有陈sir在，我们都放心了。,それならよかった。本当によかった、鬼お姉さん。チェン警部がいれば、みんな安心だ。,情報屋,True
name,陈sir，你还在吗？,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,135,陈sir，你还在吗？,チェン警部、まだいますか？,情報屋,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,1,,,,,,,,,,,,,,,136,,,,False
name,在。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,137,在。,いる。,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,2,,,,,,,,,,,,,,,138,,,,False
name,我算不算是个好人？,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,139,我算不算是个好人？,俺は善い人間だったかな？,情報屋,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,1,,,,,,,,,,,,,,,140,,,,False
name,几年前，不好说。但现在你确实是。你是龙门引以为豪的好公民。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,141,几年前，不好说。但现在你确实是。你是龙门引以为豪的好公民。,数年前は難しいが、今の君は間違いなくそうだ。君は龍門の誇るべき市民だ。,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,2,,,,,,,,,,,,,,,142,,,,False
name,哈哈哈，咳，哈哈......矿石病衰仔也能是好人了？,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,143,哈哈哈，咳，哈哈......矿石病衰仔也能是好人了？,ハハハ、ゲホ、ハハ……オリパシーで衰えたガキでも善人になれるのか？,情報屋,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,1,,,,,,,,,,,,,,,144,,,,False
name,有些龙门人会纠结矿石病，但你不如问问龙门城。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,145,有些龙门人会纠结矿石病，但你不如问问龙门城。,龍門の人間の中にはオリパシーを気にする者もいるが、龍門の街自体に聞いてみればどうだ？」,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,2,,,,,,,,,,,,,,,146,,,,False
name,怎么，我问它，它难道还会回答吗？,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,147,怎么，我问它，它难道还会回答吗？,どうやって、街に聞いて、それが答えてくれるのか？,情報屋,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,1,,,,,,,,,,,,,,,148,,,,False
name,哈，我替它回答吧。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,149,哈，我替它回答吧。,はっ、私が代わりに答えてやるよ。,チェン,True
name,“我不在乎。”,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,150,“我不在乎。”,『私は気にしない。』,チェン,True
name,阿发，你一直是、也永远是个龙门人。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,151,阿发，你一直是、也永远是个龙门人。,アファ、お前はずっと、そしてこれからも龍門の人間だ。,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,2,,,,,,,,,,,,,,,152,,,,False
name,谢谢你，陈sir. 谢谢你。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,153,谢谢你，陈sir. 谢谢你。,ありがとう、チェン警部。本当にありがとう。,情報屋,True
name,陈sir，有两句话，我想你带给鬼姐。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,154,陈sir，有两句话，我想你带给鬼姐。,チェン警部、鬼お姉さんに伝えてほしい言葉がふたつある。」,情報屋,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,1,,,,,,,,,,,,,,,155,,,,False
name,你自己和她说。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,156,你自己和她说。,自分で本人に言えばいい。,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,avg_npc_013,2,,,,,,,,,,,,,,,157,,,,False
name,什么意思？你是说......,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,158,什么意思？你是说......,どういう意味だ？まさか……,情報屋,True
character,,,,,,,,,,avg_npc_013,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,False
name,......大姐？,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,160,......大姐？,……お姉さん？」,情報屋,True
character,,,,,,,,,,char_136_hsguma,,,,,,,,,avg_npc_013,1,,,,,,,,,,,,,,,161,,,,False
name,啊。在这儿。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,162,啊。在这儿。,ああ。ここにいるぞ。,星熊,True
character,,,,,,,,,,avg_npc_013,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,False
name,陈sir，你该早说。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,164,陈sir，你该早说。,チェン警部、最初からそう言ってくれよ。,情報屋,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,False
name,她自己不出声。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,166,她自己不出声。,本人が黙ってたからな。,チェン,True
blocker,,,,,,,,,,,2,true,1,0,0,0,,,,,,,,,,,,,,,,,,,167,,,,False
delay,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,False
