command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,initr,index,text,jp_text,jp_name,text_match
name,下一步的任务，你应该也很清楚了，阿米娅。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,65,下一步的任务，你应该也很清楚了，阿米娅。,次の任務は、アーミヤ、お前もよく分かってるはずだ。,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,66,,,,False
name,接下来，就是要夺回米莎吗？,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,67,接下来，就是要夺回米莎吗？,次は、ミーシャを奪還することですか？,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,68,,,,False
name,没错。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,69,没错。,その通りだ。,チェン,True
name,这是一次联合作战。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,70,这是一次联合作战。,これは合同作戦だ。,チェン,True
name,近卫局主攻，罗德岛负责搜索和突袭。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,71,近卫局主攻，罗德岛负责搜索和突袭。,近衛局が主攻し、ロドスが捜索と突撃を担当する。,チェン,True
name,你们只要能拖慢整合运动的撤退进度，就算完成任务。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,72,你们只要能拖慢整合运动的撤退进度，就算完成任务。,君たちはレユニオンの撤退を遅らせさえすれば任務達成だ。,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,73,,,,False
name,......了解。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,74,......了解。,……了解しました。,アーミヤ,True
blocker,,,,,,,,,0.8,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,2,75,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,False
blocker,,,,,,,,,0.8,,,,,,,,,0,,,,,,,,,,,,,,,,,,,77,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,78,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1,char_106_franka_1,2,,,,,,,,,,,,,,,,,,,,79,,,,False
name,搜索敌人的话......我们可能会被发现吧？,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,80,搜索敌人的话......我们可能会被发现吧？,敵を探すとなると……私たち、見つかっちゃうかも？,フランカ,True
name,现在，我们的侦察小队也缺乏支援——,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,81,现在，我们的侦察小队也缺乏支援——,今、私たちの偵察小隊も支援が足りなくて——,フランカ,True
name,光是我们可不成。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,82,光是我们可不成。,私たちだけじゃ無理だよ。,フランカ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_106_franka_1,1,,,,,,,,,,,,,,,,,,,,83,,,,False
name,专业的事，就交给专家去做吧。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,84,专业的事，就交给专家去做吧。,専門分野は専門家に任せましょう。,アーミヤ,True
name,芙兰卡，帮我联络企鹅物流。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,85,芙兰卡，帮我联络企鹅物流。,フランカ、ペンギン急便に連絡してくれる？,アーミヤ,True
name,又要麻烦能天使和德克萨斯他们两个了。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,86,又要麻烦能天使和德克萨斯他们两个了。,またエクシアとテキサスの二人に手間をかけるね。,アーミヤ,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,87,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,88,,,,False
