command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,a,r,g,b,block,index,text,jp_text,jp_name,text_match
name,现在，只能依赖这一发弩弹能把敌人的首领......！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,34,现在，只能依赖这一发弩弹能把敌人的首领......！,今は、この一発のボルトで敵のリーダーを……！,メテオ,True
character,,,,,,,,,,,,,,char_193_frostl_1,char_219_meteo_1,1,,,,,,,,,,,,35,,,,False
name,不。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,36,不。,ダメだ。,フロストリーフ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,37,,,,False
name,哈哈......这种情况下，你们还有讨论的余裕吗？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,38,哈哈......这种情况下，你们还有讨论的余裕吗？,はは……こんな状況で、まだ話し合う余裕があるのかい？,メフィスト,True
name,真自信啊。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,39,真自信啊。,自信たっぷりだね。,メフィスト,True
character,,,,,,,,,,,,,,char_193_frostl_1,char_219_meteo_1,2,,,,,,,,,,,,40,,,,False
name,呵，就让这发弩弹教教你......,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,41,呵，就让这发弩弹教教你......,ふん、このボルトで思い知れ……,メテオ,True
character,,,,,,,,,,,,,,char_193_frostl_1,char_219_meteo_1,1,,,,,,,,,,,,42,,,,False
name,不，陨星。不行。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,43,不，陨星。不行。,ダメだ、メテオ。無理だ。,フロストリーフ,True
character,,,,,,,,,,,,,,char_193_frostl_1,char_219_meteo_1,2,,,,,,,,,,,,44,,,,False
name,啧......！为什么！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,45,啧......！为什么！,ちっ……！なぜだ！,メテオ,True
character,,,,,,,,,,,,,,char_193_frostl_1,char_219_meteo_1,1,,,,,,,,,,,,46,,,,False
name,快撤退。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,47,快撤退。,急いで撤退しよう。,フロストリーフ,True
name,我感受到了......,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,48,我感受到了......,感じる……,フロストリーフ,True
name,是他们。他们来了。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,49,是他们。他们来了。,来た、彼らが来た。,フロストリーフ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,50,,,,False
name,嗯？不射击吗？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,51,嗯？不射击吗？,ん？撃たないのかい？,メフィスト,True
name,真可惜。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,52,真可惜。,本当に残念だね。,メフィスト,True
name,之后，你们就没机会了哦。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,53,之后，你们就没机会了哦。,もう次はないよ。,メフィスト,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,54,,,,False
name,他要撤退了？可是——,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,55,他要撤退了？可是——,あいつは撤退するのか？でも——,メテオ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,56,,,,False
name,陨星！射击西侧那栋危楼，快！至少可以分散敌人的注意力！,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,57,陨星！射击西侧那栋危楼，快！至少可以分散敌人的注意力！,メテオ！西側の危ないビルを撃て、早く！少なくとも敵の注意を引きつけられる！,フロストリーフ,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,58,,,,False
name,......只能这样了！没问题！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,59,......只能这样了！没问题！,……これしかない！任せて！,メテオ,True
playsound,,$d_gen_explo_n,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,False
camerashake,,,,,,,,,,,,,,,,,1,10,8,30,90,false,,,,,,61,,,,False
blocker,,,,,,,,0.1,,,,,,,,,,,,,,,0.7,0.93,0.7,0.2,true,62,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,,,,0,0.93,0.75,0.32,true,63,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,char_259_Jessica_1,1,,,,,,,,,,,,64,,,,False
name,杰西卡，跑起来。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,65,杰西卡，跑起来。,ジェシカ、走れ。,フロストリーフ,True
character,,,,,,,,,,,,,,char_193_frostl_1,char_259_Jessica_1#3,2,,,,,,,,,,,,66,,,,False
name,诶？,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,67,诶？,え？,ジェシカ,True
character,,,,,,,,,,,,,,char_193_frostl_1,char_259_Jessica_1#3,1,,,,,,,,,,,,68,,,,False
name,......雪怪们来了。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,69,......雪怪们来了。,……イエティたちが来た。,フロストリーフ,True
character,,,,,,,,,,,,,,char_193_frostl_1,char_259_Jessica_1#5,2,,,,,,,,,,,,70,,,,False
name,等......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,71,等......,ま、待って……,ジェシカ,True
name,好、好冷......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,72,好、好冷......,さ、寒い……,ジェシカ,True
character,,,,,,,,,,,,,,char_193_frostl_1,char_259_Jessica_1#5,1,,,,,,,,,,,,73,,,,False
name,................走。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,74,................走。,…………行こう。,フロストリーフ,True
name,立刻。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,75,立刻。,今すぐに。,フロストリーフ,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,76,,,,False
name,......杰西卡。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,77,......杰西卡。,……ジェシカ。,メテオ,True
name,她说得对。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,78,她说得对。,彼女の言う通りだ。,メテオ,True
name,我们快走......！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,79,我们快走......！,早く行こう……！,メテオ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,80,,,,False
name,阿米娅，听得见吗。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,81,阿米娅，听得见吗。,アーミヤ、聞こえるか？,フロストリーフ,True
name,喂，喂。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,82,喂，喂。,もしもし。,フロストリーフ,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,83,,,,False
name,快走！我掩护你们！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,84,快走！我掩护你们！,早く行け！私が援護する！,メテオ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,85,,,,False
name,听好，阿米娅。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,86,听好，阿米娅。,よく聞け、アーミヤ。,フロストリーフ,True
name,——不要来。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,87,——不要来。,——来るな。,フロストリーフ,True
name,这个废城分城是——,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,88,这个废城分城是——,この廃都市区は——,フロストリーフ,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,89,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,,,,,true,90,,,,False
