command,text_orig,key,is_skippable,fit_mode,screenadapt,image,fadetime,block,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,a,r,g,b,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,options,values,references,option_number,index,text,jp_text,jp_name,text_match
name,你还在催化他们的感染？,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,你还在催化他们的感染？,君はまだ彼らの感染を促進しているのか？,ファウスト,True
name,梅菲斯特......停手吧。我们能活下去的。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,梅菲斯特......停手吧。我们能活下去的。,メフィスト……もうやめろ。僕たちは生き延びられる。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#3,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
name,只有我的法术能做到这种事情，也只有这样，我们才有可能逃出去！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,只有我的法术能做到这种事情，也只有这样，我们才有可能逃出去！,僕の術だけがこういうことができるんだ。そしてこうするしか、僕たちが脱出する道はない！,メフィスト,True
name,你在侦察的时候也看得很清楚了吧，如果我们以现在的状态强行突破，近卫局在我们抵达贫民区的秘密通道之前，就能把我们全杀掉！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,你在侦察的时候也看得很清楚了吧，如果我们以现在的状态强行突破，近卫局在我们抵达贫民区的秘密通道之前，就能把我们全杀掉！,君も偵察の時に見ただろう？今のままで無理に突破しようとしたら、ガードが貧民街の秘密通路に着く前に僕たち全員を殺せるんだ！,メフィスト,True
name,你以前见过那些武器吗？那些连切尔诺伯格的守卫都没用过的武器！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,你以前见过那些武器吗？那些连切尔诺伯格的守卫都没用过的武器！,あんな武器、前に見たことあるか？チェルノボーグの守衛ですら使ったことのない武器だぞ！,メフィスト,True
name,他们太熟悉这座城市了，而我们只是些外来人！他们从哪里出现？又会在哪里消失？！仅凭现在这点人，我们没法与他们正面对抗！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,他们太熟悉这座城市了，而我们只是些外来人！他们从哪里出现？又会在哪里消失？！仅凭现在这点人，我们没法与他们正面对抗！,彼らはこの街にとても詳しい、でも僕たちはよそ者だ！どこから現れ、どこへ消える？！今の人数じゃ、正面からは対抗できない！,メフィスト,True
name,切尔诺伯格的乌萨斯人太弱了......龙门把我们当军队看待，可我们不是军队，我们带领着的，只是些想活下去的同胞。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,切尔诺伯格的乌萨斯人太弱了......龙门把我们当军队看待，可我们不是军队，我们带领着的，只是些想活下去的同胞。,チェルノボーグのウルサス人はあまりに弱かった……龍門は僕たちを軍隊だと思っているけど、違う。僕たちはただ生き延びたい同胞を引き連れているだけだ。,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#3,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,,,,False
name,声音轻些。我们的士气相当低落。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,声音轻些。我们的士气相当低落。,声を落とせ。今、僕たちの士気はかなり低い。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#5,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,,,,False
name,但我的牧群根本不会因为这种事情动摇！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,但我的牧群根本不会因为这种事情动摇！,でも、僕の群れはこんなことで動揺しない！,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#5,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
name,......还有刚刚和我们汇合的很多整合运动成员在。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,......还有刚刚和我们汇合的很多整合运动成员在。,……それに、さっき合流した統合運動のメンバーもたくさんいる。,ファウスト,True
name,霜星一定会来支援我们。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,霜星一定会来支援我们。,フロストノヴァは必ず援護に来てくれる。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,,,,False
name,霜星？那个霜星？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,霜星？那个霜星？,フロストノヴァ？あのフロストノヴァか？,メフィスト,True
name,呵，呵呵，她和她的雪怪，难道不是也背叛了吗？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,呵，呵呵，她和她的雪怪，难道不是也背叛了吗？,ふっ、ふふ。彼女とそのイエティたちも裏切ったんじゃないか？,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#2,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,False
name,梅菲斯特！,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,梅菲斯特！,メフィスト！,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,,,,False
name,否则凭他们的实力，有什么能拦得住他们！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,否则凭他们的实力，有什么能拦得住他们！,そうでなければ、あの実力で何が彼らを止められると言うんだ！,メフィスト,True
name,我不怪他们。哪怕是背叛，他们也只是为了生存。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,我不怪他们。哪怕是背叛，他们也只是为了生存。,僕は彼らを責めない。たとえ裏切りでも、生きるためなんだ。,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#2,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,,,,False
name,霜星不会背叛。我们不是说好了，要自己去看到真相？,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,霜星不会背叛。我们不是说好了，要自己去看到真相？,フロストノヴァは裏切らない。僕たちは自分の目で真実を見ると約束しただろ？,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,,,,False
name,是啊......大家都在为了生存而努力。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,是啊......大家都在为了生存而努力。,そうだな……皆、生きるために必死だ。,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#2,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,,,,False
name,别冲动，别被近卫局的计策冲昏头脑！,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,别冲动，别被近卫局的计策冲昏头脑！,冷静になれ、ガードの策に惑わされるな！,ファウスト,True
stopmusic,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,,,,False
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#1,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,,,,False
name,我有办法，浮士德。我可以让我的同胞们更好地活下去。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,我有办法，浮士德。我可以让我的同胞们更好地活下去。,僕には方法がある、ファウスト。仲間たちをもっと生き延びさせる方法が。,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,,,,False
name,......？你要做什么？,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,......？你要做什么？,……？何をする気だ？,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#5,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,,,,False
name,我要让近卫局看看比军队更可怕的东西。他们绝对无法想象我同胞们绽放出的花朵是什么样子。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,我要让近卫局看看比军队更可怕的东西。他们绝对无法想象我同胞们绽放出的花朵是什么样子。,ガードに軍隊より恐ろしいものを見せてやるよ。僕の同胞たちが咲かせる花がどんなものか、彼らには決して想像できない。,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#5,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,,,,False
name,梅菲斯特？！,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,梅菲斯特？！,メフィスト？！,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#5,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,,,,False
name,近卫局一定要为他们的所作所为付出代价......那个陈，一定要为伤害你付出代价！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,近卫局一定要为他们的所作所为付出代价......那个陈，一定要为伤害你付出代价！,ガードには必ず自分たちの所業の代償を払わせる……あのチェンにも、君を傷つけた代償を払わせる！,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,,,,False
name,我的同胞们，我的族裔们，响应我吧！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,我的同胞们，我的族裔们，响应我吧！,僕の同胞たちよ、僕の同族たちよ、応えてくれ！,メフィスト,True
playmusic,,$longmenbatimp_loop,,,,,,,$longmenbatimp_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,,,,False
character,,,,,,,,,,,,,,avg_npc_015,avg_npc_015,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
camerashake,,,,,,,,false,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,,,0,59,,,,False
name,......！,,,,,,,,,,,,,梅菲斯特的牧群,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,......！,……！,メフィストの群れ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,61,,,,False
name,你们的体内有着远比现在更旺盛的生命......去追索那种冲动，去散播你们的种子、你们的未来吧！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,62,你们的体内有着远比现在更旺盛的生命......去追索那种冲动，去散播你们的种子、你们的未来吧！,君たちの体には、今よりはるかに旺盛な生命がある……その衝動に従い、君たちの種と未来を広げるんだ！,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#5,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,63,,,,False
name,不，梅菲斯特！,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,64,不，梅菲斯特！,だめだ、メフィスト！,ファウスト,True
name,他们是活的人啊！,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,他们是活的人啊！,彼らは生きている人間なんだ！,ファウスト,True
camerashake,,,,,,,,false,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,,,0,66,,,,False
name,（混乱的尖叫声）,,,,,,,,,,,,,梅菲斯特的牧群,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67,（混乱的尖叫声）,（混乱した叫び声）,メフィストの群れ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68,,,,False
name,整个龙门都是你们的土壤！去啊，去把你们的生命传递给其他人！快去，快去，快去！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,69,整个龙门都是你们的土壤！去啊，去把你们的生命传递给其他人！快去，快去，快去！,龍門全体がお前たちの土壌だ！さあ、命を他の者に伝えに行け！行け、行け、行け！,メフィスト,True
blocker,,,,,,,1,true,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,0,70,,,,False
blocker,,,,,,,0.02,true,,,,,,,,,,,,,,,0.7,1,0,0,,,,,,,,,,,,,,,,0,71,,,,False
image,,,,,,avg_6_7,,,,,,,,,,,,,,,,,,,,,0,0,1.1,"1.1,",,,,,,,,,,,,0,72,,,,False
imagetween,,,,,,,,true,,,,,,,,,0.01,,,,,,,,,,,,,,0,0,30,30,1,1,1.8,1.8,,,,0,73,,,,False
blocker,,,,,,,0.1,true,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,,,,,,,,,0,74,,,,False
camerashake,,,,,,,,false,,,,,,,,,1,8,6,30,90,true,,,,,,,,,,,,,,,,,,,,0,75,,,,False
image,,,,,,avg_6_7,,,,,,,,,,,,,,,,,,,,,0,0,1.1,"1.1,",,,,,,,,,,,,0,76,,,,False
imagetween,,,,,,,,true,,,,,,,,,0.01,,,,,,,,,,,,,,0,0,-30,-80,1,1,1.2,1.2,,,,0,77,,,,False
camerashake,,,,,,,,false,,,,,,,,,1,8,6,30,90,true,,,,,,,,,,,,,,,,,,,,0,78,,,,False
blocker,,,,,,,0.02,true,,,,,,,,,,,,,,,0.7,1,0,0,,,,,,,,,,,,,,,,0,79,,,,False
blocker,,,,,,,0.25,true,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,,,,,,,,,0,80,,,,False
image,,,,,,avg_6_7,,,,,,,,,,,,,,,,,,,,,0,0,1.1,"1.1,",,,,,,,,,,,,0,81,,,,False
imagetween,,,,,,,,true,,,,,,,,,0.01,,,,,,,,,,,,,,0,0,90,-30,1,1,1.2,1.2,,,,0,82,,,,False
camerashake,,,,,,,,false,,,,,,,,,1,8,6,30,90,true,,,,,,,,,,,,,,,,,,,,0,83,,,,False
blocker,,,,,,,0.02,true,,,,,,,,,,,,,,,0.7,1,0,0,,,,,,,,,,,,,,,,0,84,,,,False
blocker,,,,,,,0.25,true,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,,,,,,,,,0,85,,,,False
image,,,,,,avg_6_7,0,,,,,,,,,,,,,,,,,,,,0,0,1.1,1.1,,,,,,,,,,,,0,86,,,,False
blocker,,,,,,,1,false,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,87,,,,False
imagetween,,,,,,,,false,,,,,,,,,15,,,,,,,,,,,,,,,,,,1.1,1.1,1,1,,,,0,88,,,,False
name,啊？啊？！怎么回事？,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,89,啊？啊？！怎么回事？,あれ？あれ？！どうなってる？,統合運動のメンバー,True
camerashake,,,,,,,,false,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,,,0,90,,,,False
name,你，你要干嘛？我们和你不是一个小队的！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91,你，你要干嘛？我们和你不是一个小队的！,な、何する気だ？俺たちはお前と同じ隊じゃない！,統合運動のメンバー,True
name,......我没在背后说过你们什么！也没说梅菲斯特......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,92,......我没在背后说过你们什么！也没说梅菲斯特......,……俺はお前らのこと何も言ってない！メフィストのことも……,統合運動のメンバー,True
name,队长？队长呢？！队长！！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,93,队长？队长呢？！队长！！,隊長？隊長どこだ？！隊長！！,統合運動のメンバー,True
camerashake,,,,,,,,false,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,,,0,94,,,,False
name,啊！！怎，怎么，你怎么咬我！！为什么......呃呃呃！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,95,啊！！怎，怎么，你怎么咬我！！为什么......呃呃呃！,あっ！！な、なんで、お前なんで噛むんだ！！どうして……う、ううっ！,統合運動のメンバー,True
name,救命！！救命！！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,救命！！救命！！,助けて！！助けて！！,統合運動のメンバー,True
camerashake,,,,,,,,false,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,,,0,97,,,,False
name,啊啊啊啊，啊！！！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,啊啊啊啊，啊！！！,あああああ、ああ！！！,統合運動のメンバー,True
camerashake,,,,,,,,false,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,,,0,99,,,,False
blocker,,,,,,,0.6,true,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,0,100,,,,False
image,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,101,,,,False
blocker,,,,,,,0.6,false,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,102,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,103,,,,False
name,哼哼......,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,104,哼哼......,ふふ……,メフィスト,True
name,他们比以前更强了。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,105,他们比以前更强了。,彼らは前より強くなった。,メフィスト,True
name,虽然他们已经听不见我的声音了，但他们不会再攻击我们......他们会越来越壮、越来越强、越来越多。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,106,虽然他们已经听不见我的声音了，但他们不会再攻击我们......他们会越来越壮、越来越强、越来越多。,もう彼らには僕の声は届かないが、僕たちを襲うことはない……どんどん強く、大きく、増えていく。,メフィスト,True
name,龙门会被它们彻底毁灭。哼，我的同胞们得不到龙门，龙门人也别想继续保留这座城市！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,107,龙门会被它们彻底毁灭。哼，我的同胞们得不到龙门，龙门人也别想继续保留这座城市！,龍門はあいつらに完全に滅ぼされるさ。ふん、僕ら同胞が龍門を手に入れられないなら、龍門の人間にもこの街を持たせはしない！,メフィスト,True
name,浮士德，走吧，我们......,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,108,浮士德，走吧，我们......,ファウスト、行こう、僕たちは……,メフィスト,True
name,浮士德？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,109,浮士德？,ファウスト？,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,110,,,,False
name,......,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,111,......,……,ファウスト,True
name,你做了什么？,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,112,你做了什么？,何をしたんだ？,ファウスト,True
name,......,,,,,,,,,,,,,牧群,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,113,......,……,群れ,True
name,（痛苦的嘶嚎）,,,,,,,,,,,,,牧群,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,114,（痛苦的嘶嚎）,（苦しそうな咆哮）,群れ,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,,,,False
playsound,,$rungeneral,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,117,,,,False
character,,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,118,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,119,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,120,,,,False
name,浮士德？你去哪！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,121,浮士德？你去哪！,ファウスト？どこへ行く！,メフィスト,True
name,浮士德！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,122,浮士德！,ファウスト！,メフィスト,True
blocker,,,,,,,1,true,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,0,123,,,,False
background,,,,,coverall,bg_uptown_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,124,,,,False
blocker,,,,,,,1,true,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,0,125,,,,False
character,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,126,,,,False
name,为什么梅菲斯特的手下在攻击我们？！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,127,为什么梅菲斯特的手下在攻击我们？！,なんでメフィストの手下が俺たちを襲ってるんだ？！,統合運動のメンバー,True
name,我好像看到......糟糕，糟糕，刚才被他们拖走的伊万......我看到了！伊万好像也变成那种样子了！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,128,我好像看到......糟糕，糟糕，刚才被他们拖走的伊万......我看到了！伊万好像也变成那种样子了！,見た気がする……まずい、まずいぞ、さっき連れて行かれたイワン……見た！イワンもあの姿になったみたいだ！,統合運動のメンバー,True
name,苏卡，什么怪物......这是什么怪物！！打了他们也不会痛，刺了也不会死！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,129,苏卡，什么怪物......这是什么怪物！！打了他们也不会痛，刺了也不会死！,クソッ、何の化け物……何なんだこいつら！！殴っても痛がらねぇし、刺しても死なねぇ！,統合運動のメンバー,True
name,他们比刚才狂躁了好几倍！我们已经有点打不过了！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,130,他们比刚才狂躁了好几倍！我们已经有点打不过了！,さっきより何倍も暴れてる！もうこっちじゃ抑えきれねぇ！,統合運動のメンバー,True
playsound,,$rungeneral,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,131,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,132,,,,False
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,133,,,,False
name,你们，跟我来！,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,134,你们，跟我来！,君たち、こっちだ！,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1002_nsabr_2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,135,,,,False
name,浮士德？！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,浮士德？！,ファウスト？！,統合運動のメンバー,True
character,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,137,,,,False
name,别去，可能是梅菲斯特的陷阱！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,138,别去，可能是梅菲斯特的陷阱！,行くな、メフィストの罠かもしれない！,統合運動のメンバー,True
character,,,,,,,,,,,,,,char_1002_nsabr_1,char_1002_nsabr_2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,139,,,,False
name,......这小子救过我的命。,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,140,......这小子救过我的命。,……あいつは俺の命を救ってくれたことがある。,統合運動のメンバー,True
