command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,image,fadetime,screenadapt,time,name,a,r,g,b,block,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,width,height,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,15,,,,False
name,先生。,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,16,先生。,先生。,アーミヤ,True
name,——小女孩？,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,17,——小女孩？,——少女か？,ウルサス軍警隊長,True
name,你......感染者？,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,18,你......感染者？,お前……感染者か？,ウルサス軍警隊長,True
name,别动！放下武器！,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,19,别动！放下武器！,動くな！武器を捨てろ！,ウルサス軍警隊長,True
blocker,,,,,,,,,,0.3,,,,1,0,0,0,true,,,,,,,,,,,,,,,,20,,,,False
blocker,,,,,,,,,,0.3,,,,0,,,,true,,,,,,,,,,,,,,,,21,,,,False
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,22,,,,False
name,（做好防护准备，一旦对方有敌对倾向......）,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,23,（做好防护准备，一旦对方有敌对倾向......）,（防御の準備を。もし相手が敵対的なら……）,ドーベルマン,True
blocker,,,,,,,,,,4,,,,0.3,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,24,,,,False
name,（烟雾？从哪里......）,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,25,（烟雾？从哪里......）,（煙？どこから……）,ドーベルマン,True
playmusic,,$calamity_loop,,,$calamity_intro,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,False
blocker,,,,,,,,,,0.3,,,,1,0,0,0,true,,,,,,,,,,,,,,,,27,,,,False
blocker,,,,,,,,,,0.3,,,,0.3,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,28,,,,False
character,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,29,,,,False
name,先生，对我们抱有敌意的人究竟是谁，你应该很清楚！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,30,先生，对我们抱有敌意的人究竟是谁，你应该很清楚！,先生、私たちに敵意を持っている者が誰か、あなたはよく分かっているはずです！,アーミヤ,True
name,杜宾！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,31,杜宾！,ドーベルマン！,アーミヤ,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,32,,,,False
name,重装干员！敌袭！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,33,重装干员！敌袭！,重装オペレーター！敵襲だ！,ドーベルマン,True
name,什，什么？！,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,34,什，什么？！,な、何だ？！,ウルサス軍警隊長,True
character,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
dialog,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,36,,,,False
playsound,,$d_sp_ballista,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,False
blocker,,,,,,,,,,0.1,,,,1,100,100,100,true,,,,,,,,,,,,,,,,38,,,,False
blocker,,,,,,,,,,0.3,,,,0.3,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,39,,,,False
delay,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,40,,,,False
character,,,,,,,,,,0.5,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,41,,,,False
name,......,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,42,......,......,？？？,True
character,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,43,,,,False
name,......整合运动。,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,44,......整合运动。,……レユニオン。,アーミヤ,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,45,,,,False
name,阿米娅，小心......,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,46,阿米娅，小心......,アーミヤ、気をつけて……,ドーベルマン,True
name,她和那些普通的感染者暴徒，不是一回事！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,47,她和那些普通的感染者暴徒，不是一回事！,彼女は普通の感染者の暴徒とは違う！,ドーベルマン,True
blocker,,,,,,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,48,,,,False
character,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,49,,,,False
background,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,50,,,,False
blocker,,,,,,,,,,0.3,,,,0.3,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,51,,,,False
image,,,,,,,,,avg_1_1,1,,,,,,,,,0,-50,1.2,1.2,,,,,,,,,,,,52,,,,False
imagetween,,,,,,,,,,,,,,,,,,false,,,,,0,-50,0,0,1.2,1.2,1,1,10,,,53,,,,False
name,哼，逃跑......,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,54,哼，逃跑......,ふん、逃げるか……,？？？,True
name,又能逃到哪里？,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,55,又能逃到哪里？,どこまで逃げられる？,？？？,True
name,去，撕碎他们。,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,56,去，撕碎他们。,行け、奴らを引き裂け。,？？？,True
name,——————,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,57,——————,——————,レユニオンメンバー,True
blocker,,,,,,,,,,4,,,,1,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,58,,,,False
background,,,,,,,,,bg_cher_1,,coverall,,,,,,,,,,,,,,,,,,,,,1,1,59,,,,False
blocker,,,,,,,,,,0.3,,,,0.3,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,60,,,,False
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,61,,,,False
name,就连手下的整合运动成员也是一副训练有素的样子......,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,62,就连手下的整合运动成员也是一副训练有素的样子......,部下のレユニオンメンバーまで訓練された様子だ……,ドーベルマン,True
name,难道是，整合运动的头目吗？,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,63,难道是，整合运动的头目吗？,まさか、レユニオンのリーダーか？,ドーベルマン,True
character,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,64,,,,False
name,雾气越来越浓了......想借助雾气发动奇袭吗？,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,65,雾气越来越浓了......想借助雾气发动奇袭吗？,霧がどんどん濃くなってきた……奇襲を仕掛けるつもりなの？,アーミヤ,True
name,军警先生，我们必须立刻撤离这个区域！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,66,军警先生，我们必须立刻撤离这个区域！,警備隊長、今すぐこの区域から撤退しなければなりません！,アーミヤ,True
name,如果让他们封锁了我们的退路，我们就......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,67,如果让他们封锁了我们的退路，我们就......,もし彼らに退路を封鎖されたら、私たちは……,アーミヤ,True
name,——,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,68,——,——,ウルサス軍警隊長,True
name,你们这些感染者，都给我滚。,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,69,你们这些感染者，都给我滚。,お前たち感染者は、さっさと消えろ。,ウルサス軍警隊長,True
character,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,70,,,,False
name,......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,71,......,......,アーミヤ,True
name,我得到的命令是防卫这条大街。,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,72,我得到的命令是防卫这条大街。,私の命令はこの通りを守ることだ。,ウルサス軍警隊長,True
name,感染兔子，我不管你们来这里有什么目的，想干什么。,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,73,感染兔子，我不管你们来这里有什么目的，想干什么。,感染したウサギよ、お前たちの目的も、やりたいことも関係ない。,ウルサス軍警隊長,True
name,如果你们是来破坏我们的城市的，自然会有人惩罚你们。乌萨斯的愤怒是无休止的。,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,74,如果你们是来破坏我们的城市的，自然会有人惩罚你们。乌萨斯的愤怒是无休止的。,もしお前たちが私たちの都市を破壊しに来たのなら、罰せられるだけだ。ウルサスの怒りは止まらない。,ウルサス軍警隊長,True
name,如果不是，那这里发生的事情，和你没有关系。,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,75,如果不是，那这里发生的事情，和你没有关系。,もしそうでないなら、ここで起きていることはお前には関係ない。,ウルサス軍警隊長,True
character,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,76,,,,False
name,——我知道了。,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,77,——我知道了。,——分かりました。,アーミヤ,True
name,每个乌萨斯人都知道，不把背脊朝向敌人。,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,78,每个乌萨斯人都知道，不把背脊朝向敌人。,ウルサス人なら誰でも知っている、敵に背を向けないと。,ウルサス軍警隊長,True
name,快滚！我们没空理你们。,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,79,快滚！我们没空理你们。,さっさと行け！こっちにはかまっている暇はない。,ウルサス軍警隊長,True
character,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,80,,,,False
name,——,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,81,——,——,アーミヤ,True
name,谢谢。,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,82,谢谢。,ありがとう。,アーミヤ,True
character,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,83,,,,False
name,杜宾！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,84,杜宾！,ドーベルマン！,アーミヤ,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,85,,,,False
name,走！去第一汇合点！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,86,走！去第一汇合点！,行くぞ！第一合流地点に向かえ！,ドーベルマン,True
name,各小队！动作要快！快！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,87,各小队！动作要快！快！,各小隊！素早く動け！早く！,ドーベルマン,True
blocker,,,,,,,,,,0.6,,,,1,0,0,0,true,,,,,,,,,,,,,,,,88,,,,False
blocker,,,,,,,,,,0.3,,,,0.3,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,89,,,,False
character,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,90,,,,False
name,......,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,91,......,......,？？？,True
name,来啊！感染者混球！,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,92,来啊！感染者混球！,来いよ！感染者のクズども！,ウルサス軍警隊長,True
name,你们就这点本事吗？只会站在那里看着吗？,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,93,你们就这点本事吗？只会站在那里看着吗？,お前たちはそれだけか？ただ突っ立って見てるだけか？,ウルサス軍警隊長,True
character,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,94,,,,False
name,切尔诺伯格人......,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,95,切尔诺伯格人......,チェルノボーグの奴ら……,？？？,True
name,该死。,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,96,该死。,くそっ。,？？？,True
delay,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,97,,,,False
blocker,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,98,,,,False
