command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,a,r,g,b,block,image,fadetime,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,name,name2,focus,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,initr,index,text,jp_text,jp_name,text_match
name,......能......,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,22,......能......,……できれば……,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,23,,,,False
name,——,,,,,,,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,24,——,——,エース,True
name,来了。,,,,,,,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,25,来了。,来た。,エース,True
character,,,,,,,,,,,,,,,,,,,,,,,char_014_riope,char_013_riop,2,,,,,,,,,,,,,,26,,,,False
name,什么来了？,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,27,什么来了？,何が来たんだ？,近衛オペレーター,True
name,整合运动？他们追上来了？！,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,28,整合运动？他们追上来了？！,統合運動か？追いついてきたのか？！,近衛オペレーター,True
character,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,29,,,,False
playsound,,$d_gen_soldiersrun,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,False
character,,,,,,,,,,,,,,,1,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,31,,,,False
delay,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,32,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,,33,,,,False
name,啊......,,,,,,,,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,34,啊......,ああ……,医療オペレーター,True
name,那么多的......整合运动......,,,,,,,,,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,35,那么多的......整合运动......,こんなにも多くの……統合運動……,医療オペレーター,True
character,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,36,,,,False
playsound,,$d_gen_soldiersrun,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,False
delay,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,38,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,39,,,,False
name,他们......不是追上来了。,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,40,他们......不是追上来了。,彼ら……追いついてきたわけじゃない。,ドーベルマン,True
name,他们是......,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,41,他们是......,彼らは……,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,42,,,,False
name,——从各个地方涌了出来。,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,43,——从各个地方涌了出来。,——各地から次々と現れてきた。,ニアール,True
character,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,44,,,,False
playsound,,$d_gen_soldiersrun,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,False
character,,,,,,,,,,,,,,,1,,,,,,,,char_1002_nsabr_2,char_1002_nsabr_2,,,,,,,,,,,,,,,46,,,,False
delay,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,47,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,48,,,,False
name,广场，坡道，建筑......四处的废墟。,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,49,广场，坡道，建筑......四处的废墟。,広場、坂道、建物……あちこちの廃墟。,ドーベルマン,True
name,这个数量，呵......,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,50,这个数量，呵......,この数……フッ……,ドーベルマン,True
name,难怪除了那些真的要被砸成泥浆的人以外，他们一点都不惧怕天灾。,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,51,难怪除了那些真的要被砸成泥浆的人以外，他们一点都不惧怕天灾。,本当に泥にされる人以外は、天災を全く恐れていないのも無理はない。,ドーベルマン,True
name,哪怕天灾，说多些.......,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,52,哪怕天灾，说多些.......,たとえ天災が、もっと激しくても……,ドーベルマン,True
name,已经消灭了他们一半人——,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,53,已经消灭了他们一半人——,すでに半分を消し去ったとしても——,ドーベルマン,True
name,剩下的也够把我们在这里淹死十几次了。,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,54,剩下的也够把我们在这里淹死十几次了。,残りだけでも、私たちをここで何度も圧倒するのに十分だ。,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,55,,,,False
name,——,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,56,——,——,ニアール,True
name,别停下脚步！继续顺着撤退路线行动！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,57,别停下脚步！继续顺着撤退路线行动！,足を止めるな！撤退ルートに沿って行動を続けろ！,ニアール,True
name,在开阔地带停下等于找死！至少到达广场出口处之后再整顿队形！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,58,在开阔地带停下等于找死！至少到达广场出口处之后再整顿队形！,開けた場所で止まるのは死ぬのと同じだ！せめて広場の出口に着いてから隊形を整えろ！,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_002_amiya_1#7,2,,,,,,,,,,,,,,59,,,,False
name,临光......,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,60,临光......,ニアール……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_002_amiya_1#7,1,,,,,,,,,,,,,,61,,,,False
name,必须战斗。破开突围口以后，趁对方队伍混乱立刻脱离。,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,62,必须战斗。破开突围口以后，趁对方队伍混乱立刻脱离。,戦わなければならない。突破口を作った後、敵が混乱している間にすぐ離脱する。,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_002_amiya_1#7,2,,,,,,,,,,,,,,63,,,,False
name,能行吗？,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,64,能行吗？,大丈夫かな？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_002_amiya_1#7,1,,,,,,,,,,,,,,65,,,,False
name,希望渺茫，但我们没有别的办法。只是......,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,66,希望渺茫，但我们没有别的办法。只是......,希望は薄いが、他に道はない。ただ……,ニアール,True
name,即使是数十倍于自己数量的敌人，如果只是些暴徒，罗德岛依然有机会！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,67,即使是数十倍于自己数量的敌人，如果只是些暴徒，罗德岛依然有机会！,たとえ数十倍の敵でも、ただの暴徒ならロドスにはまだチャンスがある！,ニアール,True
name,无需惊慌！备战姿态！防御阵形！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,68,无需惊慌！备战姿态！防御阵形！,慌てるな！戦闘準備！防御陣形を！,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,69,,,,False
name,......啧。,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,70,......啧。,……ちっ。,ドーベルマン,True
name,这样的数量，如果要拿下切尔诺伯格，也许......真的有可能。,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,71,这样的数量，如果要拿下切尔诺伯格，也许......真的有可能。,この数なら、チェルノボーグを落とすことも……本当に可能かもしれない。,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,72,,,,False
name,太多了。,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,73,太多了。,多すぎる。,ニアール,True
name,实在......太多了。,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,74,实在......太多了。,本当に……多すぎる。,ニアール,True
name,整合运动究竟......是从哪里纠集起这么多感染者的？,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,75,整合运动究竟......是从哪里纠集起这么多感染者的？,統合運動はいったい……どこからこれほど多くの感染者を集めてきたのか？,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,76,,,,False
name,这种包围网......,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,77,这种包围网......,この包囲網……,ドーベルマン,True
name,整合运动是真的，很看得起我们啊。,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,78,整合运动是真的，很看得起我们啊。,統合運動は本当に、私たちを高く評価しているんだな。,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,79,,,,False
name,大，大群整合运动敌人......包围了广场！,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,80,大，大群整合运动敌人......包围了广场！,お、大群の統合運動の敵が……広場を包囲した！,近衛オペレーター,True
name,敌人停止了行动！,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,81,敌人停止了行动！,敵が動きを止めた！,近衛オペレーター,True
name,......,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,82,......,……,近衛オペレーター,True
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,83,,,,False
name,啊......,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,84,啊......,ああ……,アーミヤ,True
playmusic,,$calamity_loop,,,$calamity_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,False
character,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,86,,,,False
playsound,,$d_gen_walk_n,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,False
character,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,88,,,,False
blocker,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,False
background,,,,,,,,,,,,,,bg_cher_7,0,,,,,,,,,,,,,,,,,,,,,,,,90,,,,False
blocker,,,,,,,,,0,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,False
character,,,,,,,,,,,,,true,,1,,,,,,,,char_011_talula_1#2,,,,,,,,,,,,,,,,93,,,,False
delay,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,94,,,,False
character,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,95,,,,False
blocker,,,,,,,,,1,0,0,0,true,,1,,,,,,,,,,,,,,,,,,,,,,,,96,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,97,,,,False
name,有敌人一名，正在靠近罗德岛的阵线！,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,98,有敌人一名，正在靠近罗德岛的阵线！,敵が一名、ロドスの陣地に近づいてきている！,近衛オペレーター,True
name,为什么，那个人会一个人，走向我们......,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,99,为什么，那个人会一个人，走向我们......,なぜ、あの人は一人で、こちらに来るんだ……,近衛オペレーター,True
name,难道敌人派出了使者？不可能......,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,100,难道敌人派出了使者？不可能......,敵が使者を送り込んできた？まさか……,近衛オペレーター,True
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,False
blocker,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,False
blocker,,,,,,,,,0,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,104,,,,False
name,她......,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,105,她......,彼女……,アーミヤ,True
name,她......她是资料上，整合运动的......,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,106,她......她是资料上，整合运动的......,彼女……彼女は資料に載っていた、統合運動の……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,107,,,,False
name,——,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,108,——,——,ニアール,True
name,她身上，有某种气味。,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,109,她身上，有某种气味。,彼女の体から、何か臭いがする。,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_130_doberm_ex,2,,,,,,,,,,,,,,110,,,,False
name,......临光......,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,111,......临光......,……ニアール……,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_130_doberm_ex,1,,,,,,,,,,,,,,112,,,,False
name,我不清楚，但是......,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,113,我不清楚，但是......,よくわからないが……,ニアール,True
blocker,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,False
background,,,,,,,,,,,,,,bg_cher_7,0,,,,,,,,,,,,,,,,,,,,,,,,115,,,,False
dialog,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,116,,,,False
blocker,,,,,,,,,0,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,False
playsound,,$d_gen_walk_n,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,False
character,,,,,,,,,,,,,,,2,,,,,,,,char_011_talula_1#2,,,,,,,,,,,,,,,,119,,,,False
background,,,,,,,,,,,,,,bg_cher_7,1,,,,,,,,,,,0,0,1.1,1.1,,,,,,,,,,120,,,,False
backgroundtween,,,,,,,,,,,,,true,,,,4,,,,,,,,,,,,,0,0,0,0,1.1,1.1,1,1,,121,,,,False
blocker,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,False
background,,,,,,,,,,,,,,bg_cher_7,0,,,,,,,,,,,,,,,,,,,,,,,,123,,,,False
blocker,,,,,,,,,0,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,125,,,,False
name,那是......钢铁和硫磺的味道。,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,126,那是......钢铁和硫磺的味道。,それは……鋼鉄と硫黄の匂いだ。,ニアール,True
name,有什么东西在焚烧。,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,127,有什么东西在焚烧。,何かが燃えている。,ニアール,True
name,如果是火焰的话......,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,128,如果是火焰的话......,もし炎なら……,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,129,,,,False
name,罗德岛的各位干员......最高警戒状态。,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,130,罗德岛的各位干员......最高警戒状态。,ロドスの皆さん……最大警戒態勢を。,アーミヤ,True
name,......她就是......,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,131,......她就是......,……彼女が……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,132,,,,False
name,整合运动的暴君......,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,133,整合运动的暴君......,統合運動の暴君……,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,134,,,,False
name,......塔露拉。,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,135,......塔露拉。,……タルラ。,アーミヤ,True
playsound,,$d_gen_thunders_amb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,False
camerashake,,,,,,,,,,,,,false,,,,1,5,3,30,90,,,,,,,,,,,,,,,,,,137,,,,False
stopmusic,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,138,,,,False
blocker,,,,,,,,,1,0,0,0,true,,1,,,,,,,,,,,,,,,,,,,,,,,2,139,,,,False
blocker,,,,,,,,,1,1,1,1,true,,0.3,,,,,,,,,,,,,,,,,,,,,,,2,140,,,,False
blocker,,,,,,,,,0,,,,false,,0.3,,,,,,,,,,,,,,,,,,,,,,,,141,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,,,,,,,,142,,,,False
name,......,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,143,......,……,タルラ,True
name,............,,,,,,,,,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,,144,............,…………,タルラ,True
blocker,,,,,,,,,1,0,0,0,true,,1,,,,,,,,,,,,,,,,,,,,,,,2,145,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,146,,,,False
name,大概......是能烧尽整片大地的火焰吧。,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,147,大概......是能烧尽整片大地的火焰吧。,おそらく……大地をすべて焼き尽くせる炎だろう。,ニアール,True
delay,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,148,,,,False
blocker,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,False
