command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,index,text,jp_text,jp_name,text_match
blocker,,,,,,,,0.6,,,,,,,,,0,,,,false,34,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,35,,,,False
name,你们在干什么！,,,,,,,,,,,,,平民,,,,,,,,36,你们在干什么！,何をしているんだ！,民間人,True
name,......,,,,,,,,,,,,,整合运动成员,,,,,,,,37,......,……,レユニオンメンバー,True
character,,,,,,,,0,,,,,,,,,,,,,,38,,,,False
name,......啊啊！！,,,,,,,,,,,,,平民,,,,,,,,39,......啊啊！！,……ああ！！,民間人,True
character,,,,,,,,,,,,,,char_014_riope,,,,,,,,40,,,,False
name,————!,,,,,,,,,,,,,Ace,,,,,,,,41,————!,―――！,エース,True
name,平民？,,,,,,,,,,,,,Ace,,,,,,,,42,平民？,民間人か？,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_130_doberm_ex,2,,,,,,43,,,,False
name,听不到了。,,,,,,,,,,,,,杜宾,,,,,,,,44,听不到了。,聞こえなくなった。,ドーベルマン,True
name,——这个距离，没法确认身份。,,,,,,,,,,,,,杜宾,,,,,,,,45,——这个距离，没法确认身份。,――この距離じゃ、身元の確認もできないな。,ドーベルマン,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,46,,,,False
name,——！,,,,,,,,,,,,,阿米娅,,,,,,,,47,——！,――！,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,48,,,,False
name,整合运动在攻击他们——！,,,,,,,,,,,,,阿米娅,,,,,,,,49,整合运动在攻击他们——！,レユニオンが彼らを襲っています――！,アーミヤ,True
character,,,,,,,,,,,,,,char_014_riope,,,,,,,,50,,,,False
name,在这种地形没有优势。我们没有能力去顾及他人的生命安全。,,,,,,,,,,,,,Ace,,,,,,,,51,在这种地形没有优势。我们没有能力去顾及他人的生命安全。,この地形では有利にならない。俺たちには他人の命まで気にかける余裕はない。,エース,True
name,生命很宝贵，阿米娅。每个人的，都很宝贵。,,,,,,,,,,,,,Ace,,,,,,,,52,生命很宝贵，阿米娅。每个人的，都很宝贵。,命は大切だ、アーミヤ。誰の命でも、とても大切だ。,エース,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,53,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,54,......,……,アーミヤ,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,55,,,,False
name,————,,,,,,,,,,,,,杜宾,,,,,,,,56,————,――――,ドーベルマン,True
name,不管怎么样都来不及了。,,,,,,,,,,,,,杜宾,,,,,,,,57,不管怎么样都来不及了。,もうどうしようもない。,ドーベルマン,True
name,毕竟我们已经有更大的麻烦找上了门。,,,,,,,,,,,,,杜宾,,,,,,,,58,毕竟我们已经有更大的麻烦找上了门。,何しろ、もっと大きな問題がすでにやってきているのだからな。,ドーベルマン,True
character,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,59,,,,False
name,......,,,,,,,,,,,,,临光,,,,,,,,60,......,……,ニアール,True
name,不好的事情还是发生了。,,,,,,,,,,,,,临光,,,,,,,,61,不好的事情还是发生了。,良くないことが結局起きてしまった……。,ニアール,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,62,,,,False
name,————,,,,,,,,,,,,,整合运动成员,,,,,,,,63,————,――――,レユニオンメンバー,True
delay,,,,,,,,,,,,,0.5,,,,,,,,,64,,,,False
character,,,,,,,,,,,,,,char_1002_nsabr_2,char_1002_nsabr_2,,,,,,,65,,,,False
name,——————杀了他们。,,,,,,,,,,,,,整合运动成员,,,,,,,,66,——————杀了他们。,――――――殺せ。,レユニオンメンバー,True
character,,,,,,,,,,,,,,char_148_nearl_1#1,,,,,,,,67,,,,False
name,开阔区各个出口同时出现大量整合运动！,,,,,,,,,,,,,临光,,,,,,,,68,开阔区各个出口同时出现大量整合运动！,開けた区画のすべての出口に同時に大量のレユニオンが現れました！,ニアール,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,69,,,,False
name,准备作战！,,,,,,,,,,,,,杜宾,,,,,,,,70,准备作战！,戦闘準備！,ドーベルマン,True
blocker,,,,,,,,,,,,,,,,,,,,,true,71,,,,False
delay,,,,,,,,,,,,,0.6,,,,,,,,,72,,,,False
