command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,widgetID,style,fadestyle,offsetx,block,focus,options,values,references,a,r,g,b,option_number,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,0,26,,,,False
name,我......我明白。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,27,我......我明白。,わ、わかりました。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,-1,,,,,,,,0,28,,,,False
name,博士，你也明白吧？,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,29,博士，你也明白吧？,ドクター、あなたもわかっていますよね？,ケルシー,True
decision,明白,,,,,,,,,,,,,,,,,,,,,明白,1,,,,,,1,30,明白,分かりました,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,31,,,,False
name,那就好。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,32,那就好。,それならいい。,ケルシー,True
name,我也要去做一些事情了。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,33,我也要去做一些事情了。,私もやることがある。,ケルシー,True
name,阿米娅，就算博士很有用，也别太过依靠一个人。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,34,阿米娅，就算博士很有用，也别太过依靠一个人。,アーミヤ、ドクターが有能だとしても、一人だけに頼りすぎないように。,ケルシー,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,0,35,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,36,......,......,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,-1,,,,,,,,0,37,,,,False
name,还有，注意戒指。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,38,还有，注意戒指。,それと、指輪にも注意して。,ケルシー,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,0,39,,,,False
name,我知道。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,40,我知道。,わかっています。,アーミヤ,True
blocker,,,,,,,,,0.2,,,,,,,,,,,true,,,,,1,0,0,0,0,41,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,42,,,,False
blocker,,,,,,,,,0.2,,,,,,,,,,,true,,,,,0,,,,0,43,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,-1,,,,,,,,0,44,,,,False
name,其实凯尔希医生也很担心你的。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,45,其实凯尔希医生也很担心你的。,実はケルシー先生も、あなたのことを心配しています。,アーミヤ,True
name,不知不觉中——,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,46,不知不觉中——,知らぬ間に――,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,0,47,,,,False
name,危险的野兽露出他们的利爪了。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,48,危险的野兽露出他们的利爪了。,危険な獣がその爪を見せ始めました。,アーミヤ,True
decision,整合运动在我们的背后。,,,,,,,,,,,,,,,,,,,,,整合运动在我们的背后。;我们的退路......被切断了。;这些感染者暴徒，似乎对我们有些想法呢。,1;2;3,,,,,,3,49,整合运动在我们的背后。,レユニオンは私たちの背後にいます。,,True
decision,我们的退路......被切断了。,,,,,,,,,,,,,,,,,,,,,整合运动在我们的背后。;我们的退路......被切断了。;这些感染者暴徒，似乎对我们有些想法呢。,1;2;3,,,,,,3,50,我们的退路......被切断了。,私たちの退路……絶たれてしまいました。,,True
decision,这些感染者暴徒，似乎对我们有些想法呢。,,,,,,,,,,,,,,,,,,,,,整合运动在我们的背后。;我们的退路......被切断了。;这些感染者暴徒，似乎对我们有些想法呢。,1;2;3,,,,,,3,51,这些感染者暴徒，似乎对我们有些想法呢。,この感染者の暴徒たちは、私たちに何か考えがあるようです。,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,0,52,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#3,,,,,,,,,,,,,,0,53,,,,False
name,嗯......他们非常想要阻止我们撤退呢。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,54,嗯......他们非常想要阻止我们撤退呢。,うん……彼らは私たちの撤退をどうしても阻止したいみたいです。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,0,55,,,,False
name,然而，我们来到这里的目的，从来都不是逃跑。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,56,然而，我们来到这里的目的，从来都不是逃跑。,でも、私たちがここに来た目的は、決して逃げることではありません。,アーミヤ,True
name,罗德岛，冲破他们的防线。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,57,罗德岛，冲破他们的防线。,ロドス、彼らの防線を突破しましょう。,アーミヤ,True
name,让我们把陨星她们救回来！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,58,让我们把陨星她们救回来！,エクシアたちを救いましょう！,アーミヤ,True
blocker,,,,,,,,,1,,,,,,,,,,,true,,,,,1,0,0,0,0,59,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,60,,,,False
background,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,61,,,,False
name,红，听得见吗？,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,62,红，听得见吗？,レッド、聞こえる？,ケルシー,True
name,啊啊，对。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,63,啊啊，对。,ああ、そうだ。,ケルシー,True
name,没错。在贫民区东入口处会合。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,64,没错。在贫民区东入口处会合。,そうだ。スラムの東の入口で合流する。,ケルシー,True
name,嗯。就我们两个。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,65,嗯。就我们两个。,うん。私たち二人だけだ。,ケルシー,True
name,没问题的。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,66,没问题的。,問題ない。,ケルシー,True
name,对付整合运动，我们两个已经足够了。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,67,对付整合运动，我们两个已经足够了。,レユニオンに対処するには、私たち二人で十分だ。,ケルシー,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0,68,,,,False
blocker,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,0,69,,,,False
