command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,stop,name2,focus,a,r,g,b,index,text,jp_text,jp_name,text_match
name,还是算了吧——,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,38,还是算了吧——,やめておいた方がいいぞ——,ホシグマ,True
name,就凭这种......丢石块一样的伎俩？,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,39,就凭这种......丢石块一样的伎俩？,こんな……石を投げるだけの真似ごとで？,ホシグマ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,40,,,,False
name,呜啊！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,41,呜啊！,うわっ！,統合運動メンバー,True
name,这家伙......从，从哪里跳下来的！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,42,这家伙......从，从哪里跳下来的！,こいつ……どこから飛び降りてきたんだ！」,統合運動メンバー,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,char_136_hsguma,1,,,,,43,,,,False
name,欠你个人情，龙门的大个子长官。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,44,欠你个人情，龙门的大个子长官。,借りができたね、龍門の大きいお偉いさん。,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,char_136_hsguma,2,,,,,45,,,,False
name,合作愉快。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,46,合作愉快。,いい連携だったな。,ホシグマ,True
name,不过，芙兰卡，你的任务明明是佯攻。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,47,不过，芙兰卡，你的任务明明是佯攻。,でもフランカ、お前の任務は陽動だったはずだぞ。,ホシグマ,True
name,可你却......一路拼斗，甚至深入敌阵到了这里。你们的目标太明显了，真的不要紧吗？,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,48,可你却......一路拼斗，甚至深入敌阵到了这里。你们的目标太明显了，真的不要紧吗？,なのに……ずっと戦いながら、敵の中まで突っ込んできて。目立ちすぎだ、本当に大丈夫か？,ホシグマ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,char_136_hsguma,1,,,,,49,,,,False
name,没关系，都这种时候了，要相信自己的可靠搭档才行。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,50,没关系，都这种时候了，要相信自己的可靠搭档才行。,大丈夫さ、こんな時こそ信頼できる仲間を信じないとね。,フランカ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,51,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,52,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,53,,,,False
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,,,,,,,54,,,,False
name,哈，哈......,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,55,哈，哈......,はぁ、はぁ……,レイズ,True
name,芙兰卡！你冲太前面了啊！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,56,芙兰卡！你冲太前面了啊！,フランカ！前に出すぎだぞ！」,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,57,,,,False
name,你看，她跟上来啦。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,58,你看，她跟上来啦。,ほら、彼女がついてきてるよ。,フランカ,True
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,char_106_franka_1,1,,,,,59,,,,False
name,我可不擅长攻坚战啊......！为什么你会突然冲进敌人当中，搞不懂！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,60,我可不擅长攻坚战啊......！为什么你会突然冲进敌人当中，搞不懂！,私は突撃戦は苦手だって……！なんでいきなり敵の中に突っ込んでいくんだ、理解できん！,レイズ,True
character,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,61,,,,False
name,......啊？,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,62,......啊？,"……え？」},{",ホシグマ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,63,,,,False
name,混账......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,64,混账......,くそっ……,統合運動メンバー,True
name,近卫局和罗德岛，居然串通好了！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,65,近卫局和罗德岛，居然串通好了！,近衛局とロドスがグルになってたなんて！,統合運動メンバー,True
name,这样下去，我们根本不可能守住......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,66,这样下去，我们根本不可能守住......,このままだと、絶対に守りきれない……,統合運動メンバー,True
name,来不及了，必须赌一赌，大家一起上吧！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,67,来不及了，必须赌一赌，大家一起上吧！,もう間に合わない、一か八かだ、全員で行くぞ！,統合運動メンバー,True
playsound,,$d_gen_soldiersrun,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,68,,,,False
camerashake,,,,,,,,,,,,,,,1,12,18,30,90,false,,,,,,,,,69,,,,False
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,,,,,,,70,,,,False
name,敌人径直向我们冲了过来！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,71,敌人径直向我们冲了过来！,敵がまっすぐこっちに突っ込んできた！,レイズ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,72,,,,False
name,死吧！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,73,死吧！,死ね！,統合運動メンバー,True
character,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,74,,,,False
name,既然你们执意要抵抗到底，那就别怪我依法办事了——,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,75,既然你们执意要抵抗到底，那就别怪我依法办事了——,抵抗を貫くつもりなら…法に則って容赦しないぞ——,ホシグマ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,76,,,,False
name,你——,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,77,你——,お前——,統合運動メンバー,True
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,False
camerashake,,,,,,,,,,,,,,,1,12,18,30,90,false,,,,,,,,,79,,,,False
playsound,,$flashback,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,False
name,——！,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,81,——！,——！,ホシグマ,True
delay,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,82,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,83,,,,False
name,啊啊啊啊啊！！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,84,啊啊啊啊啊！！,ああああああ！！,統合運動メンバー,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,85,,,,False
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,,,,,,,86,,,,False
name,长官，你......很有力气。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,87,长官，你......很有力气。,隊長、あなた……ずいぶん力が強いですね。,レイズ,True
name,这整合运动，真的很不幸。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,88,这整合运动，真的很不幸。,この統合運動は、本当に不運だな。,レイズ,True
character,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,89,,,,False
name,敢攻击我和我的队友——,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,90,敢攻击我和我的队友——,私と仲間を攻撃するとは——,ホシグマ,True
name,可怜的家伙。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,91,可怜的家伙。,哀れなやつだ。,ホシグマ,True
name,他们应该向枉死在你们手里的人道歉。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,92,他们应该向枉死在你们手里的人道歉。,お前らの犠牲になった者たちに謝れ。,ホシグマ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,93,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,94,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,char_136_hsguma,1,,,,,95,,,,False
name,星熊督察！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,96,星熊督察！,ホシグマ督察！,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,char_136_hsguma,2,,,,,97,,,,False
name,你们也没有受伤，太好了！,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,98,你们也没有受伤，太好了！,君たちも無事でよかった！,ホシグマ,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,char_136_hsguma,1,,,,,99,,,,False
name,我们和企鹅物流击溃了敌方的侧翼，接下来，就是总攻了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,100,我们和企鹅物流击溃了敌方的侧翼，接下来，就是总攻了。,私たちとペンギン急便で敵の側面を撃破しました。次は総攻撃です。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,char_136_hsguma,2,,,,,101,,,,False
name,没问题。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,102,没问题。,問題ない。,ホシグマ,True
character,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,103,,,,False
name,看来一切进行得十分顺利。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,104,看来一切进行得十分顺利。,順調に進んでいるようだな。,テキサス,True
character,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,105,,,,False
name,接下来——可就不一定了。 敌人设置了许多障碍物，埋伏也十分隐蔽。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,106,接下来——可就不一定了。 敌人设置了许多障碍物，埋伏也十分隐蔽。,この先はどうかな。敵は障害物をたくさん設置し、待ち伏せも巧妙だ。,ホシグマ,True
name,阿米娅，做好苦战的准备。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,107,阿米娅，做好苦战的准备。,アーミヤ、苦戦を覚悟しろ。,ホシグマ,True
name,罗德岛的博士，一定要多加侦察，注意保护你自己的队伍。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,108,罗德岛的博士，一定要多加侦察，注意保护你自己的队伍。,ロドスのドクター、偵察をしっかりして、部隊を守ることを忘れるな。,ホシグマ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,109,,,,False
name,好的！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,110,好的！,はい！,アーミヤ,True
name,大家......我们一起去把米莎救出来！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,111,大家......我们一起去把米莎救出来！,みんな……一緒にミーシャを助けに行こう！,アーミヤ,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,112,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,113,,,,False
