command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,a,r,g,b,block,name2,focus,afrom,rfrom,gfrom,bfrom,index,text,jp_text,jp_name,text_match
name,没关系的。见到你们平安，我就已经非常开心了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,34,没关系的。见到你们平安，我就已经非常开心了。,大丈夫です。みんなが無事でいるのを見られて、とても嬉しいです。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,char_219_meteo_1#5,2,,,,,35,,,,False
name,阿米娅......,,,,,,,,,,,,,陨星,,,,,,,,,,,,36,阿米娅......,アーミヤ……,エクシア,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,char_219_meteo_1#5,1,,,,,37,,,,False
name,但是......杰西卡她怎么了？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,38,但是......杰西卡她怎么了？,でも……ジェシカはどうしたの？,アーミヤ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,,,,,,,39,,,,False
name,唔......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,40,唔......,うう……,ジェシカ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,char_219_meteo_1#5,2,,,,,41,,,,False
name,她有点......被吓到了。,,,,,,,,,,,,,陨星,,,,,,,,,,,,42,她有点......被吓到了。,彼女はちょっと……怯えてるんだ。,エクシア,True
name,本来是想等她振作起来，但......,,,,,,,,,,,,,陨星,,,,,,,,,,,,43,本来是想等她振作起来，但......,本当は元気になるまで待とうと思ってたけど……,エクシア,True
name,该说是留下了心理创伤......吧。,,,,,,,,,,,,,陨星,,,,,,,,,,,,44,该说是留下了心理创伤......吧。,心に傷を負ったって言うべきかな……。,エクシア,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,,,,,,,45,,,,False
name,......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,46,......,……,ジェシカ,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,47,,,,False
name,杰西卡，你还好吗？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,48,杰西卡，你还好吗？,ジェシカ、大丈夫？,アーミヤ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,,,,,,,49,,,,False
name,......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,50,......,……,ジェシカ,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,51,,,,False
name,只能......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,52,只能......,これしか……,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,53,,,,False
name,霜叶，帮个忙。把她的手放在我的胳膊上，把她手指抓紧了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,54,霜叶，帮个忙。把她的手放在我的胳膊上，把她手指抓紧了。,フロストリーフ、ちょっと頼む。彼女の手を私の腕に乗せて、指をしっかり握ってて。,アーミヤ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,55,,,,False
name,......没问题。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,56,......没问题。,……問題ないよ。,フロストリーフ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,57,,,,False
name,好。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,58,好。,よし。,アーミヤ,True
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,59,......,……,アーミヤ,True
blocker,,,,,,,,0.6,,,,,,,1,0,0,0,true,,,,,,,60,,,,False
background,,,,,,,,0,,,,,,,,,,,,,,,,,,61,,,,False
blocker,,,,,,,,0.6,,,,,,,0,,,,true,,,,,,,62,,,,False
blocker,,,,,,,,0.02,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,63,,,,False
background,,,,,bg_cher_2,,,0,,,,,,,,,,,,,,,,,,64,,,,False
blocker,,,,,,,,0.15,,,,,,,0,0.95,0.95,0.95,true,,,,,,,65,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,66,,,,False
name,——！！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,67,——！！,——！！,アーミヤ,True
blocker,,,,,,,,0.02,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,68,,,,False
background,,,,,bg_cher_0,,,0,,,,,,,,,,,,,,,,,,69,,,,False
blocker,,,,,,,,0.15,,,,,,,0,0.95,0.95,0.95,true,,,,,,,70,,,,False
blocker,,,,,,,,0.02,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,71,,,,False
background,,,,,bg_lungmen_station,,,0,,,,,,,,,,,,,,,,,,72,,,,False
blocker,,,,,,,,0.15,,,,,,,0,0.95,0.95,0.95,true,,,,,,,73,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,74,,,,False
name,呃......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,75,呃......,うっ……,アーミヤ,True
blocker,,,,,,,,0.2,,,,,,,1,0,0,0,true,,,,,,,76,,,,False
background,,,,,bg_cher_2,1,1,0,,,,,,,,,,,,,,,,,,77,,,,False
blocker,,,,,,,,0.2,,,,,,,0,,,,true,,,,,,,78,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,79,,,,False
name,阿米娅！,,,,,,,,,,,,,霜叶,,,,,,,,,,,,80,阿米娅！,アーミヤ！,フロストリーフ,True
background,,,,,,,,0.4,,,,,,,,,,,,,,,,,,81,,,,False
blocker,,,,,,,,0.1,,,,,,,1,1,1,1,true,,,0,0,0,0,82,,,,False
blocker,,,,,,,,0.1,,,,,,,1,0.7,1,1,true,,,0,0,0,0,83,,,,False
blocker,,,,,,,,0.2,,,,,,,0.8,1,0.3,0.3,true,,,1,14,0,15,84,,,,False
blocker,,,,,,,,0.3,,,,,,,0.8,0,0,0,true,,,0.8,255,96,15,85,,,,False
blocker,,,,,,,,0.3,,,,,,,1,0,0,0,true,,,0,0,0,0,86,,,,False
blocker,,,,,,,,4,,,,,,,1,1,1,1,true,,,1,0,0,0,87,,,,False
name,我没事！只是......唔......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,88,我没事！只是......唔......,私は大丈夫！ただ……うぅ……,アーミヤ,True
name,好强的......悲伤......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,89,好强的......悲伤......,こんなにも……強い悲しみ……,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,90,,,,False
blocker,,,,,,,,0.2,,,,,,,1,0,0,0,true,,,,,,,91,,,,False
blocker,,,,,,,,0.3,,,,,,,1,1,1,1,true,,,,,,,92,,,,False
blocker,,,,,,,,0.3,,,,,,,1,0.8,0.8,0.8,true,,,,,,,93,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,94,,,,False
background,,,,,bg_light,,,,,,,,,,,,,,,,,,,,,95,,,,False
blocker,,,,,,,,0.3,,,,,,,1,1,1,1,true,,,,0.8,0.8,0.8,96,,,,False
blocker,,,,,,,,0.3,,,,,,,1,1,1,1,true,,,,0.8,0.8,0.8,97,,,,False
blocker,,,,,,,,2,,,,,,,0,,,,true,,,,,,,98,,,,False
name,很模糊，但是......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,99,很模糊，但是......,すごくぼんやりしているけど……,アーミヤ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,,,,,,,100,,,,False
name,......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,101,......,……,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,,-1,,,,,102,,,,False
name,杰西卡！！,,,,,,,,,,,,,？？？,,,,,,,,,,,,103,杰西卡！！,ジェシカ！！,？？？,True
name,没问题的......,,,,,,,,,,,,,？？？,,,,,,,,,,,,104,没问题的......,大丈夫だよ……,？？？,True
name,一定要振作起来呀，杰西卡......！,,,,,,,,,,,,,？？？,,,,,,,,,,,,105,一定要振作起来呀，杰西卡......！,絶対元気出してね、ジェシカ……！,？？？,True
character,,,,,,,,,,,,,,char_259_Jessica_1#3,,,,,,,,,,,,106,,,,False
name,......？,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,107,......？,……？,ジェシカ,True
name,......阿米娅......？,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,108,......阿米娅......？,……アーミヤ……？,ジェシカ,True
blocker,,,,,,,,1,,,,,,,1,0,0,0,true,,,,,,,109,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,110,,,,False
name,——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,111,——,——,アーミヤ,True
name,是我。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,112,是我。,私だよ。,アーミヤ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,,,,,,,113,,,,False
name,阿米娅......阿米娅......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,114,阿米娅......阿米娅......,アーミヤ……アーミヤ……,ジェシカ,True
blocker,,,,,,,,1,,,,,,,0,,,,true,,,,,,,115,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#3,,,,,,,,,,,,116,,,,False
name,好了，好了......已经没事了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,117,好了，好了......已经没事了。,もう、大丈夫……全部終わったよ。,アーミヤ,True
blocker,,,,,,,,1,,,,,,,1,0,0,0,true,,,,,,,118,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,119,,,,False
background,,,,,bg_cher_2,1,1,1,,,,,,,,,,,true,,,,,,,120,,,,False
blocker,,,,,,,,1,,,,,,,0,,,,true,,,,,,,121,,,,False
character,,,,,,,,,,,,,,char_219_meteo_1#4,,,,,,,,,,,,122,,,,False
name,杰西卡......你还好吗......,,,,,,,,,,,,,陨星,,,,,,,,,,,,123,杰西卡......你还好吗......,ジェシカ……君は大丈夫か……,エクシア,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,char_002_amiya_1,1,,,,,124,,,,False
name,阿米娅......我是在......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,125,阿米娅......我是在......,アーミヤ……私は……,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,char_002_amiya_1,1,,,,,126,,,,False
name,......对不起......我没想到......我没想到......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,127,......对不起......我没想到......我没想到......,……ごめん……私は思ってもみなかった……,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,char_002_amiya_1,2,,,,,128,,,,False
name,没关系的......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,129,没关系的......,大丈夫だよ……,アーミヤ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,char_002_amiya_1,1,,,,,130,,,,False
name,那些，那些......呜......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,131,那些，那些......呜......,あれが、あれが……うぅ……,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,char_002_amiya_1,2,,,,,132,,,,False
name,我感受到了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,133,我感受到了。,私にも感じられたよ。,アーミヤ,True
name,没错，我也经历过——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,134,没错，我也经历过——,そう、私も経験したことがある——,アーミヤ,True
name,——想要逃跑，却走不动路——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,135,——想要逃跑，却走不动路——,——逃げたいのに、身体が動かない——,アーミヤ,True
name,——想要尖叫，却发不出声音——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,136,——想要尖叫，却发不出声音——,——叫びたいのに、声が出ない——,アーミヤ,True
name,我懂的，杰西卡......我也经历过。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,137,我懂的，杰西卡......我也经历过。,わかるよ、ジェシカ……私も体験したから。,アーミヤ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,char_002_amiya_1,1,,,,,138,,,,False
name,.......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,139,.......,……,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,char_002_amiya_1,2,,,,,140,,,,False
name,站起来吧，杰西卡。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,141,站起来吧，杰西卡。,立ち上がって、ジェシカ。,アーミヤ,True
name,你不用再害怕了——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,142,你不用再害怕了——,もう怖がる必要はないよ——,アーミヤ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,char_002_amiya_1#2,2,,,,,143,,,,False
name,因为你现在，和我们在一起。你不孤单，你身边永远有我们。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,144,因为你现在，和我们在一起。你不孤单，你身边永远有我们。,だって今は、私たちが一緒にいるから。君は一人じゃない、私たちがいつもそばにいる。,アーミヤ,True
name,我们还得一起回罗德岛。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,145,我们还得一起回罗德岛。,みんなでロドスに帰らなきゃ。,アーミヤ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#5,,,,,,char_002_amiya_1#3,2,,,,,146,,,,False
name,芙兰卡和雷蛇还在等你呢。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,147,芙兰卡和雷蛇还在等你呢。,フランカとレイズも君を待ってるよ。,アーミヤ,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,char_002_amiya_1#3,1,,,,,148,,,,False
name,......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,149,......,……,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1#6,,,,,,char_002_amiya_1#3,1,,,,,150,,,,False
name,......嗯！,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,151,......嗯！,……うん！,ジェシカ,True
character,,,,,,,,1,,,,,,,,,,,,,,,,,,152,,,,False
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,153,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,154,,,,False
name,......,,,,,,,,,,,,,霜叶,,,,,,,,,,,,155,......,……,フロストリーフ,True
name,阿米娅......你......刚才用了......,,,,,,,,,,,,,霜叶,,,,,,,,,,,,156,阿米娅......你......刚才用了......,アーミヤ……君……さっき使ったのって……,フロストリーフ,True
character,,,,,,,,,,,,,,char_002_amiya_1#3,,,,,,,,,,,,157,,,,False
name,可得......向凯尔希医生保密哦。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,158,可得......向凯尔希医生保密哦。,これ……ドクター・ケルシーには内緒ですよ。,アーミヤ,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,159,,,,False
blocker,,,,,,,,,,,,,,,,,,,true,,,,,,,160,,,,False
