command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,screenadapt,image,width,height,fadetime,time,name,name2,focus,a,r,g,b,block,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,initr,index,text,jp_text,jp_name,text_match
name,几乎每条街上都有暴徒在搞破坏，抢劫，焚毁交通工具和店铺......,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,26,几乎每条街上都有暴徒在搞破坏，抢劫，焚毁交通工具和店铺......,ほとんどすべての通りで暴徒が破壊、略奪、乗り物や店を焼いているよ……,医療オペレーター,True
name,这帮家伙，是觉得天气太好，所以出来野餐集会吗！,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,27,这帮家伙，是觉得天气太好，所以出来野餐集会吗！,こいつら、天気が良すぎるからピクニックにでも来てると思ってるのか！,医療オペレーター,True
character,,,,,,,,,,,,,,,char_148_nearl_1#6,,,,,,,,,,,,,,,,,,,,,,28,,,,False
name,现在跑出来野餐，一定会遭到天灾的无情摧残。,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,29,现在跑出来野餐，一定会遭到天灾的无情摧残。,今ピクニックに出たら、きっと天災に容赦なく叩き潰されるでしょうね。,ニアール,True
name,这说明大部分整合运动都是些被野蛮冲昏头脑的傻瓜。,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,30,这说明大部分整合运动都是些被野蛮冲昏头脑的傻瓜。,つまり、統合運動の大半は野蛮さで頭がいっぱいの愚か者たちってことね。,ニアール,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,char_016_medic,,,,,,,,,,,,,,,,,,,,,31,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,32,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#6,char_016_medic,1,,,,,,,,,,,,,,,,,,,,33,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,34,......,……,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#2,char_016_medic,1,,,,,,,,,,,,,,,,,,,,35,,,,False
name,......噗。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,36,......噗。,……ぷっ。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#2,char_016_medic,2,,,,,,,,,,,,,,,,,,,,37,,,,False
name,他们不是真的要......野餐啦......,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,38,他们不是真的要......野餐啦......,彼らは本当に……ピクニックがしたいわけじゃ……,医療オペレーター,True
name,我，我只是发个牢骚，不是那个意思......,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,39,我，我只是发个牢骚，不是那个意思......,わ、私はただ愚痴を言いたかっただけで、そういう意味じゃ……,医療オペレーター,True
character,,,,,,,,,,,,,,,char_148_nearl_1,,,,,,,,,,,,,,,,,,,,,,40,,,,False
name,——,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,41,——,——,ニアール,True
character,,,,,,,,,,,,,,,char_148_nearl_1#6,,,,,,,,,,,,,,,,,,,,,,42,,,,False
name,这不是个形容吗？难道说这是个包袱？,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,43,这不是个形容吗？难道说这是个包袱？,これは比喩じゃなかったの？まさかダジャレなの？,ニアール,True
character,,,,,,,,,,,,,,,char_148_nearl_1#2,,,,,,,,,,,,,,,,,,,,,,44,,,,False
name,嗯......,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,45,嗯......,うん……,ニアール,True
name,抱歉，总是在这种时候......,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,46,抱歉，总是在这种时候......,ごめんなさい、いつもこういう時に……,ニアール,True
character,,,,,,,,,,,,,,,char_148_nearl_1#2,char_016_medic,2,,,,,,,,,,,,,,,,,,,,47,,,,False
name,唔唔唔......没，没事......,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,48,唔唔唔......没，没事......,ううう……だ、大丈夫……,医療オペレーター,True
name,反而是憋笑有点难受......！,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,49,反而是憋笑有点难受......！,むしろ笑いをこらえるのがちょっと辛い……！,医療オペレーター,True
name,唔，抱歉......明明是很紧要的时期，我却......,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,50,唔，抱歉......明明是很紧要的时期，我却......,う、ごめんなさい……こんな大事な時に、私……,医療オペレーター,True
character,,,,,,,,,,,,,,,char_002_amiya_1#3 ,,,,,,,,,,,,,,,,,,,,,,51,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#1 ,,,,,,,,,,,,,,,,,,,,,,52,,,,False
name,没关系的。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,53,没关系的。,大丈夫です。,アーミヤ,True
name,我们不是为了让大家都哭丧着脸才建立起罗德岛的。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,54,我们不是为了让大家都哭丧着脸才建立起罗德岛的。,ロドスを作ったのは、みんなが悲しい顔をするためじゃありません。,アーミヤ,True
name,罗德岛，本来就希望各位，都能绽放笑容。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,55,罗德岛，本来就希望各位，都能绽放笑容。,ロドスは、皆さんに笑顔になってもらいたいと願っているのです。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#1 ,char_016_medic,2,,,,,,,,,,,,,,,,,,,,56,,,,False
name,阿，阿米娅......,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,57,阿，阿米娅......,ア、アーミヤ……,医療オペレーター,True
character,,,,,,,,,,,,,,,char_002_amiya_1#1 ,char_016_medic,1,,,,,,,,,,,,,,,,,,,,58,,,,False
name,没关系的，医生！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,59,没关系的，医生！,大丈夫ですよ、ドクター！,アーミヤ,True
character,,,,,,,,,,,,,,,char_130_doberm_ex,char_014_riope,1,,,,,,,,,,,,,,,,,,,,60,,,,False
name,那我们，就去为侦查工作贡献一份力量吧。,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,61,那我们，就去为侦查工作贡献一份力量吧。,それでは、私たちも偵察の仕事に一役買いましょう。,ドーベルマン,True
name,四点钟方向的敌人，我会安静地处理掉。,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,62,四点钟方向的敌人，我会安静地处理掉。,4時方向の敵は、私が静かに片付けます。,ドーベルマン,True
name,只要他们体内的病变器官不是什么警报器或爆炸物就行。,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,63,只要他们体内的病变器官不是什么警报器或爆炸物就行。,奴らの体にある病変組織が警報器や爆発物でなければ問題ありません。,ドーベルマン,True
character,,,,,,,,,,,,,,,char_130_doberm_ex,char_014_riope,2,,,,,,,,,,,,,,,,,,,,64,,,,False
name,另一侧，游离于据点之外的大批整合运动，就交给我们吧。,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,65,另一侧，游离于据点之外的大批整合运动，就交给我们吧。,もう片方、拠点の外にいる大量の統合運動は私たちに任せてください。,Ace,True
name,只要杂音够大，就没有人能分辨出里面究竟包含了什么声音。,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,66,只要杂音够大，就没有人能分辨出里面究竟包含了什么声音。,雑音が十分大きければ、その中で何が起こっているか誰にもわからない。,Ace,True
character,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,67,,,,False
name,那么，各自行动起来！,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,68,那么，各自行动起来！,それでは、各自行動開始！,ドーベルマン,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,69,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,70,,,,False
