command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,block,a,r,g,b,index,text,jp_text,jp_name,text_match
name,也没什么。其实，放你们离开也无所谓。毕竟刚开始，你们也不算是整合运动的目标。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,45,也没什么。其实，放你们离开也无所谓。毕竟刚开始，你们也不算是整合运动的目标。,別にどうってこともない。本当は、君たちを逃すのも構わない。そもそも最初は君たちはレユニオンの標的じゃなかったし。,メフィスト,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,46,,,,False
name,既然我们不是整合运动的目标，那为什么......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,47,既然我们不是整合运动的目标，那为什么......,私たちがレユニオンの標的じゃないのなら、どうして……,アーミヤ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,48,,,,False
name,不过，我有幸观赏了你们的战斗。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,49,不过，我有幸观赏了你们的战斗。,ただ、君たちの戦いを見られて光栄だったよ。,メフィスト,True
name,你们的作战方式和你们的人员配置，很有趣哦。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,50,你们的作战方式和你们的人员配置，很有趣哦。,君たちの戦術や配員、とても面白いね。,メフィスト,True
character,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,51,,,,False
name,......有趣？,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,52,......有趣？,……面白い？,医療オペレーター,True
name,说战场的厮杀......有趣？,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,53,说战场的厮杀......有趣？,戦場での殺し合いを……面白いだと？,医療オペレーター,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,54,,,,False
name,罗德岛......我看过你们的资料。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,55,罗德岛......我看过你们的资料。,ロドス……君たちのデータは見させてもらったよ。,メフィスト,True
name,原本，我只把你们当作是普通企业。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,56,原本，我只把你们当作是普通企业。,最初は、君たちをただの普通の企業だと思っていた。,メフィスト,True
name,现在看来，你们所涉猎的，可远远超出了摆弄试管的范畴哦？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,57,现在看来，你们所涉猎的，可远远超出了摆弄试管的范畴哦？,今となっては、君たちは試験管をいじるだけの連中ではないようだな？,メフィスト,True
name,要是让你们轻轻松松地离开，就没什么意思了吧？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,58,要是让你们轻轻松松地离开，就没什么意思了吧？,君たちを簡単に帰したら、きっと面白くないだろうね？,メフィスト,True
name,我想和各位，来一场祭祀式的竞赛。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,59,我想和各位，来一场祭祀式的竞赛。,皆さんと、一つの儀式のような競争をしたいんだ。,メフィスト,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,60,,,,False
name,......我们没工夫和心智不全的小孩子浪费时间。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,61,......我们没工夫和心智不全的小孩子浪费时间。,……私たちは精神の未熟な子供と暇つぶししている暇はない。,ドーベルマン,True
name,（阿米娅，准备好，我们可能要强行突围了。）,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,62,（阿米娅，准备好，我们可能要强行突围了。）,（アーミヤ、準備して、私たちこれから強行突破するかもしれない。）,ドーベルマン,True
name,（我来吸引他的注意力......！）,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,63,（我来吸引他的注意力......！）,（私がやつの注意を引く……！）,ドーベルマン,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,64,,,,False
name,（啊，嗯！）,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,65,（啊，嗯！）,（あ、うん！）,アーミヤ,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,66,,,,False
playsound,,$d_gen_signalbomb,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,False
camerashake,,,,,,,,,,,,,,,,,0.6,5,8,30,90,true,,,,,68,,,,False
blocker,,,,,,,,0,,,,,,,,,,,,,,true,0.7,0.95,0.95,0.95,69,,,,False
blocker,,,,,,,,0.3,,,,,,,,,,,,,,true,0,0.95,0.95,0.95,70,,,,False
delay,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,71,,,,False
blocker,,,,,,,,0,,,,,,,,,,,,,,true,0.7,0.95,0.95,0.95,72,,,,False
blocker,,,,,,,,1,,,,,,,,,,,,,,true,0,0.95,0.95,0.95,73,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,74,,,,False
name,......刚刚那是什么？你是向谁，打了什么信号吗？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,75,......刚刚那是什么？你是向谁，打了什么信号吗？,……さっきのは何だ？誰に、どんな合図を送ったのかな？,メフィスト,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,76,,,,False
name,与你无关，小子。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,77,与你无关，小子。,お前には関係ない、ガキ。,ドーベルマン,True
name,（阿米娅？）,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,78,（阿米娅？）,（アーミヤ？）,ドーベルマン,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,79,,,,False
name,哎呀，都是些企业人士了，连谈话时要注意礼节这个道理，都不明白吗？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,80,哎呀，都是些企业人士了，连谈话时要注意礼节这个道理，都不明白吗？,あらあら、みんな企業人なのに、会話の礼儀も分からないんだね？,メフィスト,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,81,,,,False
name,就是因为这世界上像你这样的人越来越多，才导致我不得不多学些能够形容你们的词汇！,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,82,就是因为这世界上像你这样的人越来越多，才导致我不得不多学些能够形容你们的词汇！,君みたいな人間が世の中に増えすぎて、君たちを表現する単語をもっと覚えないといけなくなった！,ドーベルマン,True
name,（阿米娅，发生什么了？）,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,83,（阿米娅，发生什么了？）,（アーミヤ、どうした？）,ドーベルマン,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,84,,,,False
name,（杜宾......我们的撤退路线，都被他的部队封锁了！）,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,85,（杜宾......我们的撤退路线，都被他的部队封锁了！）,（ドーベルマン……私たちの撤退ルート、全部あいつの部隊に封じられた！）,アーミヤ,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,86,,,,False
name,（怎么会！短短几分钟内，他——）,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,87,（怎么会！短短几分钟内，他——）,（まさか！わずか数分で、彼は——）,ドーベルマン,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,88,,,,False
name,这样不好。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,89,这样不好。,それはよくないな。,メフィスト,True
name,我诚心诚意地邀请你们......,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,90,我诚心诚意地邀请你们......,私は心から君たちを招待したいのに……,メフィスト,True
name,你们却只想着——,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,91,你们却只想着——,君たちはただ考えているのは——,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#5,,,,,,,,,,,,,92,,,,False
name,——逃之夭夭？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,93,——逃之夭夭？,——逃げ出すことだけ？,メフィスト,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,94,,,,False
name,呿！,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,95,呿！,ちっ！,ドーベルマン,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,96,,,,False
name,其实，只要你们赢了，就可以安全地离开我的猎场。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,97,其实，只要你们赢了，就可以安全地离开我的猎场。,実は、君たちが勝てば、私の狩り場を安全に出ても構わない。,メフィスト,True
name,接下来，我的这些朋友们，会不断地尝试杀掉你们。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,98,接下来，我的这些朋友们，会不断地尝试杀掉你们。,これから、私の友人たちが君たちを殺そうと挑み続ける。,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#5,,,,,,,,,,,,,99,,,,False
name,你们只要活下来，就是胜利！怎么样，规则，很简单吧？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,100,你们只要活下来，就是胜利！怎么样，规则，很简单吧？,君たちは生き残ること、それが勝利だ！どう？ルールは簡単だろう？,メフィスト,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,101,,,,False
name,Ace！,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,102,Ace！,エース！,ドーベルマン,True
character,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,103,,,,False
name,已经做好了强行突围的准备！,,,,,,,,,,,,,Ace,,,,,,,,,,,,,104,已经做好了强行突围的准备！,強行突破の準備はできている！,エース,True
name,但我们要先扛过这次围攻！,,,,,,,,,,,,,Ace,,,,,,,,,,,,,105,但我们要先扛过这次围攻！,まずはこの包囲を耐え抜かないと！,エース,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_1507_Mephisto_1#1,1,,,,,,,,,,,106,,,,False
name,——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,107,——,——,アーミヤ,True
name,为什么，明明天灾就要来了！再不撤出切城，所有人都会——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,108,为什么，明明天灾就要来了！再不撤出切城，所有人都会——,どうして、もうすぐ天災が来るのに！このまま撤退しないと、全員が——,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_1507_Mephisto_1#1,2,,,,,,,,,,,109,,,,False
name,你在说什么......,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,110,你在说什么......,君は何を言っているの……,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#5,,,,,,,,,,,,,111,,,,False
name,正因为是天灾降临......这可是，一个最该被好好庆祝的时刻了呀。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,112,正因为是天灾降临......这可是，一个最该被好好庆祝的时刻了呀。,まさに天災が訪れるからこそ……これは最も盛大に祝うべき時ではないか。,メフィスト,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,113,,,,False
name,......你......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,114,......你......,……あなた……,アーミヤ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#5,,,,,,,,,,,,,115,,,,False
name,我高贵的客人们，能邀请你们参加游戏，我感到十分荣幸。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,116,我高贵的客人们，能邀请你们参加游戏，我感到十分荣幸。,高貴なお客様方、このゲームにご招待できて光栄だ。,メフィスト,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,char_1002_nsabr_2,,,,,,,,,,,,117,,,,False
name,啊......啊......！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,118,啊......啊......！,ああ……ああ……！,レユニオンメンバー,True
name,杀......杀！！杀了......他们！！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,119,杀......杀！！杀了......他们！！,殺せ……殺せ！！彼らを……殺せ！！,レユニオンメンバー,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,120,,,,False
name,阿米娅！小心！,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,121,阿米娅！小心！,アーミヤ！気をつけて！,ドーベルマン,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,122,,,,False
name,对了，对了......,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,123,对了，对了......,そうだ、そうだ……,メフィスト,True
name,其实，我们是知道你们在核心区里做了什么的。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,124,其实，我们是知道你们在核心区里做了什么的。,実は、君たちがコアエリアで何をしていたか、私たちは知っているんだよ。,メフィスト,True
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,125,,,,False
name,——！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,126,——！,——！,アーミヤ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,127,,,,False
name,那个你们从核心区里救出来的，一直遮住面庞的家伙......令人非常，非常在意呢。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,128,那个你们从核心区里救出来的，一直遮住面庞的家伙......令人非常，非常在意呢。,君たちがコアエリアから救い出した、ずっと顔を隠しているあのやつ……とても、とても気になるね。,メフィスト,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,129,,,,False
name,——？！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,130,——？！,——？！,アーミヤ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,131,,,,False
name,弑君者只关心你们之后要做什么，要去哪里。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,132,弑君者只关心你们之后要做什么，要去哪里。,王殺しは君たちがその後何をして、どこへ行くのかだけに興味がある。,メフィスト,True
name,我不一样。我只关心......,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,133,我不一样。我只关心......,私は違う。私が興味あるのは……,メフィスト,True
name,你，是什么？从哪里来？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,134,你，是什么？从哪里来？,君は、何者なの？どこから来たの？,メフィスト,True
name,对，你，就是现在，盯着我看的你......你和我们有点不一样。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,135,对，你，就是现在，盯着我看的你......你和我们有点不一样。,そう、君だよ、今私をじっと見ている君……君は私たちと少し違う。,メフィスト,True
name,那个设施里，究竟是什么装置，有着保存生命的功能呢？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,136,那个设施里，究竟是什么装置，有着保存生命的功能呢？,あの施設の中には、いったいどんな生命維持装置があるのかな？,メフィスト,True
name,我非常，非常好奇。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,137,我非常，非常好奇。,私はとても、とても興味があるんだ。,メフィスト,True
name,我也不是那种冷血的人......,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,138,我也不是那种冷血的人......,私も冷酷な人間じゃないから……,メフィスト,True
name,来吧，罗德岛的客人们，把这个家伙当成见面礼留给我吧？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,139,来吧，罗德岛的客人们，把这个家伙当成见面礼留给我吧？,さあ、ロドスの皆さん、このやつを手土産として私に残してくれないか？,メフィスト,True
name,那样的话，虽然令人惋惜，但我放你们离开，也是可以的哦？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,140,那样的话，虽然令人惋惜，但我放你们离开，也是可以的哦？,そうしてくれたら、惜しいけど君たちを出してあげてもいいよ？,メフィスト,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,141,,,,False
name,博士——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,142,博士——,ドクター——,アーミヤ,True
name,——退到我身后！！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,143,——退到我身后！！,——私の後ろに下がって！！,アーミヤ,True
delay,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,144,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,true,,,,,145,,,,False
