command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,screenadapt,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,,char_002_amiya_1#2,char_012_misa_1,1,,,,,,,88,,,,False
name,我其实并不太清楚，为什么会有感染者针对你......,,,,,,,,,,,,,,阿米娅,,,,,,,,,89,我其实并不太清楚，为什么会有感染者针对你......,実は私も、どうして感染者があなたを狙うのかよくわかりません……,アーミヤ,True
name,但是我们也在乎无辜感染者的安全，包括你。至少这样是目前最好的解决办法。我也只能希望你能相信我。,,,,,,,,,,,,,,阿米娅,,,,,,,,,90,但是我们也在乎无辜感染者的安全，包括你。至少这样是目前最好的解决办法。我也只能希望你能相信我。,でも、私たちは無実の感染者の安全を大切に考えています。もちろん、あなたも含めて。今はこれが一番良い解決方法なんです。あなたを信じてもらえたら嬉しいです。,アーミヤ,True
name,请先允许我们带你离开这里，好吗？,,,,,,,,,,,,,,阿米娅,,,,,,,,,91,请先允许我们带你离开这里，好吗？,まずは、ここから一緒に離れさせてもらえますか？,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#2,char_012_misa_1,2,,,,,,,92,,,,False
name,......,,,,,,,,,,,,,,米莎,,,,,,,,,93,......,......,ミーシャ,True
name,......那就......走吧。,,,,,,,,,,,,,,米莎,,,,,,,,,94,......那就......走吧。,……じゃあ……行こう。,ミーシャ,True
name,毕竟，我没什么选择，是吗？,,,,,,,,,,,,,,米莎,,,,,,,,,95,毕竟，我没什么选择，是吗？,どうせ、私に選択肢はないんでしょ？,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,1,,,,,,,96,,,,False
name,也不是这么说......,,,,,,,,,,,,,,阿米娅,,,,,,,,,97,也不是这么说......,そんなことはありませんが……,アーミヤ,True
name,至少，谢谢你......米莎小姐！,,,,,,,,,,,,,,阿米娅,,,,,,,,,98,至少，谢谢你......米莎小姐！,少なくとも、ありがとう……ミーシャさん！,アーミヤ,True
delay,,,,,,,,,,,,,,1,,,,,,,,,,99,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,true,100,,,,False
