command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,a,r,g,b,afrom,rfrom,gfrom,bfrom,block,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,initr,xScale,yScale,index,text,jp_text,jp_name,text_match
name,那要看你的命有多硬了！,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,19,那要看你的命有多硬了！,それはお前の運の強さ次第だな！,ホシグマ,True
name,——————老陈！快！,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,20,——————老陈！快！,——————チェン！早く！,ホシグマ,True
character,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,,,,21,,,,False
blocker,,,,,,,,0.1,,,,,,,0.3,1,1,1,0,0,0,0,true,,,,,,,,,,,,22,,,,False
blocker,,,,,,,,0.1,,,,,,,0,,,,,,,,true,,,,,,,,,,,,23,,,,False
name,包围那个女人！,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,24,包围那个女人！,あの女を包囲しろ！,チェン,True
character,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,25,,,,False
name,哦哦，近卫局的后援吗？,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,26,哦哦，近卫局的后援吗？,おお、近衛局の援軍か？,W,True
character,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,,,,27,,,,False
name,放下你的武器！,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,28,放下你的武器！,武器を捨てろ！,チェン,True
character,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,,char_010_chen_1,1,,,,,,,,,,29,,,,False
name,陈长官，我们又见面了~,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,30,陈长官，我们又见面了~,チェン長官、また会ったね〜,W,True
character,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,,char_010_chen_1,2,,,,,,,,,,31,,,,False
name,油腔滑调不能救你的命。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,32,油腔滑调不能救你的命。,軽口を叩いても命は助からないぞ。,チェン,True
name,你对龙门做的，我会加倍在你身上讨回来。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,33,你对龙门做的，我会加倍在你身上讨回来。,お前が龍門にしたことは、倍にして返させてもらう。,チェン,True
character,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,,char_010_chen_1,1,,,,,,,,,,34,,,,False
name,哎呀~真可怕~,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,35,哎呀~真可怕~,あら〜怖いね〜,W,True
name,但我这次不是来找你的。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,36,但我这次不是来找你的。,でも今回はあなたに用はないの。,W,True
name,阿米娅，接好~,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,37,阿米娅，接好~,アーミヤ、受け取ってね〜,W,True
character,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,,char_002_amiya_1#6,2,,,,,,,,,,38,,,,False
name,我？这是......移动电话......？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,39,我？这是......移动电话......？,私？これは……携帯電話ですか……？,アーミヤ,True
name,是的，有人想和你说点事~,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,40,是的，有人想和你说点事~,そう、その電話で話したい人がいるんだ〜,W,True
character,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,,char_002_amiya_1#6,2,,,,,,,,,,41,,,,False
name,————————？！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,42,————————？！,————————？！,アーミヤ,True
character,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,,char_002_amiya_1#6,1,,,,,,,,,,43,,,,False
name,好，这样我的任务就完成啦。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,44,好，这样我的任务就完成啦。,よし、これで私の任務は完了だ。,W,True
name,另外这个，不是给阿米娅的，而是送给你们的。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,45,另外这个，不是给阿米娅的，而是送给你们的。,それからこれはアーミヤじゃなくて、あなたたちへのプレゼントよ。,W,True
name,后会有期咯~,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,46,后会有期咯~,また会いましょうね〜,W,True
character,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,47,,,,False
name,小心！,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,48,小心！,気をつけろ！,チェン,True
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,20,30,90,false,,,,49,,,,False
blocker,,,,,,,,0.1,,,,,,,1,1,1,1,0,0,0,0,true,,,,,,,,,,,,50,,,,False
playsound,,$p_imp_grenade_n,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
blocker,,,,,,,,0.3,,,,,,,0,,,,,,,,false,,,,,,,,,,,,52,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,53,,,,False
name,——近距离爆破——？！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,54,——近距离爆破——？！,——近距離爆破ですか——？！,アーミヤ,True
name,不对，是闪光弹！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,55,不对，是闪光弹！,違います、これは閃光弾です！,アーミヤ,True
name,别被她迷惑——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,56,别被她迷惑——,彼女に惑わされないでください——,アーミヤ,True
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,57,,,,False
name,——来不及了。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,58,——来不及了。,——もう間に合わない。,チェン,True
name,已经让她跑了。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,59,已经让她跑了。,もう逃げられてしまった。,チェン,True
name,跑起来可也真的是快，趁着近卫局还没稳定阵形，一瞬间就溜走了。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,60,跑起来可也真的是快，趁着近卫局还没稳定阵形，一瞬间就溜走了。,本当に逃げ足が速い。近衛局がまだ隊形を整えないうちに、一瞬で姿を消した。,チェン,True
name,你也要小心你手上的东西，如果是炸弹的话......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,61,你也要小心你手上的东西，如果是炸弹的话......,お前も手元のものに気をつけろ。もしそれが爆弾なら……,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,62,,,,False
name,......这个，倒是普通的移动电话没错......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,63,......这个，倒是普通的移动电话没错......,......これは、普通の携帯電話で間違いありません......,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,64,,,,False
name,只是......莫非......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,65,只是......莫非......,ただ……まさか……,アーミヤ,True
name,——————,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,66,——————,——————,アーミヤ,True
name,喂？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,67,喂？,もしもし？,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,False
blocker,,,,,,,,0.5,,,,,,,1,0,0,0,,,,,true,,,,,,,,,2,,,69,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,False
background,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,False
blocker,,,,,,,,0.5,,,,,,,0,,,,,,,,true,,,,,,,,,,,,72,,,,False
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,73,,,,False
,————,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,False
playsound,,$phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,False
delay,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,76,,,,False
image,,,,,bg_1_call,,,1,,,,,,,,,,,,,,,true,,,,,,,,,,1,1,77,,,,False
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,78,,,,False
name,你是......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,79,你是......,あなたは……,ミーシャ,True
name,阿米娅......？,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,80,阿米娅......？,アーミヤ……？,ミーシャ,True
name,米莎！告诉我你在哪！我——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,81,米莎！告诉我你在哪！我——,ミーシャ！あなたがどこにいるか教えてください！私――,アーミヤ,True
name,阿米娅......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,82,阿米娅......,アーミヤ……,ミーシャ,True
name,......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,83,......,……,ミーシャ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,False
image,,,,,,,,0.6,,,,,,,,,,,,,,,true,,,,,,,,,,,,85,,,,False
name,......优先......处理重伤人员！！给他输血！！快啊！！,,,,,,,,,,,,,少女的声音,,,,,,,,,,,,,,,,,,,,,86,......优先......处理重伤人员！！给他输血！！快啊！！,……まずは……重傷者を処置して！！輸血して！！急いで！！,少女の声,True
name,......可恶......为什么......明明都是感染者......,,,,,,,,,,,,,青年的声音,,,,,,,,,,,,,,,,,,,,,87,......可恶......为什么......明明都是感染者......,……くそ……なぜだ……皆感染者なのに……,青年の声,True
name,罗德岛......这些家伙为什么会做这种事？！,,,,,,,,,,,,,青年的声音,,,,,,,,,,,,,,,,,,,,,88,罗德岛......这些家伙为什么会做这种事？！,ロドス……こいつらなんでこんなことをするんだ？！,青年の声,True
name,......我们从一开始就被他们遗弃了！！没有出路的......没有......！,,,,,,,,,,,,,女性的声音,,,,,,,,,,,,,,,,,,,,,89,......我们从一开始就被他们遗弃了！！没有出路的......没有......！,……最初から私たちは見捨てられていた！！道はないのよ……もう……！,女性の声,True
name,别死！别死啊！我们说好，说好要一起回家的......！,,,,,,,,,,,,,男孩的声音,,,,,,,,,,,,,,,,,,,,,90,别死！别死啊！我们说好，说好要一起回家的......！,死なないで！死なないでよ！一緒に帰るって約束したじゃん……！,男の子の声,True
name,......呜......哥哥......不......,,,,,,,,,,,,,女孩的声音,,,,,,,,,,,,,,,,,,,,,91,......呜......哥哥......不......,……うう……お兄ちゃん……だめ……,女の子の声,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,False
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,93,,,,False
image,,,,,bg_1_call,,,1,,,,,,,,,,,,,,,true,,,,,,,,,,1,1,94,,,,False
name,听到了吗，这些声音......？,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,95,听到了吗，这些声音......？,聞こえますか、この声たち……？,ミーシャ,True
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,96,......,……,アーミヤ,True
name,是整合运动的感染者......吗？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,97,是整合运动的感染者......吗？,これは整合運動の感染者……なのでしょうか？,アーミヤ,True
name,我想起来了。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,98,我想起来了。,思い出した。,ミーシャ,True
name,不，我一直忘不掉。我只是......不愿想起。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,99,不，我一直忘不掉。我只是......不愿想起。,いや、ずっと忘れられなかった。ただ……思い出したくなかっただけ。,ミーシャ,True
name,没错，是整合运动毁了我们的家，我爸爸也......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,100,没错，是整合运动毁了我们的家，我爸爸也......,そう、整合運動が私たちの家を壊したんだ。お父さんも……,ミーシャ,True
name,但......这是我们，自作自受。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,101,但......这是我们，自作自受。,でも……これは私たちの自業自得だ。,ミーシャ,True
name,当年，我眼睁睁地看着我的弟弟被拖走......他哭着叫我的名字，我却转过头——,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,102,当年，我眼睁睁地看着我的弟弟被拖走......他哭着叫我的名字，我却转过头——,あの時、私は弟が引きずられていくのを見ていた……彼は泣きながら私の名前を呼んでいたのに、私は背を向けた――,ミーシャ,True
name,——躲进了自己的房间。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,103,——躲进了自己的房间。,――自分の部屋に隠れたんだ。,ミーシャ,True
name,当他又来找我的时候......他放弃了许多东西。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,104,当他又来找我的时候......他放弃了许多东西。,また彼が私を探しに来たとき……彼はいろんなものを諦めていた。,ミーシャ,True
name,他依然爱着我，我却害怕了，逃跑了......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,105,他依然爱着我，我却害怕了，逃跑了......,彼はまだ私を愛してくれていたのに、私は怖くて、逃げてしまった……,ミーシャ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,107,,,,False
name,但我明白。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,108,但我明白。,でも、今ならわかる。,ミーシャ,True
name,这一切只是要让当时迫害他们的人，都尝尝感染者遭受的痛苦。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,109,这一切只是要让当时迫害他们的人，都尝尝感染者遭受的痛苦。,すべては、当時彼らを迫害した人たちに感染者の苦しみを味あわせるためだけだった。,ミーシャ,True
name,如今我是感染者了。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,110,如今我是感染者了。,今は私は感染者になった。,ミーシャ,True
name,......也到了，我该偿还自己罪孽的时候了。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,111,......也到了，我该偿还自己罪孽的时候了。,……私も自分の罪を償う時が来た。,ミーシャ,True
name,米莎，别做傻事！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,112,米莎，别做傻事！,ミーシャ、無茶しないでください！,アーミヤ,True
name,无论过去的人们怎么对待感染者，只要你现在改变——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,113,无论过去的人们怎么对待感染者，只要你现在改变——,過去に人々が感染者をどう扱ったとしても、今あなたが変われば——,アーミヤ,True
name,没用的。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,114,没用的。,無駄だよ。,ミーシャ,True
name,我又能，改变得了什么呢？,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,115,我又能，改变得了什么呢？,私が何を変えられるっていうんだ？,ミーシャ,True
name,因为我，就是当年视而不见的人之一......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,116,因为我，就是当年视而不见的人之一......,だって私は、あの時見て見ぬふりをした側の人間だから……,ミーシャ,True
name,成为感染者之后，我看得......更加清楚了。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,117,成为感染者之后，我看得......更加清楚了。,感染者になってから、もっとはっきり見えるようになった。,ミーシャ,True
name,普通人是怎么对待感染者的，感染者也会那样去对待普通人。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,118,普通人是怎么对待感染者的，感染者也会那样去对待普通人。,普通の人間が感染者をどう扱うのか、感染者も同じように普通の人間を扱うってこと。,ミーシャ,True
name,这是他们应得的。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,119,这是他们应得的。,それが彼らの報いだ。,ミーシャ,True
name,不......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,120,不......,そんなこと、ありません……,アーミヤ,True
name,这一切，不过是我自己种下的残忍种子所结的恶果......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,121,这一切，不过是我自己种下的残忍种子所结的恶果......,全部は、私自身が植えた残酷な種の結果……,ミーシャ,True
name,我理应受到这样的折磨。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,122,我理应受到这样的折磨。,私はこの苦しみを受けるべきだ。,ミーシャ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,124,,,,False
name,但是，为什么，为什么——,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,125,但是，为什么，为什么——,でも、なぜ、どうして――,ミーシャ,True
name,他明明，什么错也没有啊？！,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,126,他明明，什么错也没有啊？！,彼は何も悪くないのに？！,ミーシャ,True
name,他只不过是突然被发现是感染者而已......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,127,他只不过是突然被发现是感染者而已......,彼はただ、突然感染者だと分かっただけで……,ミーシャ,True
name,当时的他，才刚刚开始要我帮他写作业啊！,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,128,当时的他，才刚刚开始要我帮他写作业啊！,あの時、彼はまだ私に宿題を手伝ってほしがっていただけだったのに！,ミーシャ,True
name,如果我，如果那时候，保护了他的话......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,129,如果我，如果那时候，保护了他的话......,もし私が、あの時、彼を守ってあげられたなら……,ミーシャ,True
name,米莎！冷静点！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,130,米莎！冷静点！,ミーシャ！落ち着いてください！,アーミヤ,True
name,伤害无辜市民的并不是你！这些都不是你的错！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,131,伤害无辜市民的并不是你！这些都不是你的错！,罪のない市民を傷つけているのはあなたではありません！これは全部あなたのせいではないです！,アーミヤ,True
name,在最开始，谁又不是无辜的呢？！！,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,132,在最开始，谁又不是无辜的呢？！！,最初はみんな、誰だって無実なのに！！,ミーシャ,True
name,——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,133,——,——,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,135,,,,False
name,错的，错的就只有感染者这个身份而已......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,136,错的，错的就只有感染者这个身份而已......,悪いのは、感染者という身分だけ……,ミーシャ,True
name,如果这只是互相报复的话，是谁，是谁导致了这悲剧呢......！,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,137,如果这只是互相报复的话，是谁，是谁导致了这悲剧呢......！,これがただの復讐なら、誰が、誰がこの悲劇を引き起こしたのか……！,ミーシャ,True
name,如果乌萨斯没有把感染者当作可怕的牲畜一样对待......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,138,如果乌萨斯没有把感染者当作可怕的牲畜一样对待......,ウルサスが感染者を恐ろしい家畜みたいに扱わなければ……,ミーシャ,True
name,又有谁会恨乌萨斯入骨呢！,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,139,又有谁会恨乌萨斯入骨呢！,そうすれば、誰がウルサスをそこまで憎むだろうか！,ミーシャ,True
name,为什么感染者，就一定要遭遇这些折磨呢！！,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,140,为什么感染者，就一定要遭遇这些折磨呢！！,なぜ感染者は、こんな苦しみを受けなければならないの！！,ミーシャ,True
name,米莎......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,141,米莎......,ミーシャ……,アーミヤ,True
name,碎骨已经死了，你可以回到我们这里，我们一定会......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,142,碎骨已经死了，你可以回到我们这里，我们一定会......,スカルシュレッダーはもう亡くなりました。私たちのもとに戻っても大丈夫です、きっと私たちは……,アーミヤ,True
name,——,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,143,——,——,ミーシャ,True
name,......阿米娅。我已经有了答案......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,144,......阿米娅。我已经有了答案......,……アーミヤ。私はもう答えを出した……,ミーシャ,True
name,我是一个感染者。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,145,我是一个感染者。,私は感染者だ。,ミーシャ,True
name,我站在感染者这边。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,146,我站在感染者这边。,私は感染者の側に立つ。,ミーシャ,True
name,不————,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,147,不————,だめです————,アーミヤ,True
name,是的，阿米娅，你也是感染者......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,148,是的，阿米娅，你也是感染者......,そう、アーミヤ、あなたも感染者……,ミーシャ,True
name,你应该能够理解。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,149,你应该能够理解。,あなたなら分かるはず。,ミーシャ,True
name,是的，我也是......罗德岛大家和我，都知道你的想法......我明白的。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,150,是的，我也是......罗德岛大家和我，都知道你的想法......我明白的。,そうです、私も……ロドスのみんなも、あなたの気持ちを理解している……私は分かります。,アーミヤ,True
name,但是，米莎，仅仅是将自己从普通人置换到感染者的身份中，是什么都不会改变的！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,151,但是，米莎，仅仅是将自己从普通人置换到感染者的身份中，是什么都不会改变的！,でも、ミーシャ、自分を普通の人から感染者に置き換えるだけでは、何も変わりません！,アーミヤ,True
name,请等等我，我立刻来找你！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,152,请等等我，我立刻来找你！,少し待っていてください。すぐにあなたのもとへ向かいます！,アーミヤ,True
name,别过来。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,153,别过来。,来ないで。,ミーシャ,True
name,——米莎！你在——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,154,——米莎！你在——,——ミーシャ！あなたは——,アーミヤ,True
name,你说得对，阿米娅，你说得对......我只是愧疚而已。我只是......太过软弱了而已。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,155,你说得对，阿米娅，你说得对......我只是愧疚而已。我只是......太过软弱了而已。,あなたの言う通りだよ、アーミヤ、あなたの言う通り……私はただ、罪悪感に苛まれているだけ。私は……弱かっただけ。,ミーシャ,True
name,但我已经决定了。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,156,但我已经决定了。,でも、私もう決めたんだ。,ミーシャ,True
name,即使只有一步，我也要......踏出这一步。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,157,即使只有一步，我也要......踏出这一步。,たとえ一歩でも、私は……この一歩を踏み出す。,ミーシャ,True
name,对不起，阿米娅，对不起......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,158,对不起，阿米娅，对不起......,ごめんね、アーミヤ、ごめん……,ミーシャ,True
name,整合运动是感染者......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,159,整合运动是感染者......,整合運動は感染者……,ミーシャ,True
name,他们，也是感染者啊......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,160,他们，也是感染者啊......,彼らも、感染者なんだ……,ミーシャ,True
name,再见了......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,161,再见了......,さようなら……,ミーシャ,True
name,米莎？米莎？！米莎！！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,162,米莎？米莎？！米莎！！,ミーシャ？ミーシャ？！ミーシャ！！,アーミヤ,True
