command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,a,initr,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,afrom,rfrom,gfrom,bfrom,name2,focus,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,yTO,screenadapt,x,y,tiled,index,text,jp_text,jp_name,text_match
name,但是，但是她......支撑不了多久！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,但是，但是她......支撑不了多久！,でも、でも……持ちこたえられない！,アーミヤ,True
name,冰刃已经......快要碎裂了！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,冰刃已经......快要碎裂了！,氷刃が……もうすぐ砕けそう！,アーミヤ,True
character,,,,,,,,,,,,,,char_219_meteo_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,False
name,......已经，够了。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,......已经，够了。,……もう、十分だ。,エクシア,True
name,这是最后的机会了！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,这是最后的机会了！,これが最後のチャンスだ！,エクシア,True
name,阿米娅......就是现在！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,阿米娅......就是现在！,アーミヤ……今だ！,エクシア,True
name,掩护我！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,掩护我！,援護して！,エクシア,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,False
name,务必小心！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,务必小心！,必ず気をつけて！,アーミヤ,True
character,,,,,,,,,,,,,,char_219_meteo_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,False
name,明白！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,明白！,了解！,エクシア,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,False
name,立即开火，压制整合运动！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,立即开火，压制整合运动！,すぐに発砲して、レユニオンを制圧して！,アーミヤ,True
name,陨星，去吧！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,陨星，去吧！,エクシア、お願い！,アーミヤ,True
character,,,,,,,,,,,,,,char_219_meteo_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,False
name,我去了......！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,我去了......！,行くぞ……！,エクシア,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,False
blocker,,,,,,,,0.1,,,,,,,1,,1,1,1,true,,,,,,,0,0,0,0,,,,,,,,,,,,,,75,,,,False
blocker,,,,,,,,1.5,,,,,,,0,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,76,,,,False
playsound,,$d_gen_explo_n,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,78,,,,False
name,什么？敌人冲着我们......冲过来了？,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,什么？敌人冲着我们......冲过来了？,何だ？敵がこっちに……突っ込んできた？,レユニオン兵士,True
name,不，她......她是冲向了雪怪小队的霜星？,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,不，她......她是冲向了雪怪小队的霜星？,いや、彼女……スノーデビル小隊のフロストノヴァに向かってる？,レユニオン兵士,True
name,别，别想过去！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,别，别想过去！,行かせるな！,レユニオン兵士,True
name,射击！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,射击！,撃て！,レユニオン兵士,True
blocker,,,,,,,,0.1,,,,,,,1,,1,1,1,true,,,,,,,0,0,0,0,,,,,,,,,,,,,,83,,,,False
blocker,,,,,,,,1.5,,,,,,,0,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,84,,,,False
playsound,,$p_imp_grenade_n,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,86,,,,False
blocker,,,,,,,,0.1,,,,,,,1,,1,1,1,true,,,,,,,0,0,0,0,,,,,,,,,,,,,,87,,,,False
blocker,,,,,,,,1.5,,,,,,,0,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,88,,,,False
playsound,,$p_imp_grenade_n,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,90,,,,False
character,,,,,,,,,,,,,,char_219_meteo_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,False
name,呃......！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,呃......！,うっ……！,エクシア,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,False
name,陨星！！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,陨星！！,エクシア！！,アーミヤ,True
character,,,,,,,,,,,,,,char_219_meteo_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,False
name,不是直接命中，没什么关系！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,不是直接命中，没什么关系！,直撃じゃない、大丈夫！,エクシア,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,False
blocker,,,,,,,,0.1,,,,,,,1,,1,1,1,true,,,,,,,0,0,0,0,,,,,,,,,,,,,,98,,,,False
blocker,,,,,,,,1.5,,,,,,,0,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,99,,,,False
playsound,,$p_imp_grenade_n,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,101,,,,False
name,还，还能跑吗？,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,还，还能跑吗？,まだ、まだ走れるのか？,レユニオン兵士,True
name,可恶！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,可恶！,くそっ！,レユニオン兵士,True
name,都说了！你凭什么靠近雪怪们啊！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,都说了！你凭什么靠近雪怪们啊！,言っただろ！何でスノーデビルに近づくんだよ！,レユニオン兵士,True
name,继续射击！不要给她机会！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,继续射击！不要给她机会！,撃ち続けろ！　隙を与えるな！,レユニオン兵士,True
blocker,,,,,,,,0.1,,,,,,,1,,1,1,1,true,,,,,,,0,0,0,0,,,,,,,,,,,,,,106,,,,False
blocker,,,,,,,,1.5,,,,,,,0,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,107,,,,False
playsound,,$p_imp_grenade_n,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,109,,,,False
character,,,,,,,,,,,,,,char_219_meteo_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,False
name,——糟了！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,——糟了！,――しまった！,エクシア,True
character,,,,,,,,,,,,,,char_219_meteo_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,False
name,喀......！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,喀......！,カッ……！,エクシア,True
character,,,,,,,,,,,,,,char_259_Jessica_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,False
name,不！！她被......她被击中了，不......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,不！！她被......她被击中了，不......,だめ！！彼女が……撃たれた、いや……,ジェシカ,True
character,,,,,,,,,,,,,,char_219_meteo_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,False
name,......小伤而已！这样就想挡住我，还太早了！！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,......小伤而已！这样就想挡住我，还太早了！！,……かすり傷だ！これで止められると思うな、まだ早いぞ！！,エクシア,True
blocker,,,,,,,,0.1,,,,,,,1,,1,1,1,true,,,,,,,0,0,0,0,,,,,,,,,,,,,,118,,,,False
blocker,,,,,,,,1.5,,,,,,,0,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,119,,,,False
playsound,,$d_gen_surfacefrozen,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,121,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,False
name,这还不够，我必须......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,这还不够，我必须......,これじゃ足りない、私は……,アーミヤ,True
blocker,,,,,,,,0.2,,,,,,,1,,1,1,1,true,,,,,,,,,,,,,,,,,,,,,,,,124,,,,False
blocker,,,,,,,,0.2,,,,,,,0,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,125,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,False
name,咳，咳......,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,咳，咳......,ゴホ、ゴホ……,フロストノヴァ,True
blocker,,,,,,,,0.2,,,,,,,1,,1,1,1,true,,,,,,,,,,,,,,,,,,,,,,,,128,,,,False
blocker,,,,,,,,0.2,,,,,,,0,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,129,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,False
name,——！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,——！,――！,アーミヤ,True
name,（寒气......颤动了一下？）,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,（寒气......颤动了一下？）,（寒気が……揺れた？）,アーミヤ,True
name,等等，寒气的尽头......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,等等，寒气的尽头......,待って、寒気の先に……,アーミヤ,True
blocker,,,,,,,,0.2,,,,,,,1,,1,1,1,true,,,,,,,,,,,,,,,,,,,,,,,,134,,,,False
name,————！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,————！,――――！,アーミヤ,True
blocker,,,,,,,,0.2,,,,,,,0,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,136,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,False
name,我抓住这种感觉了......！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,我抓住这种感觉了......！,この感じ、掴んだ……！,アーミヤ,True
name,难道说......？！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,难道说......？！,まさか……？！,アーミヤ,True
name,不管怎么样，只能试一把了！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,不管怎么样，只能试一把了！,どうなってもいい、やってみるしかない！,アーミヤ,True
name,击中它吧——！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,击中它吧——！,当たれ――！,アーミヤ,True
name,大家可都......相信着我！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,大家可都......相信着我！,みんな……私を信じてくれてる！,アーミヤ,True
blocker,,,,,,,,0.1,,,,,,,1,,1,1,1,true,,,,,,,0,0,0,0,,,,,,,,,,,,,,143,,,,False
blocker,,,,,,,,1.5,,,,,,,0,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,144,,,,False
playsound,,$p_skill_chimera,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,146,,,,False
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,,False
name,————？,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,————？,――――？,レユニオン兵士,True
name,罗德岛的领袖......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,罗德岛的领袖......,ロドスのリーダー……,レユニオン兵士,True
name,她的法术，击碎了我们埋设的源石？,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,她的法术，击碎了我们埋设的源石？,あの術で、俺たちが仕掛けた源石を破壊したのか？,レユニオン兵士,True
blocker,,,,,,,,3,,,,,,,0.5,,255,255,255,true,,,,,,,,,,,,,,,,,,,,,,,,151,,,,False
name,——起雾了——,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,——起雾了——,――霧が出てきた――,レユニオン兵士,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,False
name,果然！那个霜星是靠小队埋设的源石来创造寒潮！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,果然！那个霜星是靠小队埋设的源石来创造寒潮！,やっぱり！　フロストノヴァは小隊が設置した源石で寒流を生み出していたんだ！,アーミヤ,True
name,陨星！！趁现在——！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,陨星！！趁现在——！,エクシア！！今だ――！,アーミヤ,True
blocker,,,,,,,,0.1,,,,,,,1,,1,1,1,true,,,,,,,0,0,0,0,,,,,,,,,,,,,,156,,,,False
playsound,,$d_gen_surfacefrozen,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,False
blocker,,,,,,,,1.5,,,,,,,0,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,158,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,159,,,,False
character,,,,,,,,,,,,,,char_219_meteo_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,False
name,霜叶......,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,霜叶......,フロストリーフ……,エクシア,True
name,我......一定......会救你！！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,我......一定......会救你！！,私は……絶対に……君を助ける！！,エクシア,True
name,所以，等我......,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,所以，等我......,だから、待ってて……,エクシア,True
name,等我！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,等我！,待ってて！,エクシア,True
blocker,,,,,,,,0.6,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,165,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,False
blocker,,,,,,,,0.6,,,,,,,0,,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,167,,,,False
name,醒醒！,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,醒醒！,起きて！,？？？,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,False
name,呃......？,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,呃......？,うっ……？,フロストリーフ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,False
name,我抓到你了！,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,我抓到你了！,捕まえた！,？？？,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,False
name,谁......,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,谁......,誰……,フロストリーフ,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,,False
